counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.56733,,,,,,,,0.56733,1,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.956855,,,,,,,,0.956855,1,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.84729,,,,,,,,0.84729,1,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.663305,,,,,,,,0.663305,1,0,9,9,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.61488,,,,,,,,0.61488,1,0,10,10,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.714805,,,,,,,,0.714805,1,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.77196,,,,,,,,0.77196,1,0,12,12,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.697555,,,,,,,,0.697555,1,0,13,13,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.981255,,,,,,,,0.981255,0,0,14,14,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.734735,,,,,,,,0.734735,1,0,15,15,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,
,,-0.022135417,-0.440104167,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.988745,,,,,,,,0.988745,1,,,,,,60,WORD,UN,16,fright,PENCIL,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,0,0,239,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.265755,,,,,,,,1.265755,1,,,,,,183,WORD,UN,33,sleazy,MILDEW,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,1,1,122,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.2487,,,,,,,,1.2487,1,,,,,,19,WORD,UN,16,breast,PATRON,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,2,2,198,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.99857,,,,,,,,0.99857,1,,,,,,305,NW,"ID",33,forgle,FORGLE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,3,3,244,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.96526,,,,,,,,0.96526,1,,,,,,412,NW,"ID",16,jiluer,JILUER,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,4,4,351,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.297,,,,,,,,1.297,1,,,,,,131,WORD,"ID",16,quench,QUENCH,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,5,5,70,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.52285,,,,,,,,1.52285,1,,,,,,272,NW,UN,16,sortel,DAMILT,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,6,6,451,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.81443,,,,,,,,0.81443,1,,,,,,47,WORD,UN,16,walnut,INCOME,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,7,7,226,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.791005,,,,,,,,0.791005,1,,,,,,211,WORD,UN,33,verify,INFECT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,8,8,150,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.63572,,,,,,,,0.63572,1,,,,,,192,WORD,UN,33,object,PLAGUE,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,9,9,131,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.797485,,,,,,,,0.797485,0,,,,,,248,NW,UN,16,batrol,STROLE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,10,10,427,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.115035,,,,,,,,1.115035,1,,,,,,428,NW,UN,33,funtle,TANDLY,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,11,11,367,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.575955,,,,,,,,0.575955,1,,,,,,193,WORD,UN,33,mildew,OBJECT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,12,12,132,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.553215,,,,,,,,0.553215,1,,,,,,174,WORD,"ID",16,turkey,TURKEY,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,13,13,113,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.272025,,,,,,,,1.272025,1,,,,,,388,NW,"ID",16,cragin,CRAGIN,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,14,14,327,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.86513,,,,,,,,0.86513,1,,,,,,102,WORD,"ID",33,direct,DIRECT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,15,15,41,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.50886,,,,,,,,0.50886,1,,,,,,78,WORD,"ID",33,column,COLUMN,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,16,16,17,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.93147,,,,,,,,0.93147,1,,,,,,268,NW,UN,16,orchet,PACKES,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,17,17,447,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.97129,,,,,,,,0.97129,1,,,,,,138,WORD,"ID",16,melody,MELODY,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,18,18,77,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.680505,,,,,,,,0.680505,1,,,,,,41,WORD,UN,16,chapel,SPRING,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,19,19,220,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.964255,,,,,,,,0.964255,1,,,,,,114,WORD,"ID",33,placid,PLACID,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,20,20,53,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.56607,,,,,,,,0.56607,1,,,,,,6,WORD,UN,16,anchor,BUNDLE,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,21,21,185,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.896955,,,,,,,,0.896955,1,,,,,,290,NW,UN,16,pretch,SPLINO,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,22,22,469,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.00263,,,,,,,,1.00263,0,,,,,,247,NW,UN,16,strole,BLARGE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,23,23,426,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,1.508475,,,,,,,,1.508475,0,,,,,,93,WORD,"ID",33,public,PUBLIC,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,24,24,32,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.784905,,,,,,,,1.784905,0,,,,,,379,NW,"ID",16,auting,AUTING,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,25,25,318,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.81442,,,,,,,,0.81442,1,,,,,,194,WORD,UN,33,resign,ABSENT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,26,26,133,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.568885,,,,,,,,0.568885,1,,,,,,224,WORD,UN,33,vulgar,PERIOD,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,27,27,163,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.13113,,,,,,,,1.13113,1,,,,,,475,NW,UN,33,josted,PEBRIC,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,28,28,414,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.65671,,,,,,,,0.65671,1,,,,,,479,NW,UN,33,crible,LOBUSH,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,29,29,418,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.709395,,,,,,,,0.709395,1,,,,,,312,NW,"ID",33,nerawl,NERAWL,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,30,30,251,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.95481,,,,,,,,0.95481,1,,,,,,84,WORD,"ID",33,mortal,MORTAL,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,31,31,23,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.95481,-1,,,,,,460,NW,UN,33,justre,MINGAR,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,32,32,399,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.855745,,,,,,,,0.855745,1,,,,,,452,NW,UN,33,bolvis,SURDEN,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,33,33,391,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.606115,,,,,,,,0.606115,1,,,,,,313,NW,"ID",33,paurse,PAURSE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,34,34,252,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.734265,,,,,,,,0.734265,1,,,,,,456,NW,UN,33,wanigh,BROGET,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,35,35,395,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.810215,,,,,,,,0.810215,1,,,,,,79,WORD,"ID",33,theory,THEORY,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,36,36,18,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.78107,,,,,,,,0.78107,0,,,,,,66,WORD,"ID",33,gospel,GOSPEL,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,37,37,5,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.81409,,,,,,,,0.81409,1,,,,,,256,NW,UN,16,veniod,INLORS,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,38,38,435,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.91746,,,,,,,,0.91746,1,,,,,,231,WORD,UN,33,inject,EXPORT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,39,39,170,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.82066,,,,,,,,0.82066,1,,,,,,244,NW,UN,16,anougs,EATRIC,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,40,40,423,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.011925,,,,,,,,1.011925,1,,,,,,1,WORD,UN,16,ethnic,FRIGHT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,41,41,180,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.969885,,,,,,,,0.969885,1,,,,,,288,NW,UN,16,starby,YACEUP,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,42,42,467,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.991765,,,,,,,,0.991765,1,,,,,,399,NW,"ID",16,fouret,FOURET,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,43,43,338,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.73041,,,,,,,,1.73041,1,,,,,,260,NW,UN,16,stunch,UNJECT,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,44,44,439,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.12247,,,,,,,,1.12247,1,,,,,,304,NW,"ID",33,cludie,CLUDIE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,45,45,243,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.675855,,,,,,,,0.675855,1,,,,,,39,WORD,UN,16,convey,INSECT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,46,46,218,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.73511,,,,,,,,0.73511,1,,,,,,361,NW,"ID",16,pauche,PAUCHE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,47,47,300,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.659785,,,,,,,,0.659785,1,,,,,,406,NW,"ID",16,nouply,NOUPLY,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,48,48,345,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.82429,,,,,,,,0.82429,1,,,,,,16,WORD,UN,16,charge,FAUCET,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,49,49,195,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.953795,,,,,,,,0.953795,1,,,,,,439,NW,UN,33,saride,LIMPOR,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,50,50,378,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.024185,,,,,,,,1.024185,1,,,,,,255,NW,UN,16,inlors,APIGHT,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,51,51,434,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.67137,,,,,,,,0.67137,1,,,,,,221,WORD,UN,33,hinder,MASCOT,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,52,52,160,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.981205,,,,,,,,0.981205,1,,,,,,218,WORD,UN,33,bucket,SHRINK,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,53,53,157,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.88555,,,,,,,,0.88555,1,,,,,,215,WORD,UN,33,lumber,PHOBIA,m,,,,,,-0.022135417,-0.440104167,0,0,0,,0,54,54,154,1
,,,,,,,,,,,,,,,,,,5c4c488a620ba700010c054d,2020-11-25_16h36.49.552,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.057905,,,,,,,,1.057905,1,,,,,,461,NW,UN,33,absult,JUSTRE,z,,,,,,-0.022135417,-0.440104167,0,0,0,,0,55,55,400,1
