counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.933035,,,,,,,,0.933035,1,0,8,8,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.647665,,,,,,,,0.647665,1,0,9,9,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.53072,,,,,,,,0.53072,1,0,10,10,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.66803,,,,,,,,0.66803,1,0,11,11,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.64017,,,,,,,,0.64017,1,0,12,12,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.6032,,,,,,,,0.6032,1,0,13,13,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.841195,,,,,,,,0.841195,1,0,14,14,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.60574,,,,,,,,0.60574,1,0,15,15,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,space,0.01171875,-0.376302083,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,8.863135,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.841305,,,,,,,,0.841305,1,,,,,,390,NW,UN,16,theldy,HATRUS,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,0,0,449,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.866015,,,,,,,,0.866015,1,,,,,,262,NW,"ID",16,quilew,QUILEW,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,1,1,321,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.76906,,,,,,,,0.76906,1,,,,,,427,NW,"ID",33,schind,SCHIND,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,2,2,246,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.857555,,,,,,,,0.857555,1,,,,,,468,NW,"ID",33,wictor,WICTOR,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,3,3,287,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.95146,,,,,,,,0.95146,1,,,,,,319,NW,UN,33,jockal,ZOMBER,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,4,4,378,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.618255,,,,,,,,0.618255,1,,,,,,323,NW,UN,33,steikh,ROSAIL,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,5,5,382,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.616035,,,,,,,,0.616035,1,,,,,,21,WORD,"ID",16,simple,SIMPLE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,6,6,80,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.61675,,,,,,,,0.61675,1,,,,,,168,WORD,UN,16,genius,ANSWER,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,7,7,227,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.63559,,,,,,,,0.63559,1,,,,,,136,WORD,UN,16,finger,BLEACH,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,8,8,195,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.68252,,,,,,,,0.68252,1,,,,,,455,NW,"ID",33,tondle,TONDLE,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,9,9,274,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.79028,,,,,,,,0.79028,1,,,,,,30,WORD,"ID",16,orient,ORIENT,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,10,10,89,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.64721,,,,,,,,0.64721,1,,,,,,38,WORD,"ID",16,powder,POWDER,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,11,11,97,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.5983,,,,,,,,0.5983,1,,,,,,18,WORD,"ID",16,humble,HUMBLE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,12,12,77,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.783775,,,,,,,,0.783775,1,,,,,,304,NW,UN,33,forgle,CLUDIE,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,13,13,363,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.68866,,,,,,,,0.68866,1,,,,,,219,WORD,"ID",33,bucket,BUCKET,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,14,14,38,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.852015,,,,,,,,0.852015,1,,,,,,27,WORD,"ID",16,scream,SCREAM,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,15,15,86,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.68085,,,,,,,,0.68085,1,,,,,,453,NW,"ID",33,bolvis,BOLVIS,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,16,16,272,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.748465,,,,,,,,0.748465,1,,,,,,58,WORD,"ID",16,foster,FOSTER,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,17,17,117,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.678965,,,,,,,,0.678965,1,,,,,,274,NW,"ID",16,fumblo,FUMBLO,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,18,18,333,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.67251,,,,,,,,0.67251,1,,,,,,315,NW,UN,33,scregm,LASTON,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,19,19,374,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.685735,,,,,,,,0.685735,1,,,,,,347,NW,UN,33,dumple,KERIFT,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,20,20,406,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.57864,,,,,,,,0.57864,1,,,,,,308,NW,UN,33,amiloy,PSETCH,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,21,21,367,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.68417,,,,,,,,0.68417,1,,,,,,473,NW,"ID",33,crible,CRIBLE,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,22,22,292,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.631885,,,,,,,,0.631885,1,,,,,,452,NW,"ID",33,surden,SURDEN,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,23,23,271,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.67826,,,,,,,,0.67826,1,,,,,,110,WORD,UN,33,induce,POLITE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,24,24,169,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.85217,,,,,,,,0.85217,1,,,,,,211,WORD,"ID",33,infect,INFECT,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,25,25,30,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.68199,,,,,,,,0.68199,1,,,,,,296,NW,"ID",16,beinch,BEINCH,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,26,26,355,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.851455,,,,,,,,0.851455,1,,,,,,365,NW,UN,16,toshel,GUAIRT,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,27,27,424,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.73211,,,,,,,,0.73211,1,,,,,,120,WORD,UN,33,ponder,STRAIN,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,28,28,179,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.722185,,,,,,,,0.722185,1,,,,,,175,WORD,UN,16,strife,FABRIC,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,29,29,234,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.682135,,,,,,,,0.682135,1,,,,,,7,WORD,"ID",16,anchor,ANCHOR,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,30,30,66,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.653625,,,,,,,,0.653625,1,,,,,,328,NW,UN,33,yarike,BROAKE,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,31,31,387,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.733115,,,,,,,,0.733115,1,,,,,,40,WORD,"ID",16,convey,CONVEY,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,32,32,99,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.684005,,,,,,,,0.684005,1,,,,,,207,WORD,"ID",33,wreath,WREATH,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,33,33,26,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.62597,,,,,,,,0.62597,1,,,,,,123,WORD,UN,16,blouse,STRIKE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,34,34,182,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.562265,,,,,,,,0.562265,1,,,,,,188,WORD,"ID",33,social,SOCIAL,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,35,35,7,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.58225,,,,,,,,0.58225,1,,,,,,242,NW,"ID",16,unwert,UNWERT,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,36,36,301,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.608015,,,,,,,,0.608015,1,,,,,,59,WORD,"ID",16,splint,SPLINT,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,37,37,118,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.619055,,,,,,,,0.619055,1,,,,,,146,WORD,UN,16,garlic,COUPLE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,38,38,205,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.65011,,,,,,,,0.65011,1,,,,,,389,NW,UN,16,hatrus,WITMER,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,39,39,448,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.815725,,,,,,,,0.815725,1,,,,,,477,NW,"ID",33,photie,PHOTIE,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,40,40,296,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,1.11474,,,,,,,,1.11474,1,,,,,,265,NW,"ID",16,distar,DISTAR,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,41,41,324,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.753115,,,,,,,,0.753115,1,,,,,,318,NW,UN,33,zomber,REAGLY,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,42,42,377,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.686995,,,,,,,,0.686995,1,,,,,,438,NW,"ID",33,baitch,BAITCH,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,43,43,257,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.6686,,,,,,,,0.6686,1,,,,,,224,WORD,"ID",33,period,PERIOD,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,44,44,43,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.60037,,,,,,,,0.60037,1,,,,,,174,WORD,UN,16,fabric,TURKEY,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,45,45,233,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.914845,,,,,,,,0.914845,1,,,,,,117,WORD,UN,33,flight,BRANCH,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,46,46,176,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.625975,,,,,,,,0.625975,1,,,,,,150,WORD,UN,16,mystic,RANDOM,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,47,47,209,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.663305,,,,,,,,0.663305,1,,,,,,338,NW,UN,33,fachow,WREASH,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,48,48,397,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.64885,,,,,,,,0.64885,1,,,,,,105,WORD,UN,33,ransom,NUMBER,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,49,49,164,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.682685,,,,,,,,0.682685,1,,,,,,187,WORD,"ID",33,course,COURSE,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,50,50,6,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.6338,,,,,,,,0.6338,1,,,,,,92,WORD,UN,33,public,STRAND,m,,,,,,0.01171875,-0.376302083,0,0,0,,0,51,51,151,1,,
,,,,,,,,,,,,,,,,,,5b47e287bc06c90001f8b67d,2020-11-27_15h06.16.656,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.655475,,,,,,,,0.655475,1,,,,,,475,NW,"ID",33,pebric,PEBRIC,z,,,,,,0.01171875,-0.376302083,0,0,0,,0,52,52,294,1,,
