counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.677275,,,,,,,,0.677275,1,0,6,6,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.704365,,,,,,,,0.704365,1,0,7,7,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.807435,,,,,,,,0.807435,1,0,8,8,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.57612,,,,,,,,0.57612,1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.77248,,,,,,,,0.77248,1,0,10,10,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.583585,,,,,,,,0.583585,1,0,11,11,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.709585,,,,,,,,0.709585,1,0,12,12,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.645495,,,,,,,,0.645495,1,0,13,13,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.767225,,,,,,,,0.767225,1,0,14,14,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.66782,,,,,,,,0.66782,1,0,15,15,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,0.015103114,-0.375226854,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.80525,0.024709262,-0.147881342,1,0,0,0.082795,,0.80525,1,,,,,,271,NW,UN,16,damilt,AUBRID,z,,,,,,0.024709262,-0.147881342,0,0,0,,0,0,0,450,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.69775,,,,,,,,0.69775,1,,,,,,14,WORD,UN,16,orange,ALMOST,m,,,,,,0.024709262,-0.147881342,0,0,0,,0,1,1,193,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.667845,,,,,,,,0.667845,1,,,,,,279,NW,UN,16,curbol,CELOND,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,2,2,458,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.83963,,,,,,,,0.83963,1,,,,,,317,NW,"ID",33,worbal,WORBAL,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,3,3,256,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.719285,,,,,,,,0.719285,1,,,,,,424,NW,UN,33,frudge,PRAILE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,4,4,363,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.61932,,,,,,,,0.61932,1,,,,,,454,NW,UN,33,tondle,SCOUGE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,5,5,393,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.69989,,,,,,,,0.69989,1,,,,,,196,WORD,UN,33,stream,CREDIT,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,6,6,135,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.60919,,,,,,,,0.60919,1,,,,,,304,NW,"ID",33,cludie,CLUDIE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,7,7,243,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.001475,,,,,,,,1.001475,1,,,,,,401,NW,"ID",16,mustil,MUSTIL,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,8,8,340,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.62614,,,,,,,,0.62614,1,,,,,,40,WORD,UN,16,spring,CONVEY,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,9,9,219,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.69328,,,,,,,,0.69328,1,,,,,,80,WORD,"ID",33,family,FAMILY,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,10,10,19,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.532365,,,,,,,,0.532365,1,,,,,,432,NW,UN,33,drance,LUNKER,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,11,11,371,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.580865,,,,,,,,0.580865,0,,,,,,28,WORD,UN,16,sketch,COMEDY,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,12,12,207,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.69712,,,,,,,,0.69712,1,,,,,,55,WORD,UN,16,ambush,STROKE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,13,13,234,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.55426,,,,,,,,0.55426,1,,,,,,37,WORD,UN,16,powder,INSULT,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,14,14,216,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.579875,,,,,,,,0.579875,1,,,,,,434,NW,UN,33,impurb,PITROM,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,15,15,373,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.663575,,,,,,,,0.663575,1,,,,,,377,NW,"ID",16,injore,INJORE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,16,16,316,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.572935,,,,,,,,0.572935,1,,,,,,179,WORD,"ID",16,basket,BASKET,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,17,17,118,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.585775,,,,,,,,0.585775,1,,,,,,478,NW,UN,33,pebric,ACRISE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,18,18,417,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.62121,,,,,,,,0.62121,0,,,,,,32,WORD,UN,16,scream,BUCKLE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,19,19,211,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.594025,,,,,,,,0.594025,1,,,,,,105,WORD,"ID",33,number,NUMBER,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,20,20,44,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.68697,,,,,,,,0.68697,0,,,,,,285,NW,UN,16,reldon,PRUDGE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,21,21,464,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.732305,,,,,,,,0.732305,1,,,,,,241,NW,UN,16,unwert,SMENCO,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,22,22,420,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.62257,,,,,,,,0.62257,1,,,,,,97,WORD,"ID",33,client,CLIENT,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,23,23,36,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.15369,,,,,,,,1.15369,1,,,,,,448,NW,UN,33,brunge,SADENT,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,24,24,387,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.596185,,,,,,,,0.596185,1,,,,,,360,NW,"ID",33,desory,DESORY,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,25,25,299,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.65616,,,,,,,,0.65616,1,,,,,,126,WORD,"ID",16,enough,ENOUGH,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,26,26,65,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.551295,,,,,,,,0.551295,1,,,,,,11,WORD,UN,16,amount,CRUISE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,27,27,190,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.64387,,,,,,,,0.64387,1,,,,,,245,NW,UN,16,piaton,ANOUGS,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,28,28,424,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.051535,,,,,,,,1.051535,1,,,,,,90,WORD,"ID",33,relish,RELISH,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,29,29,29,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.51226,,,,,,,,0.51226,1,,,,,,437,NW,UN,33,baitch,SNAPEL,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,30,30,376,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.68735,,,,,,,,0.68735,1,,,,,,205,WORD,UN,33,tailor,LOUNGE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,31,31,144,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.56581,,,,,,,,0.56581,1,,,,,,209,WORD,UN,33,monkey,SEARCH,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,32,32,148,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.57369,,,,,,,,0.57369,1,,,,,,408,NW,"ID",16,hurnia,HURNIA,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,33,33,347,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.694775,,,,,,,,0.694775,1,,,,,,421,NW,UN,33,alcoud,KNISMA,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,34,34,360,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.79608,,,,,,,,0.79608,1,,,,,,36,WORD,UN,16,insult,VANISH,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,35,35,215,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.68874,,,,,,,,0.68874,1,,,,,,306,NW,"ID",33,sounge,SOUNGE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,36,36,245,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.52896,,,,,,,,0.52896,1,,,,,,61,WORD,"ID",33,ponder,PONDER,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,37,37,0,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.82937,,,,,,,,0.82937,1,,,,,,114,WORD,"ID",33,placid,PLACID,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,38,38,53,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.590425,,,,,,,,0.590425,1,,,,,,405,NW,"ID",16,flumni,FLUMNI,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,39,39,344,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.62268,,,,,,,,0.62268,1,,,,,,52,WORD,UN,16,police,IMPOSE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,40,40,231,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.66319,,,,,,,,0.66319,1,,,,,,87,WORD,"ID",33,filter,FILTER,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,41,41,26,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.768025,,,,,,,,0.768025,0,,,,,,102,WORD,"ID",33,direct,DIRECT,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,42,42,41,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.09594,,,,,,,,1.09594,1,,,,,,477,NW,UN,33,lobush,PHOTIE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,43,43,416,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.68369,,,,,,,,0.68369,1,,,,,,152,WORD,"ID",16,rocket,ROCKET,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,44,44,91,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.99931,,,,,,,,0.99931,0,,,,,,131,WORD,"ID",16,quench,QUENCH,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,45,45,70,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.646995,,,,,,,,0.646995,1,,,,,,293,NW,UN,16,inhort,SWANCE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,46,46,472,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.793515,,,,,,,,0.793515,1,,,,,,47,WORD,UN,16,walnut,INCOME,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,47,47,226,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.75609,,,,,,,,0.75609,1,,,,,,398,NW,"ID",16,blunde,BLUNDE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,48,48,337,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.70919,,,,,,,,0.70919,1,,,,,,417,NW,"ID",16,earoud,EAROUD,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,49,49,356,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.02577,,,,,,,,1.02577,1,,,,,,425,NW,UN,33,urivel,FRUDGE,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,50,50,364,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.54484,,,,,,,,0.54484,1,,,,,,79,WORD,"ID",33,theory,THEORY,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,51,51,18,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.54481,,,,,,,,0.54481,1,,,,,,230,WORD,UN,33,mother,FRINGE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,52,52,169,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.580955,,,,,,,,0.580955,1,,,,,,191,WORD,UN,33,beacon,STABLE,m,,,,,,0.023641913,-0.147881342,0,0,0,,0,53,53,130,1,,
,,,,,,,,,,,,,,,,,,5e870606f9dd66349540b880,2020-11-27_15h10.22.097,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.935535,,,,,,,,0.935535,1,,,,,,345,NW,"ID",33,absend,ABSEND,z,,,,,,0.023641913,-0.147881342,0,0,0,,0,54,54,284,1,,
