counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.701765,,,,,,,,0.701765,1,0,6,6,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.04495,,,,,,,,1.04495,1,0,7,7,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.683615,,,,,,,,0.683615,1,0,8,8,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.6715,,,,,,,,0.6715,1,0,9,9,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.61667,,,,,,,,0.61667,1,0,10,10,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.74994,,,,,,,,0.74994,1,0,11,11,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.80313,,,,,,,,0.80313,0,0,12,12,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.727295,,,,,,,,0.727295,1,0,13,13,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.87142,,,,,,,,0.87142,1,0,14,14,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.853155,,,,,,,,0.853155,1,0,15,15,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,
,,-0.033569447,-0.364935032,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.95088,,,,,,,,0.95088,1,,,,,,410,NW,UN,16,orchin,TUNORY,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,0,0,469,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.66581,,,,,,,,0.66581,1,,,,,,434,NW,"ID",33,pitrom,PITROM,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,1,1,253,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.483685,,,,,,,,0.483685,1,,,,,,103,WORD,UN,33,studio,BOUNCE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,2,2,162,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.53371,,,,,,,,0.53371,1,,,,,,231,WORD,"ID",33,export,EXPORT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,3,3,50,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.584475,,,,,,,,0.584475,1,,,,,,264,NW,"ID",16,vackel,VACKEL,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,4,4,323,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.52205,,,,,,,,0.52205,1,,,,,,157,WORD,UN,16,island,DRAGON,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,5,5,216,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.959205,,,,,,,,0.959205,1,,,,,,336,NW,UN,33,rejols,GHODUS,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,6,6,395,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.432345,,,,,,,,0.432345,1,,,,,,205,WORD,"ID",33,lounge,LOUNGE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,7,7,24,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.77054,,,,,,,,0.77054,1,,,,,,250,NW,"ID",16,milted,MILTED,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,8,8,309,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.487365,,,,,,,,0.487365,1,,,,,,99,WORD,UN,33,carbon,FLUENT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,9,9,158,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.66973,,,,,,,,0.66973,1,,,,,,4,WORD,"ID",16,trench,TRENCH,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,10,10,63,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.52732,,,,,,,,0.52732,1,,,,,,104,WORD,UN,33,number,STUDIO,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,11,11,163,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.639195,,,,,,,,0.639195,1,,,,,,86,WORD,UN,33,filter,RODENT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,12,12,145,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.62429,,,,,,,,0.62429,1,,,,,,451,NW,"ID",33,cainky,CAINKY,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,13,13,270,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.52612,,,,,,,,0.52612,1,,,,,,163,WORD,UN,16,market,STRING,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,14,14,222,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.598425,,,,,,,,0.598425,1,,,,,,423,NW,"ID",33,streld,STRELD,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,15,15,242,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.570065,,,,,,,,0.570065,1,,,,,,458,NW,"ID",33,barcet,BARCET,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,16,16,277,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.46473,,,,,,,,0.46473,1,,,,,,135,WORD,UN,16,bleach,IMPORT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,17,17,194,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.6456,,,,,,,,0.6456,1,,,,,,348,NW,UN,33,asylen,DUMPLE,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,18,18,407,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.440705,,,,,,,,0.440705,1,,,,,,118,WORD,UN,33,spider,FLIGHT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,19,19,177,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.549095,,,,,,,,0.549095,1,,,,,,24,WORD,"ID",16,praise,PRAISE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,20,20,83,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.50228,,,,,,,,0.50228,1,,,,,,88,WORD,UN,33,permit,HUNGER,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,21,21,147,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.83508,,,,,,,,0.83508,1,,,,,,268,NW,"ID",16,packes,PACKES,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,22,22,327,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.465835,,,,,,,,0.465835,1,,,,,,237,WORD,"ID",33,poster,POSTER,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,23,23,56,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.698115,,,,,,,,0.698115,1,,,,,,139,WORD,UN,16,prince,DEBRIS,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,24,24,198,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.590115,,,,,,,,0.590115,0,,,,,,111,WORD,UN,33,breath,INDUCE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,25,25,170,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.5215,,,,,,,,0.5215,1,,,,,,170,WORD,UN,16,dragon,POUNCE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,26,26,229,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.5901,,,,,,,,0.5901,1,,,,,,127,WORD,UN,16,senior,CASTLE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,27,27,186,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.55891,,,,,,,,0.55891,1,,,,,,302,NW,UN,33,fiream,MILUER,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,28,28,361,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.485165,,,,,,,,0.485165,0,,,,,,345,NW,UN,33,saudic,ABSEND,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,29,29,404,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.548275,,,,,,,,0.548275,1,,,,,,184,WORD,"ID",33,sleazy,SLEAZY,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,30,30,3,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.948705,,,,,,,,0.948705,1,,,,,,367,NW,UN,16,hornal,SLIQUE,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,31,31,426,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.52536,,,,,,,,0.52536,1,,,,,,151,WORD,UN,16,rocket,MYSTIC,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,32,32,210,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.51998,,,,,,,,0.51998,1,,,,,,69,WORD,UN,33,square,PLENTY,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,33,33,128,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.499965,,,,,,,,0.499965,1,,,,,,180,WORD,UN,16,thrive,SILENT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,34,34,239,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.51657,,,,,,,,0.51657,1,,,,,,33,WORD,"ID",16,butler,BUTLER,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,35,35,92,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.51779,,,,,,,,0.51779,1,,,,,,204,WORD,"ID",33,burden,BURDEN,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,36,36,23,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.817405,,,,,,,,0.817405,0,,,,,,303,NW,UN,33,cludie,FIREAM,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,37,37,362,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.79617,,,,,,,,0.79617,1,,,,,,445,NW,"ID",33,minkel,MINKEL,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,38,38,264,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.772485,,,,,,,,0.772485,1,,,,,,243,NW,"ID",16,musied,MUSIED,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,39,39,302,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.733995,,,,,,,,0.733995,0,,,,,,332,NW,UN,33,catrie,VANGUE,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,40,40,391,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.72839,,,,,,,,0.72839,1,,,,,,363,NW,UN,16,impote,BREALI,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,41,41,422,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.566525,,,,,,,,0.566525,1,,,,,,246,NW,"ID",16,piaton,PIATON,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,42,42,305,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.58468,,,,,,,,0.58468,1,,,,,,121,WORD,UN,16,linger,THRIVE,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,43,43,180,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.817895,,,,,,,,0.817895,1,,,,,,212,WORD,"ID",33,verify,VERIFY,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,44,44,31,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.493315,,,,,,,,0.493315,1,,,,,,41,WORD,"ID",16,spring,SPRING,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,45,45,100,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.635245,,,,,,,,0.635245,1,,,,,,377,NW,UN,16,shrile,INJORE,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,46,46,436,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.78324,,,,,,,,0.78324,1,,,,,,322,NW,UN,33,rosail,SLANCH,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,47,47,381,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.791575,,,,,,,,0.791575,1,,,,,,270,NW,"ID",16,wrimsy,WRIMSY,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,48,48,329,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.61708,,,,,,,,0.61708,1,,,,,,287,NW,"ID",16,nymbel,NYMBEL,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,49,49,346,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.586755,,,,,,,,0.586755,1,,,,,,318,NW,UN,33,zomber,REAGLY,z,,,,,,-0.033569447,-0.363082923,0,0,0,,0,50,50,377,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.51695,,,,,,,,0.51695,1,,,,,,8,WORD,"ID",16,abrupt,ABRUPT,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,51,51,67,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.716525,,,,,,,,0.716525,1,,,,,,122,WORD,UN,16,strike,LINGER,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,52,52,181,1,
,,,,,,,,,,,,,,,,,,5f3598f48853aa595c6733e2,2020-11-26_17h02.24.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.467605,,,,,,,,0.467605,1,,,,,,223,WORD,"ID",33,kidney,KIDNEY,m,,,,,,-0.033569447,-0.363082923,0,0,0,,0,53,53,42,1,
