counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.80351,1,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.80351,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.845635,1,0,7,7,11,1,1012,NW,"ID",16,rashet,RASHET,z,1.845635,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.79262,1,0,8,8,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.79262,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.79262,-1,0,9,9,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.76787,1,0,10,10,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.76787,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.65368,1,0,11,11,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.65368,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.985755,1,0,12,12,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.985755,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.82733,1,0,13,13,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.82733,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.879725,1,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.879725,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.58605,1,0,15,15,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.58605,,,,,,,,,,,,,,,,,,
,,-0.055555556,-0.361111111,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.58605,-1,,,,,,311,NW,"ID",33,sproly,SPROLY,z,,,,,,,-0.025925926,-0.307407407,0,0,0,,0,0,0,250,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.753475,1,,,,,,192,WORD,UN,33,object,PLAGUE,m,0.753475,,,,,,-0.025925926,-0.307407407,0,0,0,,0,1,1,131,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.65896,1,,,,,,214,WORD,UN,33,phobia,INTAKE,m,1.65896,,,,,,-0.025925926,-0.307407407,0,0,0,,0,2,2,153,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.782625,1,,,,,,53,WORD,UN,16,ramble,POLICE,m,0.782625,,,,,,-0.025925926,-0.307407407,0,0,0,,0,3,3,232,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.250205,1,,,,,,358,NW,"ID",33,fleack,FLEACK,z,1.250205,,,,,,-0.025925926,-0.307407407,0,0,0,,0,4,4,297,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.66137,1,,,,,,148,WORD,"ID",16,custom,CUSTOM,m,0.66137,,,,,,-0.025925926,-0.307407407,0,0,0,,0,5,5,87,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.737655,1,,,,,,71,WORD,"ID",33,garden,GARDEN,m,0.737655,,,,,,-0.025925926,-0.307407407,0,0,0,,0,6,6,10,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.642205,1,,,,,,140,WORD,"ID",16,prince,PRINCE,m,1.642205,,,,,,-0.025925926,-0.307407407,0,0,0,,0,7,7,79,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.557105,1,,,,,,303,NW,"ID",33,fiream,FIREAM,z,1.557105,,,,,,-0.025925926,-0.307407407,0,0,0,,0,8,8,242,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.039755,0,,,,,,211,WORD,UN,33,verify,INFECT,m,1.039755,,,,,,-0.025925926,-0.307407407,0,0,0,,0,9,9,150,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.62992,0,,,,,,24,WORD,UN,16,domain,PRAISE,m,1.62992,,,,,,-0.025925926,-0.307407407,0,0,0,,0,10,10,203,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.62992,-1,,,,,,38,WORD,UN,16,insect,POWDER,m,,,,,,,-0.025925926,-0.307407407,0,0,0,,0,11,11,217,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.818605,1,,,,,,422,NW,UN,33,streld,ALCOUD,z,0.818605,,,,,,-0.025925926,-0.307407407,0,0,0,,0,12,12,361,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.69883,1,,,,,,258,NW,UN,16,soudal,POLUTH,z,1.69883,,,,,,-0.025925926,-0.307407407,0,0,0,,0,13,13,437,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.754335,1,,,,,,342,NW,"ID",33,randow,RANDOW,z,1.754335,,,,,,-0.025925926,-0.307407407,0,0,0,,0,14,14,281,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.104245,1,,,,,,122,WORD,"ID",16,linger,LINGER,m,1.104245,,,,,,-0.025925926,-0.307407407,0,0,0,,0,15,15,61,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.50583,1,,,,,,341,NW,"ID",33,myrtie,MYRTIE,z,1.50583,,,,,,-0.025925926,-0.307407407,0,0,0,,0,16,16,280,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.66887,1,,,,,,49,WORD,UN,16,snatch,SURVEY,m,0.66887,,,,,,-0.025925926,-0.307407407,0,0,0,,0,17,17,228,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.47344,1,,,,,,410,NW,"ID",16,tunory,TUNORY,z,1.47344,,,,,,-0.025925926,-0.307407407,0,0,0,,0,18,18,349,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.11564,1,,,,,,237,WORD,UN,33,glance,POSTER,m,1.11564,,,,,,-0.025925926,-0.307407407,0,0,0,,0,19,19,176,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.385695,1,,,,,,337,NW,"ID",33,rejols,REJOLS,z,1.385695,,,,,,-0.025925926,-0.307407407,0,0,0,,0,20,20,276,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.169815,1,,,,,,436,NW,UN,33,snapel,FRUTAN,z,1.169815,,,,,,-0.025925926,-0.307407407,0,0,0,,0,21,21,375,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.85065,1,,,,,,430,NW,UN,33,chrums,CAROEY,z,1.85065,,,,,,-0.025925926,-0.307407407,0,0,0,,0,22,22,369,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.804485,1,,,,,,109,WORD,"ID",33,wonder,WONDER,m,0.804485,,,,,,-0.025925926,-0.307407407,0,0,0,,0,23,23,48,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.957275,1,,,,,,459,NW,UN,33,mingar,BAFENT,z,1.957275,,,,,,-0.025925926,-0.307407407,0,0,0,,0,24,24,398,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.60469,1,,,,,,108,WORD,"ID",33,reckon,RECKON,m,1.60469,,,,,,-0.025925926,-0.307407407,0,0,0,,0,25,25,47,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.53929,1,,,,,,369,NW,"ID",16,wronch,WRONCH,z,1.53929,,,,,,-0.025925926,-0.307407407,0,0,0,,0,26,26,308,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.789675,1,,,,,,186,WORD,UN,33,course,PORTAL,m,0.789675,,,,,,-0.025925926,-0.307407407,0,0,0,,0,27,27,125,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.72139,1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,0.72139,,,,,,-0.025925926,-0.307407407,0,0,0,,0,28,28,107,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.382115,1,,,,,,376,NW,"ID",16,iguare,IGUARE,z,1.382115,,,,,,-0.025925926,-0.307407407,0,0,0,,0,29,29,315,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.382115,-1,,,,,,310,NW,"ID",33,daniet,DANIET,z,,,,,,,-0.025925926,-0.307407407,0,0,0,,0,30,30,249,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.973105,0,,,,,,401,NW,"ID",16,mustil,MUSTIL,z,0.973105,,,,,,-0.025925926,-0.307407407,0,0,0,,0,31,31,340,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.973105,-1,,,,,,384,NW,"ID",16,guesco,GUESCO,z,,,,,,,-0.025925926,-0.307407407,0,0,0,,0,32,32,323,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.39617,1,,,,,,99,WORD,"ID",33,fluent,FLUENT,m,1.39617,,,,,,-0.025925926,-0.307407407,0,0,0,,0,33,33,38,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.527355,1,,,,,,367,NW,"ID",16,slique,SLIQUE,z,1.527355,,,,,,-0.025925926,-0.307407407,0,0,0,,0,34,34,306,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.765575,1,,,,,,126,WORD,"ID",16,enough,ENOUGH,m,0.765575,,,,,,-0.025925926,-0.307407407,0,0,0,,0,35,35,65,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.56549,1,,,,,,70,WORD,"ID",33,square,SQUARE,m,0.56549,,,,,,-0.025925926,-0.307407407,0,0,0,,0,36,36,9,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.92872,1,,,,,,476,NW,UN,33,photie,JOSTED,z,0.92872,,,,,,-0.025925926,-0.307407407,0,0,0,,0,37,37,415,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.95205,1,,,,,,372,NW,"ID",16,ramily,RAMILY,z,0.95205,,,,,,-0.025925926,-0.307407407,0,0,0,,0,38,38,311,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.996165,0,,,,,,18,WORD,UN,16,patron,HUMBLE,m,0.996165,,,,,,-0.025925926,-0.307407407,0,0,0,,0,39,39,197,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.91626,1,,,,,,426,NW,UN,33,schind,URIVEL,z,0.91626,,,,,,-0.025925926,-0.307407407,0,0,0,,0,40,40,365,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.827365,1,,,,,,20,WORD,UN,16,simple,BREAST,m,0.827365,,,,,,-0.025925926,-0.307407407,0,0,0,,0,41,41,199,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.315855,0,,,,,,69,WORD,"ID",33,plenty,PLENTY,m,1.315855,,,,,,-0.025925926,-0.307407407,0,0,0,,0,42,42,8,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.6597,1,,,,,,167,WORD,"ID",16,design,DESIGN,m,0.6597,,,,,,-0.025925926,-0.307407407,0,0,0,,0,43,43,106,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.56872,1,,,,,,419,NW,"ID",16,slount,SLOUNT,z,1.56872,,,,,,-0.025925926,-0.307407407,0,0,0,,0,44,44,358,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.57848,1,,,,,,74,WORD,"ID",33,plaque,PLAQUE,m,0.57848,,,,,,-0.025925926,-0.307407407,0,0,0,,0,45,45,13,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,1.13852,0,,,,,,125,WORD,"ID",16,nickel,NICKEL,m,1.13852,,,,,,-0.025925926,-0.307407407,0,0,0,,0,46,46,64,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.13852,-1,,,,,,147,WORD,"ID",16,garlic,GARLIC,m,,,,,,,-0.025925926,-0.307407407,0,0,0,,0,47,47,86,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.09175,1,,,,,,239,WORD,UN,33,forest,LUMBER,m,1.09175,,,,,,-0.025925926,-0.307407407,0,0,0,,0,48,48,178,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,1.242965,0,,,,,,261,NW,UN,16,quilew,STUNCH,z,1.242965,,,,,,-0.025925926,-0.307407407,0,0,0,,0,49,49,440,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.570775,1,,,,,,150,WORD,"ID",16,random,RANDOM,m,0.570775,,,,,,-0.025925926,-0.307407407,0,0,0,,0,50,50,89,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.33214,1,,,,,,425,NW,UN,33,urivel,FRUDGE,z,1.33214,,,,,,-0.025925926,-0.307407407,0,0,0,,0,51,51,364,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.734505,1,,,,,,117,WORD,"ID",33,branch,BRANCH,m,0.734505,,,,,,-0.025925926,-0.307407407,0,0,0,,0,52,52,56,1,,
,,,,,,,,,,,,,,,,,,5f511be28ba7012e8c040f50,2020-11-27_12h06.35.675,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.221595,1,,,,,,189,WORD,UN,33,backup,CENSOR,m,1.221595,,,,,,-0.025925926,-0.307407407,0,0,0,,0,53,53,128,1,,
