counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.551015,1,0,6,6,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.551015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.533445,1,0,7,7,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.533445,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.49851,1,0,8,8,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.49851,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.55338,1,0,9,9,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.55338,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.501195,1,0,10,10,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.501195,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.50479,1,0,11,11,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.50479,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.531855,1,0,12,12,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.531855,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.63205,1,0,13,13,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.63205,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.545845,1,0,14,14,14,1,1015,NW,UN,16,miaber,THRALE,z,0.545845,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.60238,1,0,15,15,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.60238,,,,,,,,,,,,,,,,,,
,,,0.029412746,-0.395319382,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.783365,1,,,,,,409,NW,"ID",16,elopia,ELOPIA,z,0.783365,,,,,,0.030798197,-0.396704833,0,0,0,,0,0,0,348,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.932125,1,,,,,,359,NW,"ID",33,fonver,FONVER,z,0.932125,,,,,,0.030798197,-0.396704833,0,0,0,,0,1,1,298,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.590735,1,,,,,,3,WORD,UN,16,trench,KNIGHT,m,0.590735,,,,,,0.030798197,-0.396704833,0,0,0,,0,2,2,182,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.56072,1,,,,,,79,WORD,"ID",33,theory,THEORY,m,0.56072,,,,,,0.030798197,-0.396704833,0,0,0,,0,3,3,18,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.486535,1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,0.486535,,,,,,0.030798197,-0.396704833,0,0,0,,0,4,4,107,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.513285,1,,,,,,390,NW,"ID",16,hatrus,HATRUS,z,0.513285,,,,,,0.030798197,-0.396704833,0,0,0,,0,5,5,329,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.559645,1,,,,,,102,WORD,"ID",33,direct,DIRECT,m,0.559645,,,,,,0.030798197,-0.396704833,0,0,0,,0,6,6,41,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.477325,1,,,,,,238,WORD,UN,33,behalf,FLOWER,m,0.477325,,,,,,0.030798197,-0.396704833,0,0,0,,0,7,7,177,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.546415,1,,,,,,293,NW,UN,16,inhort,SWANCE,z,0.546415,,,,,,0.030798197,-0.396704833,0,0,0,,0,8,8,472,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,0,,,,,,,,0.543085,0,,,,,,407,NW,"ID",16,suiver,SUIVER,z,0.543085,,,,,,0.030798197,-0.396704833,0,0,0,,0,9,9,346,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.81808,1,,,,,,328,NW,"ID",33,broake,BROAKE,z,0.81808,,,,,,0.030798197,-0.396704833,0,0,0,,0,10,10,267,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.52761,1,,,,,,444,NW,UN,33,minkel,JAUNCE,z,0.52761,,,,,,0.030798197,-0.396704833,0,0,0,,0,11,11,383,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.66283,1,,,,,,80,WORD,"ID",33,family,FAMILY,m,0.66283,,,,,,0.030798197,-0.396704833,0,0,0,,0,12,12,19,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.575055,1,,,,,,368,NW,"ID",16,hornal,HORNAL,z,0.575055,,,,,,0.030798197,-0.396704833,0,0,0,,0,13,13,307,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.58201,1,,,,,,19,WORD,UN,16,breast,PATRON,m,0.58201,,,,,,0.030798197,-0.396704833,0,0,0,,0,14,14,198,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.506765,1,,,,,,56,WORD,UN,16,change,AMBUSH,m,0.506765,,,,,,0.030798197,-0.396704833,0,0,0,,0,15,15,235,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.474375,1,,,,,,237,WORD,UN,33,glance,POSTER,m,0.474375,,,,,,0.030798197,-0.396704833,0,0,0,,0,16,16,176,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.528035,1,,,,,,94,WORD,"ID",33,travel,TRAVEL,m,0.528035,,,,,,0.030798197,-0.396704833,0,0,0,,0,17,17,33,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.618545,1,,,,,,298,NW,UN,16,sturch,PIERGY,z,0.618545,,,,,,0.030798197,-0.396704833,0,0,0,,0,18,18,477,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.600615,1,,,,,,329,NW,"ID",33,yarike,YARIKE,z,0.600615,,,,,,0.030798197,-0.396704833,0,0,0,,0,19,19,268,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.566045,1,,,,,,202,WORD,UN,33,phrase,FACTOR,m,0.566045,,,,,,0.030798197,-0.396704833,0,0,0,,0,20,20,141,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.59012,1,,,,,,318,NW,"ID",33,reagly,REAGLY,z,0.59012,,,,,,0.030798197,-0.396704833,0,0,0,,0,21,21,257,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.5994,1,,,,,,313,NW,"ID",33,paurse,PAURSE,z,0.5994,,,,,,0.030798197,-0.396704833,0,0,0,,0,22,22,252,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.548505,1,,,,,,76,WORD,"ID",33,exotic,EXOTIC,m,0.548505,,,,,,0.030798197,-0.396704833,0,0,0,,0,23,23,15,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.502825,1,,,,,,446,NW,UN,33,gircue,RUNAMO,z,0.502825,,,,,,0.030798197,-0.396704833,0,0,0,,0,24,24,385,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.615235,1,,,,,,314,NW,"ID",33,sprine,SPRINE,z,0.615235,,,,,,0.030798197,-0.396704833,0,0,0,,0,25,25,253,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.63739,1,,,,,,174,WORD,"ID",16,turkey,TURKEY,m,0.63739,,,,,,0.030798197,-0.396704833,0,0,0,,0,26,26,113,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.54158,1,,,,,,419,NW,"ID",16,slount,SLOUNT,z,0.54158,,,,,,0.030798197,-0.396704833,0,0,0,,0,27,27,358,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.54657,1,,,,,,355,NW,"ID",33,zingly,ZINGLY,z,0.54657,,,,,,0.030798197,-0.396704833,0,0,0,,0,28,28,294,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.533835,1,,,,,,30,WORD,UN,16,weapon,ORIENT,m,0.533835,,,,,,0.030798197,-0.396704833,0,0,0,,0,29,29,209,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.525895,1,,,,,,162,WORD,"ID",16,candle,CANDLE,m,0.525895,,,,,,0.030798197,-0.396704833,0,0,0,,0,30,30,101,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.43994,1,,,,,,98,WORD,"ID",33,belong,BELONG,m,0.43994,,,,,,0.030798197,-0.396704833,0,0,0,,0,31,31,37,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,0,,,,,,,,0.51671,0,,,,,,181,WORD,UN,33,winter,GLANCE,m,0.51671,,,,,,0.030798197,-0.396704833,0,0,0,,0,32,32,120,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.67394,1,,,,,,57,WORD,UN,16,danger,CHANGE,m,0.67394,,,,,,0.030798197,-0.396704833,0,0,0,,0,33,33,236,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.56722,1,,,,,,435,NW,UN,33,frutan,IMPURB,z,0.56722,,,,,,0.030798197,-0.396704833,0,0,0,,0,34,34,374,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.54796,1,,,,,,439,NW,UN,33,saride,LIMPOR,z,0.54796,,,,,,0.030798197,-0.396704833,0,0,0,,0,35,35,378,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.596825,1,,,,,,13,WORD,UN,16,almost,STRIVE,m,0.596825,,,,,,0.030798197,-0.396704833,0,0,0,,0,36,36,192,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.544785,1,,,,,,22,WORD,UN,16,wealth,JOCKEY,m,0.544785,,,,,,0.030798197,-0.396704833,0,0,0,,0,37,37,201,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.58384,1,,,,,,347,NW,"ID",33,kerift,KERIFT,z,0.58384,,,,,,0.030798197,-0.396704833,0,0,0,,0,38,38,286,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,0,,,,,,,,0.683595,0,,,,,,335,NW,"ID",33,desion,DESION,z,0.683595,,,,,,0.030798197,-0.396704833,0,0,0,,0,39,39,274,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.63315,1,,,,,,86,WORD,"ID",33,rodent,RODENT,m,0.63315,,,,,,0.030798197,-0.396704833,0,0,0,,0,40,40,25,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.58379,1,,,,,,99,WORD,"ID",33,fluent,FLUENT,m,0.58379,,,,,,0.030798197,-0.396704833,0,0,0,,0,41,41,38,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.564965,1,,,,,,246,NW,UN,16,blarge,PIATON,z,0.564965,,,,,,0.030798197,-0.396704833,0,0,0,,0,42,42,425,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.58644,1,,,,,,134,WORD,"ID",16,staple,STAPLE,m,0.58644,,,,,,0.030798197,-0.396704833,0,0,0,,0,43,43,73,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.583825,1,,,,,,251,NW,UN,16,stapod,LUPICT,z,0.583825,,,,,,0.030798197,-0.396704833,0,0,0,,0,44,44,430,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.516825,1,,,,,,349,NW,"ID",33,asylen,ASYLEN,z,0.516825,,,,,,0.030798197,-0.396704833,0,0,0,,0,45,45,288,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.61145,1,,,,,,268,NW,UN,16,orchet,PACKES,z,0.61145,,,,,,0.030798197,-0.396704833,0,0,0,,0,46,46,447,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.604245,1,,,,,,40,WORD,UN,16,spring,CONVEY,m,0.604245,,,,,,0.030798197,-0.396704833,0,0,0,,0,47,47,219,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.543835,1,,,,,,263,NW,UN,16,vackel,DOLICA,z,0.543835,,,,,,0.030798197,-0.396704833,0,0,0,,0,48,48,442,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.52581,1,,,,,,89,WORD,"ID",33,permit,PERMIT,m,0.52581,,,,,,0.030798197,-0.396704833,0,0,0,,0,49,49,28,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,m,1,,,,,,,,0.581285,1,,,,,,68,WORD,"ID",33,fumble,FUMBLE,m,0.581285,,,,,,0.030798197,-0.396704833,0,0,0,,0,50,50,7,1,,
,,,,,,,,,,,,,,,,,,5bc9f8b677740000016a08b5,2020-11-27_10h02.32.737,lexical_decision_task_MP_exp2,2020.2.5,Linux x86_64,60,,z,1,,,,,,,,0.594945,1,,,,,,265,NW,UN,16,varmit,DISTAR,z,0.594945,,,,,,0.030798197,-0.396704833,0,0,0,,0,51,51,444,1,,
