counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.688,1,,,,,,428,NW,UN,33,funtle,TANDLY,z,0.688,,,,,,0.597222222,0.193518519,0,0,0,,0,2,2,367,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.475,0,,,,,,413,NW,"ID",16,equats,EQUATS,z,0.475,,,,,,0.597222222,0.193518519,0,0,0,,0,3,3,352,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.755,0,,,,,,372,NW,"ID",16,ramily,RAMILY,z,0.755,,,,,,0.597222222,0.193518519,0,0,0,,0,4,4,311,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.794,1,,,,,,103,WORD,"ID",33,bounce,BOUNCE,m,0.794,,,,,,0.597222222,0.193518519,0,0,0,,0,5,5,42,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.801,0,,,,,,385,NW,"ID",16,veigma,VEIGMA,z,0.801,,,,,,0.597222222,0.193518519,0,0,0,,0,6,6,324,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.888,0,,,,,,8,WORD,UN,16,hustle,ABRUPT,m,0.888,,,,,,0.597222222,0.193518519,0,0,0,,0,7,7,187,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.828,1,,,,,,29,WORD,UN,16,orient,SKETCH,m,0.828,,,,,,0.597222222,0.193518519,0,0,0,,0,8,8,208,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.865,1,,,,,,224,WORD,UN,33,vulgar,PERIOD,m,0.865,,,,,,0.597222222,0.193518519,0,0,0,,0,9,9,163,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.882,0,,,,,,408,NW,"ID",16,hurnia,HURNIA,z,0.882,,,,,,0.597222222,0.193518519,0,0,0,,0,10,10,347,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.815,1,,,,,,400,NW,"ID",16,wearox,WEAROX,z,0.815,,,,,,0.597222222,0.193518519,0,0,0,,0,11,11,339,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.817,0,,,,,,353,NW,"ID",33,clurey,CLUREY,z,0.817,,,,,,0.597222222,0.193518519,0,0,0,,0,12,12,292,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,1.077,1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,1.077,,,,,,0.597222222,0.193518519,0,0,0,,0,13,13,107,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.817,1,,,,,,215,WORD,UN,33,lumber,PHOBIA,m,0.817,,,,,,0.597222222,0.193518519,0,0,0,,0,14,14,154,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.88,1,,,,,,440,NW,UN,33,rastoe,SARIDE,z,0.88,,,,,,0.597222222,0.193518519,0,0,0,,0,15,15,379,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.662,1,,,,,,53,WORD,UN,16,ramble,POLICE,m,0.662,,,,,,0.597222222,0.193518519,0,0,0,,0,16,16,232,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.82,0,,,,,,414,NW,"ID",16,serbol,SERBOL,z,0.82,,,,,,0.597222222,0.193518519,0,0,0,,0,17,17,353,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.776,1,,,,,,190,WORD,UN,33,stable,BACKUP,m,0.776,,,,,,0.597222222,0.193518519,0,0,0,,0,18,18,129,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.695,0,,,,,,16,WORD,UN,16,charge,FAUCET,m,0.695,,,,,,0.597222222,0.193518519,0,0,0,,0,19,19,195,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.842,0,,,,,,108,WORD,"ID",33,reckon,RECKON,m,0.842,,,,,,0.597222222,0.193518519,0,0,0,,0,20,20,47,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.022,0,,,,,,452,NW,UN,33,bolvis,SURDEN,z,1.022,,,,,,0.597222222,0.193518519,0,0,0,,0,21,21,391,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.71,0,,,,,,285,NW,UN,16,reldon,PRUDGE,z,0.71,,,,,,0.597222222,0.193518519,0,0,0,,0,22,22,464,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.605,1,,,,,,278,NW,UN,16,celond,UNIGHS,z,0.605,,,,,,0.597222222,0.193518519,0,0,0,,0,23,23,457,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.705,0,,,,,,479,NW,UN,33,crible,LOBUSH,z,0.705,,,,,,0.597222222,0.193518519,0,0,0,,0,24,24,418,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,0.705,-1,,,,,,119,WORD,"ID",33,spider,SPIDER,m,,,,,,,0.849074074,-0.378703704,0,0,0,,0,25,25,58,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,0.705,-1,,,,,,270,NW,UN,16,aubrid,WRIMSY,z,,,,,,,0.443518519,-0.001851852,0,0,0,,0,26,26,449,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,0.705,-1,,,,,,331,NW,"ID",33,gilfew,GILFEW,z,,,,,,,0.169444444,-0.001851852,0,0,0,,0,27,27,270,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.856,1,,,,,,27,WORD,UN,16,comedy,SCREAM,m,0.856,,,,,,0.169444444,-0.001851852,0,0,0,,0,28,28,206,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,0.856,-1,,,,,,123,WORD,"ID",16,strike,STRIKE,m,,,,,,,0.169444444,-0.001851852,0,0,0,,0,29,29,62,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.498,0,,,,,,325,NW,"ID",33,thruse,THRUSE,z,0.498,,,,,,0.169444444,-0.001851852,0,0,0,,0,30,30,264,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.45,0,,,,,,139,WORD,"ID",16,debris,DEBRIS,m,0.45,,,,,,0.169444444,-0.001851852,0,0,0,,0,31,31,78,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.337,1,,,,,,230,WORD,UN,33,mother,FRINGE,m,0.337,,,,,,0.169444444,-0.001851852,0,0,0,,0,32,32,169,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.533,1,,,,,,430,NW,UN,33,chrums,CAROEY,z,0.533,,,,,,0.169444444,-0.001851852,0,0,0,,0,33,33,369,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.459,0,,,,,,433,NW,UN,33,pitrom,DRANCE,z,0.459,,,,,,0.169444444,-0.001851852,0,0,0,,0,34,34,372,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.681,1,,,,,,138,WORD,"ID",16,melody,MELODY,m,0.681,,,,,,0.169444444,-0.001851852,0,0,0,,0,35,35,77,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.741,1,,,,,,126,WORD,"ID",16,enough,ENOUGH,m,0.741,,,,,,0.169444444,-0.001851852,0,0,0,,0,36,36,65,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.643,1,,,,,,90,WORD,"ID",33,relish,RELISH,m,0.643,,,,,,0.169444444,-0.001851852,0,0,0,,0,37,37,29,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.541,1,,,,,,438,NW,UN,33,limpor,BAITCH,z,0.541,,,,,,0.169444444,-0.001851852,0,0,0,,0,38,38,377,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.634,0,,,,,,271,NW,UN,16,damilt,AUBRID,z,0.634,,,,,,0.169444444,-0.001851852,0,0,0,,0,39,39,450,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.67,1,,,,,,197,WORD,UN,33,wicked,STREAM,m,0.67,,,,,,0.169444444,-0.001851852,0,0,0,,0,40,40,136,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.74,1,,,,,,426,NW,UN,33,schind,URIVEL,z,0.74,,,,,,0.169444444,-0.001851852,0,0,0,,0,41,41,365,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.856,1,,,,,,256,NW,UN,16,veniod,INLORS,z,0.856,,,,,,0.169444444,-0.001851852,0,0,0,,0,42,42,435,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.694,0,,,,,,398,NW,"ID",16,blunde,BLUNDE,z,0.694,,,,,,0.169444444,-0.001851852,0,0,0,,0,43,43,337,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.586,0,,,,,,183,WORD,UN,33,sleazy,MILDEW,m,0.586,,,,,,0.169444444,-0.001851852,0,0,0,,0,44,44,122,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.591,0,,,,,,448,NW,UN,33,brunge,SADENT,z,0.591,,,,,,0.169444444,-0.001851852,0,0,0,,0,45,45,387,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.433,1,,,,,,298,NW,UN,16,sturch,PIERGY,z,0.433,,,,,,0.169444444,-0.001851852,0,0,0,,0,46,46,477,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.606,1,,,,,,142,WORD,"ID",16,spruce,SPRUCE,m,0.606,,,,,,0.169444444,-0.001851852,0,0,0,,0,47,47,81,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.565,1,,,,,,475,NW,UN,33,josted,PEBRIC,z,0.565,,,,,,0.169444444,-0.001851852,0,0,0,,0,48,48,414,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,0.581,0,,,,,,57,WORD,UN,16,danger,CHANGE,m,0.581,,,,,,0.169444444,-0.001851852,0,0,0,,0,49,49,236,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,0.896,1,,,,,,431,NW,UN,33,lunker,CHRUMS,z,0.896,,,,,,0.169444444,-0.001851852,0,0,0,,0,50,50,370,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.637,1,,,,,,94,WORD,"ID",33,travel,TRAVEL,m,0.637,,,,,,0.169444444,-0.001851852,0,0,0,,0,51,51,33,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.823,1,,,,,,185,WORD,UN,33,portal,BOTHER,m,0.823,,,,,,0.169444444,-0.001851852,0,0,0,,0,52,52,124,1,
