counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.666,1,0,6,6,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.666,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.736,1,0,7,7,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.736,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.621,1,0,8,8,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.621,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.773,1,0,9,9,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.773,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.768,0,0,10,10,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.768,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.921,0,0,11,11,14,1,1015,NW,UN,16,miaber,THRALE,z,0.921,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,1.153,0,0,12,12,8,1,1009,NW,"ID",33,aslert,ASLERT,z,1.153,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.306,1,0,13,13,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,1.306,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.871,1,0,14,14,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.871,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.199,1,0,15,15,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,1.199,,,,,,,,,,,,,,,,,,
,,,0.009114583,-0.399739583,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.922,0,,,,,,418,NW,UN,16,slount,SUIDLE,z,0.922,,,,,,,0.009114583,-0.399739583,0,0,0,,0,0,0,477,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.055,1,,,,,,384,NW,UN,16,injore,GUESCO,z,1.055,,,,,,,0.009114583,-0.399739583,0,0,0,,0,1,1,443,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.006,1,,,,,,305,NW,UN,33,sounge,FORGLE,z,1.006,,,,,,,0.009114583,-0.399739583,0,0,0,,0,2,2,364,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.818,1,,,,,,359,NW,UN,33,desory,FONVER,z,0.818,,,,,,,0.009114583,-0.399739583,0,0,0,,0,3,3,418,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.974,0,,,,,,299,NW,"ID",16,sturch,STURCH,z,0.974,,,,,,,0.009114583,-0.399739583,0,0,0,,0,4,4,358,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.213,1,,,,,,96,WORD,UN,33,client,IGNORE,m,1.213,,,,,,,0.009114583,-0.399739583,0,0,0,,0,5,5,155,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.754,1,,,,,,274,NW,"ID",16,fumblo,FUMBLO,z,0.754,,,,,,,0.009114583,-0.399739583,0,0,0,,0,6,6,333,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.785,1,,,,,,146,WORD,UN,16,garlic,COUPLE,m,0.785,,,,,,,0.009114583,-0.399739583,0,0,0,,0,7,7,205,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.614,1,,,,,,188,WORD,"ID",33,social,SOCIAL,m,0.614,,,,,,,0.009114583,-0.399739583,0,0,0,,0,8,8,7,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.815,1,,,,,,183,WORD,"ID",33,mildew,MILDEW,m,0.815,,,,,,,0.009114583,-0.399739583,0,0,0,,0,9,9,2,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.552,1,,,,,,38,WORD,"ID",16,powder,POWDER,m,0.552,,,,,,,0.009114583,-0.399739583,0,0,0,,0,10,10,97,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.847,1,,,,,,142,WORD,UN,16,reason,SPRUCE,m,0.847,,,,,,,0.009114583,-0.399739583,0,0,0,,0,11,11,201,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.606,1,,,,,,58,WORD,"ID",16,foster,FOSTER,m,0.606,,,,,,,0.009114583,-0.399739583,0,0,0,,0,12,12,117,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.595,1,,,,,,136,WORD,UN,16,finger,BLEACH,m,0.595,,,,,,,0.009114583,-0.399739583,0,0,0,,0,13,13,195,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.735,1,,,,,,66,WORD,UN,33,policy,GOSPEL,m,0.735,,,,,,,0.009114583,-0.399739583,0,0,0,,0,14,14,125,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.644,1,,,,,,177,WORD,UN,16,inform,ADVENT,m,0.644,,,,,,,0.009114583,-0.399739583,0,0,0,,0,15,15,236,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.721,1,,,,,,258,NW,"ID",16,poluth,POLUTH,z,0.721,,,,,,,0.009114583,-0.399739583,0,0,0,,0,16,16,317,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.636,0,,,,,,350,NW,UN,33,tiesch,NAGURS,z,0.636,,,,,,,0.009114583,-0.399739583,0,0,0,,0,17,17,409,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.018,1,,,,,,306,NW,UN,33,kirafe,SOUNGE,z,1.018,,,,,,,0.009114583,-0.399739583,0,0,0,,0,18,18,365,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.784,1,,,,,,347,NW,UN,33,dumple,KERIFT,z,0.784,,,,,,,0.009114583,-0.399739583,0,0,0,,0,19,19,406,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.782,1,,,,,,111,WORD,UN,33,breath,INDUCE,m,0.782,,,,,,,0.009114583,-0.399739583,0,0,0,,0,20,20,170,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.696,1,,,,,,383,NW,UN,16,guesco,AUNGRE,z,0.696,,,,,,,0.009114583,-0.399739583,0,0,0,,0,21,21,442,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.835,1,,,,,,465,NW,"ID",33,whivex,WHIVEX,z,0.835,,,,,,,0.009114583,-0.399739583,0,0,0,,0,22,22,284,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.703,1,,,,,,69,WORD,UN,33,square,PLENTY,m,0.703,,,,,,,0.009114583,-0.399739583,0,0,0,,0,23,23,128,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,,,,,,,,0.924,0,,,,,,40,WORD,"ID",16,convey,CONVEY,m,0.924,,,,,,,0.009114583,-0.399739583,0,0,0,,0,24,24,99,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.863,1,,,,,,386,NW,UN,16,gronce,ANCUST,z,0.863,,,,,,,0.009114583,-0.399739583,0,0,0,,0,25,25,445,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.736,1,,,,,,140,WORD,UN,16,chrome,PRINCE,m,0.736,,,,,,,0.009114583,-0.399739583,0,0,0,,0,26,26,199,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.942,1,,,,,,16,WORD,"ID",16,faucet,FAUCET,m,0.942,,,,,,,0.009114583,-0.399739583,0,0,0,,0,27,27,75,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.593,1,,,,,,83,WORD,UN,33,mortal,RESULT,m,0.593,,,,,,,0.009114583,-0.399739583,0,0,0,,0,28,28,142,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.788,1,,,,,,307,NW,UN,33,psetch,KIRAFE,z,0.788,,,,,,,0.009114583,-0.399739583,0,0,0,,0,29,29,366,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.655,1,,,,,,18,WORD,"ID",16,humble,HUMBLE,m,0.655,,,,,,,0.009114583,-0.399739583,0,0,0,,0,30,30,77,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.905,1,,,,,,456,NW,"ID",33,broget,BROGET,z,0.905,,,,,,,0.009114583,-0.399739583,0,0,0,,0,31,31,275,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.741,1,,,,,,48,WORD,"ID",16,walnut,WALNUT,m,0.741,,,,,,,0.009114583,-0.399739583,0,0,0,,0,32,32,107,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.658,1,,,,,,101,WORD,UN,33,direct,WRENCH,m,0.658,,,,,,,0.009114583,-0.399739583,0,0,0,,0,33,33,160,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.834,1,,,,,,200,WORD,"ID",33,beacon,BEACON,m,0.834,,,,,,,0.009114583,-0.399739583,0,0,0,,0,34,34,19,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.843,1,,,,,,304,NW,UN,33,forgle,CLUDIE,z,0.843,,,,,,,0.009114583,-0.399739583,0,0,0,,0,35,35,363,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.57,1,,,,,,76,WORD,UN,33,racket,EXOTIC,m,0.57,,,,,,,0.009114583,-0.399739583,0,0,0,,0,36,36,135,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.389,1,,,,,,438,NW,"ID",33,baitch,BAITCH,z,1.389,,,,,,,0.009114583,-0.399739583,0,0,0,,0,37,37,257,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.56,1,,,,,,24,WORD,"ID",16,praise,PRAISE,m,0.56,,,,,,,0.009114583,-0.399739583,0,0,0,,0,38,38,83,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.016,1,,,,,,433,NW,"ID",33,drance,DRANCE,z,1.016,,,,,,,0.009114583,-0.399739583,0,0,0,,0,39,39,252,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,1.03,0,,,,,,263,NW,"ID",16,dolica,DOLICA,z,1.03,,,,,,,0.009114583,-0.399739583,0,0,0,,0,40,40,322,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.557,1,,,,,,236,WORD,"ID",33,pirate,PIRATE,m,0.557,,,,,,,0.009114583,-0.399739583,0,0,0,,0,41,41,55,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.574,1,,,,,,204,WORD,"ID",33,burden,BURDEN,m,0.574,,,,,,,0.009114583,-0.399739583,0,0,0,,0,42,42,23,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.502,1,,,,,,202,WORD,"ID",33,factor,FACTOR,m,0.502,,,,,,,0.009114583,-0.399739583,0,0,0,,0,43,43,21,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.652,1,,,,,,412,NW,UN,16,equats,JILUER,z,0.652,,,,,,,0.009114583,-0.399739583,0,0,0,,0,44,44,471,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.894,1,,,,,,468,NW,"ID",33,wictor,WICTOR,z,0.894,,,,,,,0.009114583,-0.399739583,0,0,0,,0,45,45,287,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.754,1,,,,,,300,NW,"ID",16,yarion,YARION,z,0.754,,,,,,,0.009114583,-0.399739583,0,0,0,,0,46,46,359,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.762,1,,,,,,405,NW,UN,16,nouply,FLUMNI,z,0.762,,,,,,,0.009114583,-0.399739583,0,0,0,,0,47,47,464,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.596,1,,,,,,393,NW,UN,16,spaqux,GANOUS,z,0.596,,,,,,,0.009114583,-0.399739583,0,0,0,,0,48,48,452,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.601,1,,,,,,192,WORD,"ID",33,plague,PLAGUE,m,0.601,,,,,,,0.009114583,-0.399739583,0,0,0,,0,49,49,11,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.758,1,,,,,,466,NW,"ID",33,hocite,HOCITE,z,0.758,,,,,,,0.009114583,-0.399739583,0,0,0,,0,50,50,285,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.955,1,,,,,,428,NW,"ID",33,tandly,TANDLY,z,0.955,,,,,,,0.009114583,-0.399739583,0,0,0,,0,51,51,247,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.765,1,,,,,,273,NW,"ID",16,sortel,SORTEL,z,0.765,,,,,,,0.009114583,-0.399739583,0,0,0,,0,52,52,332,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.635,1,,,,,,475,NW,"ID",33,pebric,PEBRIC,z,0.635,,,,,,,0.009114583,-0.399739583,0,0,0,,0,53,53,294,1,
,,,,,,,,,,,,,,,,,,5dc5da21d999de45a504651b,2020-11-27_15h02.54.057,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.606,1,,,,,,331,NW,UN,33,vangue,GILFEW,z,0.606,,,,,,,0.009114583,-0.399739583,0,0,0,,0,54,54,390,1,
