counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.41022,,,,,,,,1.41022,1,0,6,6,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.95193,,,,,,,,0.95193,1,0,7,7,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.897985,,,,,,,,0.897985,1,0,8,8,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.93116,,,,,,,,0.93116,1,0,9,9,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.36675,,,,,,,,1.36675,1,0,10,10,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.85046,,,,,,,,0.85046,1,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.19758,,,,,,,,1.19758,1,0,12,12,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.550555,,,,,,,,1.550555,1,0,13,13,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.28419,,,,,,,,1.28419,1,0,14,14,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.867155,,,,,,,,0.867155,1,0,15,15,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,
,space,20.39093,0.204101563,-0.159179688,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.616725,,,,,,,,1.616725,1,,,,,,454,NW,UN,33,tondle,SCOUGE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,0,0,393,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.764865,,,,,,,,1.764865,1,,,,,,277,NW,UN,16,unighs,PETAIN,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,1,1,456,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.818735,,,,,,,,0.818735,1,,,,,,181,WORD,UN,33,winter,GLANCE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,2,2,120,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,1.463645,,,,,,,,1.463645,0,,,,,,35,WORD,UN,16,vanish,SOCKET,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,3,3,214,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,1.463645,-1,,,,,,263,NW,UN,16,vackel,DOLICA,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,4,4,442,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.75374,,,,,,,,0.75374,1,,,,,,200,WORD,UN,33,admire,BEACON,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,5,5,139,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.85038,,,,,,,,0.85038,1,,,,,,98,WORD,"ID",33,belong,BELONG,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,6,6,37,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.867015,,,,,,,,0.867015,1,,,,,,155,WORD,"ID",16,lizard,LIZARD,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,7,7,94,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.683515,,,,,,,,0.683515,1,,,,,,138,WORD,"ID",16,melody,MELODY,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,8,8,77,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.78273,,,,,,,,0.78273,1,,,,,,410,NW,"ID",16,tunory,TUNORY,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,9,9,349,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.303655,,,,,,,,1.303655,0,,,,,,244,NW,UN,16,anougs,EATRIC,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,10,10,423,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.250375,,,,,,,,1.250375,1,,,,,,452,NW,UN,33,bolvis,SURDEN,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,11,11,391,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.83365,,,,,,,,0.83365,1,,,,,,58,WORD,UN,16,splint,FOSTER,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,12,12,237,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.933685,,,,,,,,0.933685,1,,,,,,189,WORD,UN,33,backup,CENSOR,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,13,13,128,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.9001,,,,,,,,0.9001,1,,,,,,384,NW,"ID",16,guesco,GUESCO,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,14,14,323,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.950355,,,,,,,,0.950355,1,,,,,,445,NW,UN,33,runamo,MINKEL,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,15,15,384,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,1.117985,,,,,,,,1.117985,0,,,,,,185,WORD,UN,33,portal,BOTHER,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,16,16,124,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.50023,,,,,,,,1.50023,1,,,,,,305,NW,"ID",33,forgle,FORGLE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,17,17,244,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.850545,,,,,,,,0.850545,1,,,,,,375,NW,"ID",16,yorque,YORQUE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,18,18,314,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.80043,,,,,,,,0.80043,1,,,,,,42,WORD,UN,16,tongue,CHAPEL,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,19,19,221,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.59926,,,,,,,,1.59926,1,,,,,,435,NW,UN,33,frutan,IMPURB,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,20,20,374,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.88424,,,,,,,,0.88424,1,,,,,,160,WORD,"ID",16,violet,VIOLET,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,21,21,99,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.85048,,,,,,,,0.85048,1,,,,,,199,WORD,UN,33,plague,INVOKE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,22,22,138,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.80061,,,,,,,,0.80061,1,,,,,,71,WORD,"ID",33,garden,GARDEN,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,23,23,10,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.71988,,,,,,,,0.71988,1,,,,,,173,WORD,"ID",16,shower,SHOWER,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,24,24,112,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.883615,,,,,,,,0.883615,1,,,,,,347,NW,"ID",33,kerift,KERIFT,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,25,25,286,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.82008,,,,,,,,1.82008,1,,,,,,38,WORD,UN,16,insect,POWDER,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,26,26,217,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.73397,,,,,,,,0.73397,1,,,,,,227,WORD,UN,33,master,SELDOM,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,27,27,166,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.070935,,,,,,,,1.070935,1,,,,,,295,NW,UN,16,beinch,GLEATH,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,28,28,474,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.783635,,,,,,,,0.783635,1,,,,,,144,WORD,"ID",16,sponge,SPONGE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,29,29,83,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.750475,,,,,,,,0.750475,1,,,,,,73,WORD,"ID",33,source,SOURCE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,30,30,12,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.91704,,,,,,,,0.91704,1,,,,,,30,WORD,UN,16,weapon,ORIENT,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,31,31,209,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.88361,,,,,,,,0.88361,1,,,,,,22,WORD,UN,16,wealth,JOCKEY,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,32,32,201,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.85055,,,,,,,,0.85055,1,,,,,,230,WORD,UN,33,mother,FRINGE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,33,33,169,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.98386,,,,,,,,0.98386,1,,,,,,365,NW,"ID",16,guairt,GUAIRT,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,34,34,304,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.95355,,,,,,,,0.95355,1,,,,,,164,WORD,"ID",16,market,MARKET,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,35,35,103,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.85033,,,,,,,,0.85033,1,,,,,,234,WORD,UN,33,poster,CLUMSY,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,36,36,173,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.750605,,,,,,,,0.750605,1,,,,,,274,NW,UN,16,sleirt,FUMBLO,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,37,37,453,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.000685,,,,,,,,1.000685,1,,,,,,440,NW,UN,33,rastoe,SARIDE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,38,38,379,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.86705,,,,,,,,0.86705,1,,,,,,310,NW,"ID",33,daniet,DANIET,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,39,39,249,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.917025,,,,,,,,0.917025,1,,,,,,89,WORD,"ID",33,permit,PERMIT,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,40,40,28,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.85037,,,,,,,,0.85037,1,,,,,,331,NW,"ID",33,gilfew,GILFEW,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,41,41,270,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.06663,,,,,,,,1.06663,1,,,,,,359,NW,"ID",33,fonver,FONVER,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,42,42,298,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.850245,,,,,,,,0.850245,1,,,,,,99,WORD,"ID",33,fluent,FLUENT,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,43,43,38,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.783755,,,,,,,,0.783755,1,,,,,,75,WORD,"ID",33,trophy,TROPHY,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,44,44,14,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.001175,,,,,,,,1.001175,1,,,,,,449,NW,UN,33,phrect,BRUNGE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,45,45,388,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.81706,,,,,,,,0.81706,1,,,,,,349,NW,"ID",33,asylen,ASYLEN,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,46,46,288,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.466735,,,,,,,,1.466735,1,,,,,,371,NW,"ID",16,geiloy,GEILOY,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,47,47,310,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.634125,,,,,,,,0.634125,1,,,,,,163,WORD,"ID",16,string,STRING,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,48,48,102,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.633875,,,,,,,,0.633875,1,,,,,,170,WORD,"ID",16,pounce,POUNCE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,49,49,109,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.816855,,,,,,,,0.816855,1,,,,,,299,NW,UN,16,yarion,STURCH,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,50,50,478,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.883595,,,,,,,,0.883595,1,,,,,,17,WORD,UN,16,humble,CHARGE,m,,,,,,0.204101563,-0.159179688,0,0,0,,0,51,51,196,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.56707,,,,,,,,1.56707,1,,,,,,444,NW,UN,33,minkel,JAUNCE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,52,52,383,1,,
,,,,,,,,,,,,,,,,,,55b75944fdf99b6e0c49981b,2020-11-26_16h00.50.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.30043,,,,,,,,1.30043,1,,,,,,433,NW,UN,33,pitrom,DRANCE,z,,,,,,0.204101563,-0.159179688,0,0,0,,0,53,53,372,1,,
