counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.644,,,,,,,,0.644,1,0,9,9,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.573,,,,,,,,0.573,1,0,10,10,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.705,,,,,,,,0.705,1,0,11,11,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.602,,,,,,,,0.602,1,0,12,12,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.635,,,,,,,,0.635,1,0,13,13,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.552,,,,,,,,0.552,1,0,14,14,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.605,,,,,,,,0.605,1,0,15,15,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,space,4.808,0.640522876,0.083333333,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.099,,,,,,,,1.099,1,,,,,,191,WORD,"ID",33,stable,STABLE,m,,,,,,0.640522876,0.083333333,0,0,0,,0,0,0,10,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.635,,,,,,,,0.635,1,,,,,,6,WORD,"ID",16,bundle,BUNDLE,m,,,,,,0.637254902,0.08496732,0,0,0,,0,1,1,65,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.558,,,,,,,,0.558,1,,,,,,362,NW,UN,16,breali,TIREAU,z,,,,,,0.642156863,0.070261438,0,0,0,,0,2,2,421,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.639,,,,,,,,0.639,1,,,,,,159,WORD,UN,16,violet,DETAIL,m,,,,,,0.635620915,0.099673203,0,0,0,,0,3,3,218,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.554,,,,,,,,0.554,1,,,,,,147,WORD,UN,16,custom,GARLIC,m,,,,,,0.640522876,0.104575163,0,0,0,,0,4,4,206,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.573,,,,,,,,0.573,1,,,,,,262,NW,"ID",16,quilew,QUILEW,z,,,,,,0.645424837,0.096405229,0,0,0,,0,5,5,321,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.711,,,,,,,,0.711,1,,,,,,252,NW,"ID",16,stapod,STAPOD,z,,,,,,0.64379085,0.102941176,0,0,0,,0,6,6,311,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.605,,,,,,,,0.605,1,,,,,,429,NW,"ID",33,funtle,FUNTLE,z,,,,,,0.645424837,0.104575163,0,0,0,,0,7,7,248,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.648,,,,,,,,0.648,1,,,,,,316,NW,UN,33,worbal,SCREGM,z,,,,,,0.645424837,0.107843137,0,0,0,,0,8,8,375,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.627,,,,,,,,0.627,1,,,,,,328,NW,UN,33,yarike,BROAKE,z,,,,,,0.645424837,0.114379085,0,0,0,,0,9,9,387,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.655,,,,,,,,0.655,1,,,,,,11,WORD,"ID",16,cruise,CRUISE,m,,,,,,0.645424837,0.12254902,0,0,0,,0,10,10,70,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.582,,,,,,,,0.582,1,,,,,,151,WORD,UN,16,rocket,MYSTIC,m,,,,,,0.650326797,0.12254902,0,0,0,,0,11,11,210,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.701,,,,,,,,0.701,1,,,,,,317,NW,UN,33,reagly,WORBAL,z,,,,,,0.650326797,0.124183007,0,0,0,,0,12,12,376,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.619,,,,,,,,0.619,1,,,,,,201,WORD,"ID",33,admire,ADMIRE,m,,,,,,0.645424837,0.137254902,0,0,0,,0,13,13,20,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.651,,,,,,,,0.651,1,,,,,,291,NW,"ID",16,pretch,PRETCH,z,,,,,,0.647058824,0.130718954,0,0,0,,0,14,14,350,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.58,,,,,,,,0.58,1,,,,,,281,NW,"ID",16,melaty,MELATY,z,,,,,,0.647058824,0.135620915,0,0,0,,0,15,15,340,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.707,,,,,,,,0.707,1,,,,,,471,NW,"ID",33,nobest,NOBEST,z,,,,,,0.647058824,0.138888889,0,0,0,,0,16,16,290,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.658,,,,,,,,0.658,1,,,,,,408,NW,UN,16,elopia,HURNIA,z,,,,,,0.647058824,0.138888889,0,0,0,,0,17,17,467,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.633,,,,,,,,0.633,1,,,,,,245,NW,"ID",16,anougs,ANOUGS,z,,,,,,0.647058824,0.138888889,0,0,0,,0,18,18,304,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.614,,,,,,,,0.614,1,,,,,,60,WORD,"ID",16,pencil,PENCIL,m,,,,,,0.647058824,0.138888889,0,0,0,,0,19,19,119,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.004,,,,,,,,1.004,1,,,,,,338,NW,UN,33,fachow,WREASH,z,,,,,,0.647058824,0.142156863,0,0,0,,0,20,20,397,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.689,,,,,,,,0.689,1,,,,,,188,WORD,"ID",33,social,SOCIAL,m,,,,,,0.647058824,0.142156863,0,0,0,,0,21,21,7,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.705,,,,,,,,0.705,1,,,,,,460,NW,"ID",33,mingar,MINGAR,z,,,,,,0.64869281,0.142156863,0,0,0,,0,22,22,279,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.647,,,,,,,,0.647,1,,,,,,372,NW,UN,16,bigent,RAMILY,z,,,,,,0.64869281,0.14379085,0,0,0,,0,23,23,431,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.535,,,,,,,,0.535,1,,,,,,344,NW,UN,33,absend,SCRILY,z,,,,,,0.64869281,0.14379085,0,0,0,,0,24,24,403,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.641,,,,,,,,0.641,1,,,,,,203,WORD,"ID",33,phrase,PHRASE,m,,,,,,0.64869281,0.14379085,0,0,0,,0,25,25,22,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.602,,,,,,,,0.602,1,,,,,,177,WORD,UN,16,inform,ADVENT,m,,,,,,0.650326797,0.142156863,0,0,0,,0,26,26,236,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.564,,,,,,,,0.564,1,,,,,,472,NW,"ID",33,cigney,CIGNEY,z,,,,,,0.650326797,0.142156863,0,0,0,,0,27,27,291,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.547,,,,,,,,0.547,1,,,,,,334,NW,UN,33,desion,WATMEG,z,,,,,,0.650326797,0.138888889,0,0,0,,0,28,28,393,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.528,,,,,,,,0.528,1,,,,,,360,NW,UN,33,fainch,DESORY,z,,,,,,0.650326797,0.138888889,0,0,0,,0,29,29,419,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.837,,,,,,,,0.837,1,,,,,,348,NW,UN,33,asylen,DUMPLE,z,,,,,,0.650326797,0.138888889,0,0,0,,0,30,30,407,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.534,,,,,,,,0.534,1,,,,,,233,WORD,"ID",33,nature,NATURE,m,,,,,,0.650326797,0.140522876,0,0,0,,0,31,31,52,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.939,,,,,,,,0.939,1,,,,,,403,NW,UN,16,cluirm,BRUATS,z,,,,,,0.653594771,0.140522876,0,0,0,,0,32,32,462,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.597,,,,,,,,0.597,1,,,,,,178,WORD,UN,16,basket,INFORM,m,,,,,,0.653594771,0.140522876,0,0,0,,0,33,33,237,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.62,,,,,,,,0.62,1,,,,,,21,WORD,"ID",16,simple,SIMPLE,m,,,,,,0.653594771,0.138888889,0,0,0,,0,34,34,80,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.689,,,,,,,,0.689,1,,,,,,476,NW,"ID",33,josted,JOSTED,z,,,,,,0.653594771,0.140522876,0,0,0,,0,35,35,295,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.713,,,,,,,,0.713,1,,,,,,436,NW,"ID",33,frutan,FRUTAN,z,,,,,,0.653594771,0.142156863,0,0,0,,0,36,36,255,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.528,,,,,,,,0.528,1,,,,,,77,WORD,UN,33,column,RACKET,m,,,,,,0.653594771,0.14379085,0,0,0,,0,37,37,136,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.633,,,,,,,,0.633,1,,,,,,390,NW,UN,16,theldy,HATRUS,z,,,,,,0.653594771,0.145424837,0,0,0,,0,38,38,449,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.658,,,,,,,,0.658,1,,,,,,217,WORD,"ID",33,liquor,LIQUOR,m,,,,,,0.653594771,0.14869281,0,0,0,,0,39,39,36,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.525,,,,,,,,1.525,0,,,,,,345,NW,UN,33,saudic,ABSEND,z,,,,,,0.653594771,0.147058824,0,0,0,,0,40,40,404,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.653,,,,,,,,0.653,1,,,,,,94,WORD,UN,33,thread,TRAVEL,m,,,,,,0.653594771,0.14869281,0,0,0,,0,41,41,153,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.919,,,,,,,,0.919,1,,,,,,411,NW,UN,16,jiluer,ORCHIN,z,,,,,,0.656862745,0.150326797,0,0,0,,0,42,42,470,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.654,,,,,,,,0.654,1,,,,,,286,NW,"ID",16,reldon,RELDON,z,,,,,,0.656862745,0.150326797,0,0,0,,0,43,43,345,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.557,,,,,,,,0.557,1,,,,,,79,WORD,UN,33,family,THEORY,m,,,,,,0.656862745,0.151960784,0,0,0,,0,44,44,138,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.598,,,,,,,,0.598,1,,,,,,407,NW,UN,16,hurnia,SUIVER,z,,,,,,0.656862745,0.155228758,0,0,0,,0,45,45,466,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.625,,,,,,,,0.625,1,,,,,,367,NW,UN,16,hornal,SLIQUE,z,,,,,,0.656862745,0.155228758,0,0,0,,0,46,46,426,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.851,,,,,,,,0.851,1,,,,,,303,NW,UN,33,cludie,FIREAM,z,,,,,,0.656862745,0.155228758,0,0,0,,0,47,47,362,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.15,,,,,,,,1.15,1,,,,,,342,NW,UN,33,aimosy,RANDOW,z,,,,,,0.656862745,0.156862745,0,0,0,,0,48,48,401,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.685,,,,,,,,0.685,1,,,,,,118,WORD,UN,33,spider,FLIGHT,m,,,,,,0.656862745,0.155228758,0,0,0,,0,49,49,177,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.412,,,,,,,,1.412,1,,,,,,356,NW,UN,33,derain,OTHNIS,z,,,,,,0.656862745,0.150326797,0,0,0,,0,50,50,415,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.739,,,,,,,,0.739,1,,,,,,234,WORD,"ID",33,clumsy,CLUMSY,m,,,,,,0.656862745,0.151960784,0,0,0,,0,51,51,53,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.926,,,,,,,,0.926,1,,,,,,430,NW,"ID",33,caroey,CAROEY,z,,,,,,0.660130719,0.137254902,0,0,0,,0,52,52,249,1,,
,,,,,,,,,,,,,,,,,,5e1ee2050c0b3120e01eeec1,2020-11-26_15h56.49.970,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.617,,,,,,,,0.617,1,,,,,,479,NW,"ID",33,lobush,LOBUSH,z,,,,,,0.660130719,0.137254902,0,0,0,,0,53,53,298,1,,
