counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.3899,,,,,,,,1.3899,1,0,13,13,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.863195,,,,,,,,0.863195,1,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.90128,,,,,,,,0.90128,1,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,-0.026041667,-0.40625,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.79718,,,,,,,,0.79718,1,,,,,,268,NW,UN,16,orchet,PACKES,z,,,,,,0.62109375,-0.421875,0,0,0,,0,0,0,447,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.905485,,,,,,,,0.905485,1,,,,,,349,NW,"ID",33,asylen,ASYLEN,z,,,,,,0.62109375,-0.421875,0,0,0,,0,1,1,288,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.65838,,,,,,,,0.65838,1,,,,,,14,WORD,UN,16,orange,ALMOST,m,,,,,,0.62109375,-0.421875,0,0,0,,0,2,2,193,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.784735,,,,,,,,0.784735,1,,,,,,118,WORD,"ID",33,flight,FLIGHT,m,,,,,,0.62109375,-0.421875,0,0,0,,0,3,3,57,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.668815,,,,,,,,0.668815,1,,,,,,446,NW,UN,33,gircue,RUNAMO,z,,,,,,0.62109375,-0.421875,0,0,0,,0,4,4,385,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.707515,,,,,,,,0.707515,1,,,,,,121,WORD,"ID",16,thrive,THRIVE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,5,5,60,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.6485,,,,,,,,0.6485,1,,,,,,401,NW,"ID",16,mustil,MUSTIL,z,,,,,,0.62109375,-0.421875,0,0,0,,0,6,6,340,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.85446,,,,,,,,0.85446,1,,,,,,364,NW,"ID",16,impote,IMPOTE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,7,7,303,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.745635,,,,,,,,0.745635,1,,,,,,346,NW,"ID",33,saudic,SAUDIC,z,,,,,,0.62109375,-0.421875,0,0,0,,0,8,8,285,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.70481,,,,,,,,0.70481,1,,,,,,85,WORD,"ID",33,sprawl,SPRAWL,m,,,,,,0.62109375,-0.421875,0,0,0,,0,9,9,24,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.700045,,,,,,,,0.700045,0,,,,,,208,WORD,UN,33,search,HOCKEY,m,,,,,,0.62109375,-0.421875,0,0,0,,0,10,10,147,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.45656,,,,,,,,1.45656,1,,,,,,173,WORD,"ID",16,shower,SHOWER,m,,,,,,0.62109375,-0.421875,0,0,0,,0,11,11,112,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.88289,,,,,,,,0.88289,1,,,,,,280,NW,UN,16,melaty,CURBOL,z,,,,,,0.62109375,-0.421875,0,0,0,,0,12,12,459,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.76628,,,,,,,,0.76628,1,,,,,,149,WORD,"ID",16,invade,INVADE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,13,13,88,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.957105,,,,,,,,0.957105,1,,,,,,127,WORD,"ID",16,castle,CASTLE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,14,14,66,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.957105,-1,,,,,,277,NW,UN,16,unighs,PETAIN,z,,,,,,0.62109375,-0.421875,0,0,0,,0,15,15,456,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.7811,,,,,,,,0.7811,1,,,,,,12,WORD,UN,16,strive,ORANGE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,16,16,191,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.93242,,,,,,,,0.93242,1,,,,,,206,WORD,UN,33,wreath,TAILOR,m,,,,,,0.62109375,-0.421875,0,0,0,,0,17,17,145,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.8979,,,,,,,,0.8979,1,,,,,,37,WORD,UN,16,powder,INSULT,m,,,,,,0.62109375,-0.421875,0,0,0,,0,18,18,216,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.820095,,,,,,,,0.820095,1,,,,,,209,WORD,UN,33,monkey,SEARCH,m,,,,,,0.62109375,-0.421875,0,0,0,,0,19,19,148,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.802125,,,,,,,,0.802125,1,,,,,,399,NW,"ID",16,fouret,FOURET,z,,,,,,0.62109375,-0.421875,0,0,0,,0,20,20,338,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.847775,,,,,,,,0.847775,1,,,,,,287,NW,UN,16,yaceup,NYMBEL,z,,,,,,0.62109375,-0.421875,0,0,0,,0,21,21,466,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.59835,,,,,,,,0.59835,1,,,,,,53,WORD,UN,16,ramble,POLICE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,22,22,232,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.962885,,,,,,,,0.962885,1,,,,,,393,NW,"ID",16,ganous,GANOUS,z,,,,,,0.62109375,-0.421875,0,0,0,,0,23,23,332,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.74156,,,,,,,,0.74156,1,,,,,,61,WORD,"ID",33,ponder,PONDER,m,,,,,,0.62109375,-0.421875,0,0,0,,0,24,24,0,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.77996,,,,,,,,0.77996,1,,,,,,212,WORD,UN,33,squeal,VERIFY,m,,,,,,0.62109375,-0.421875,0,0,0,,0,25,25,151,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.839585,,,,,,,,0.839585,1,,,,,,211,WORD,UN,33,verify,INFECT,m,,,,,,0.62109375,-0.421875,0,0,0,,0,26,26,150,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.652845,,,,,,,,0.652845,1,,,,,,150,WORD,"ID",16,random,RANDOM,m,,,,,,0.62109375,-0.421875,0,0,0,,0,27,27,89,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.59548,,,,,,,,0.59548,1,,,,,,201,WORD,UN,33,factor,ADMIRE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,28,28,140,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.679685,,,,,,,,0.679685,1,,,,,,251,NW,UN,16,stapod,LUPICT,z,,,,,,0.62109375,-0.421875,0,0,0,,0,29,29,430,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.77208,,,,,,,,0.77208,1,,,,,,304,NW,"ID",33,cludie,CLUDIE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,30,30,243,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.67681,,,,,,,,0.67681,1,,,,,,447,NW,UN,33,sadent,GIRCUE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,31,31,386,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.706305,,,,,,,,0.706305,1,,,,,,377,NW,"ID",16,injore,INJORE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,32,32,316,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.657105,,,,,,,,0.657105,1,,,,,,67,WORD,"ID",33,policy,POLICY,m,,,,,,0.62109375,-0.421875,0,0,0,,0,33,33,6,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.58414,,,,,,,,0.58414,1,,,,,,22,WORD,UN,16,wealth,JOCKEY,m,,,,,,0.62109375,-0.421875,0,0,0,,0,34,34,201,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.74725,,,,,,,,0.74725,1,,,,,,239,WORD,UN,33,forest,LUMBER,m,,,,,,0.62109375,-0.421875,0,0,0,,0,35,35,178,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.7518,,,,,,,,0.7518,1,,,,,,290,NW,UN,16,pretch,SPLINO,z,,,,,,0.62109375,-0.421875,0,0,0,,0,36,36,469,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.697245,,,,,,,,0.697245,1,,,,,,159,WORD,"ID",16,detail,DETAIL,m,,,,,,0.62109375,-0.421875,0,0,0,,0,37,37,98,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.71723,,,,,,,,0.71723,1,,,,,,227,WORD,UN,33,master,SELDOM,m,,,,,,0.62109375,-0.421875,0,0,0,,0,38,38,166,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.94956,,,,,,,,0.94956,1,,,,,,370,NW,"ID",16,sleact,SLEACT,z,,,,,,0.62109375,-0.421875,0,0,0,,0,39,39,309,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.765255,,,,,,,,0.765255,1,,,,,,330,NW,"ID",33,kensom,KENSOM,z,,,,,,0.62109375,-0.421875,0,0,0,,0,40,40,269,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.58304,,,,,,,,0.58304,1,,,,,,210,WORD,UN,33,infect,MONKEY,m,,,,,,0.62109375,-0.421875,0,0,0,,0,41,41,149,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.89714,,,,,,,,0.89714,1,,,,,,305,NW,"ID",33,forgle,FORGLE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,42,42,244,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.9446,,,,,,,,0.9446,1,,,,,,379,NW,"ID",16,auting,AUTING,z,,,,,,0.62109375,-0.421875,0,0,0,,0,43,43,318,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.98344,,,,,,,,0.98344,1,,,,,,478,NW,UN,33,pebric,ACRISE,z,,,,,,0.62109375,-0.421875,0,0,0,,0,44,44,417,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.832005,,,,,,,,0.832005,1,,,,,,271,NW,UN,16,damilt,AUBRID,z,,,,,,0.62109375,-0.421875,0,0,0,,0,45,45,450,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.63006,,,,,,,,0.63006,1,,,,,,163,WORD,"ID",16,string,STRING,m,,,,,,0.62109375,-0.421875,0,0,0,,0,46,46,102,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.73048,,,,,,,,0.73048,1,,,,,,459,NW,UN,33,mingar,BAFENT,z,,,,,,0.62109375,-0.421875,0,0,0,,0,47,47,398,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.797505,,,,,,,,0.797505,1,,,,,,64,WORD,"ID",33,throne,THRONE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,48,48,3,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.718465,,,,,,,,0.718465,1,,,,,,224,WORD,UN,33,vulgar,PERIOD,m,,,,,,0.62109375,-0.421875,0,0,0,,0,49,49,163,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.63185,,,,,,,,0.63185,1,,,,,,157,WORD,"ID",16,dragon,DRAGON,m,,,,,,0.62109375,-0.421875,0,0,0,,0,50,50,96,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.55383,,,,,,,,0.55383,1,,,,,,129,WORD,"ID",16,marvel,MARVEL,m,,,,,,0.62109375,-0.421875,0,0,0,,0,51,51,68,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.71554,,,,,,,,0.71554,1,,,,,,134,WORD,"ID",16,staple,STAPLE,m,,,,,,0.62109375,-0.421875,0,0,0,,0,52,52,73,1,,
,,,,,,,,,,,,,,,,,,5cba2e9af429ff00159dda71,2020-11-26_16h00.20.925,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.55213,,,,,,,,0.55213,1,,,,,,279,NW,UN,16,curbol,CELOND,z,,,,,,0.62109375,-0.421875,0,0,0,,0,53,53,458,1,,
