counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
4,,0.058333333,-0.387962963,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.04537037,-0.382407407,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.040740741,-0.380555556,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.039814815,-0.37962963,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.388888889,-0.267592593,1,0,0,0.09765,button_left,0.09765,1,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.275925926,-0.278703704,1,0,0,0.16568,button_right,0.16568,1,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.49537037,-0.27962963,1,0,0,0.13236,button_left,0.13236,1,0,2,2,14,1,1015,NW,UN,50,miaber,THRALE,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.400925926,-0.244444444,1,0,0,0.38168,button_left,0.38168,0,0,3,3,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.349074074,-0.247222222,1,0,0,0.132345,button_left,0.132345,0,0,4,4,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.15.542,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.337962963,-0.22962963,1,0,0,0.299185,button_left,0.299185,1,0,5,5,12,1,1013,NW,UN,33,adveil,SPRINY,z
