instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,-0.027777778,-0.398148148,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.025925926,-0.384259259,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.040740741,-0.396296296,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,1.63725,,,,,,,,1.63725,1,0,0,0,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.42017,,,,,,,,0.42017,1,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,1.011545,,,,,,,,1.011545,1,0,2,2,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,1.11586,,,,,,,,1.11586,1,0,3,3,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.44417,,,,,,,,0.44417,1,0,4,4,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.41884,,,,,,,,0.41884,0,0,5,5,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h56.33.330,lexical_decision_task_MP,2020.1.3,Win32,60,a,1,0.218525,,,,,,,,0.218525,1,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,,
