instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.633,,,,,,,,0.633,0,0,6,6,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.625,,,,,,,,0.625,1,0,7,7,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.804,,,,,,,,0.804,1,0,8,8,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.655,,,,,,,,0.655,1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.879,,,,,,,,0.879,1,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.594,,,,,,,,0.594,1,0,11,11,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.691,,,,,,,,0.691,1,0,12,12,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.626,,,,,,,,0.626,1,0,13,13,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.623,,,,,,,,0.623,1,0,14,14,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.379,,,,,,,,0.379,0,0,15,15,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,
,-0.062962963,-0.42037037,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.699,,,,,,,,1.699,0,,,,,,411,NW,"ID",50,orchin,ORCHIN,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,0,0,350,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.202,,,,,,,,0.202,1,,,,,,279,NW,UN,50,curbol,CELOND,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,1,1,458,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.549,,,,,,,,0.549,1,,,,,,94,WORD,"ID",33,travel,TRAVEL,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,2,2,33,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.005,,,,,,,,1.005,1,,,,,,301,NW,"ID",33,fainch,FAINCH,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,3,3,240,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.599,,,,,,,,0.599,1,,,,,,302,NW,"ID",33,miluer,MILUER,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,4,4,241,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,1.119,,,,,,,,1.119,0,,,,,,83,WORD,"ID",33,result,RESULT,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,5,5,22,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.953,,,,,,,,0.953,1,,,,,,332,NW,"ID",33,vangue,VANGUE,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,6,6,271,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.699,,,,,,,,0.699,1,,,,,,213,WORD,UN,33,intake,SQUEAL,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,7,7,152,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.198,,,,,,,,1.198,1,,,,,,346,NW,"ID",33,saudic,SAUDIC,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,8,8,285,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.246,,,,,,,,1.246,1,,,,,,56,WORD,UN,50,change,AMBUSH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,9,9,235,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.659,,,,,,,,0.659,1,,,,,,278,NW,UN,50,celond,UNIGHS,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,10,10,457,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.691,,,,,,,,0.691,1,,,,,,73,WORD,"ID",33,source,SOURCE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,11,11,12,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.639,,,,,,,,0.639,1,,,,,,421,NW,UN,33,alcoud,KNISMA,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,12,12,360,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.7,,,,,,,,0.7,1,,,,,,229,WORD,UN,33,fringe,MOTHER,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,13,13,168,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.588,,,,,,,,0.588,1,,,,,,234,WORD,UN,33,poster,CLUMSY,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,14,14,173,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.466,,,,,,,,0.466,0,,,,,,193,WORD,UN,33,mildew,OBJECT,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,15,15,132,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.344,,,,,,,,0.344,0,,,,,,395,NW,"ID",50,colury,COLURY,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,16,16,334,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.314,,,,,,,,0.314,0,,,,,,225,WORD,UN,33,casino,VULGAR,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,17,17,164,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.238,,,,,,,,0.238,0,,,,,,260,NW,UN,50,stunch,UNJECT,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,18,18,439,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.285,,,,,,,,0.285,1,,,,,,434,NW,UN,33,impurb,PITROM,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,19,19,373,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.254,,,,,,,,0.254,1,,,,,,63,WORD,"ID",33,launch,LAUNCH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,20,20,2,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.213,,,,,,,,0.213,0,,,,,,392,NW,"ID",50,rouncy,ROUNCY,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,21,21,331,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.238,,,,,,,,0.238,1,,,,,,82,WORD,"ID",33,stigma,STIGMA,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,22,22,21,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.329,,,,,,,,0.329,1,,,,,,156,WORD,"ID",50,cradle,CRADLE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,23,23,95,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.296,,,,,,,,0.296,1,,,,,,96,WORD,"ID",33,ignore,IGNORE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,24,24,35,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.309,,,,,,,,0.309,1,,,,,,359,NW,"ID",33,fonver,FONVER,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,25,25,298,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.431,,,,,,,,0.431,1,,,,,,67,WORD,"ID",33,policy,POLICY,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,26,26,6,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.098,,,,,,,,1.098,1,,,,,,39,WORD,UN,50,convey,INSECT,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,27,27,218,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.666,,,,,,,,0.666,1,,,,,,115,WORD,"ID",33,guitar,GUITAR,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,28,28,54,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.483,,,,,,,,0.483,0,,,,,,250,NW,UN,50,lupict,MILTED,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,29,29,429,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.615,,,,,,,,0.615,1,,,,,,316,NW,"ID",33,scregm,SCREGM,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,30,30,255,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.645,,,,,,,,0.645,0,,,,,,101,WORD,"ID",33,wrench,WRENCH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,31,31,40,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.441,,,,,,,,0.441,1,,,,,,223,WORD,UN,33,period,KIDNEY,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,32,32,162,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.335,,,,,,,,0.335,1,,,,,,366,NW,"ID",50,toshel,TOSHEL,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,33,33,305,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.29,,,,,,,,0.29,1,,,,,,68,WORD,"ID",33,fumble,FUMBLE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,34,34,7,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.327,,,,,,,,0.327,1,,,,,,401,NW,"ID",50,mustil,MUSTIL,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,35,35,340,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.254,,,,,,,,0.254,1,,,,,,75,WORD,"ID",33,trophy,TROPHY,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,36,36,14,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.242,,,,,,,,0.242,1,,,,,,374,NW,"ID",50,sliant,SLIANT,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,37,37,313,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.273,,,,,,,,0.273,1,,,,,,92,WORD,"ID",33,strand,STRAND,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,38,38,31,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.234,,,,,,,,0.234,1,,,,,,422,NW,UN,33,streld,ALCOUD,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,39,39,361,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.157,,,,,,,,0.157,0,,,,,,262,NW,UN,50,dolica,QUILEW,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,40,40,441,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.367,,,,,,,,0.367,0,,,,,,206,WORD,UN,33,wreath,TAILOR,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,41,41,145,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.193,,,,,,,,0.193,0,,,,,,432,NW,UN,33,drance,LUNKER,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,42,42,371,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.217,,,,,,,,0.217,0,,,,,,80,WORD,"ID",33,family,FAMILY,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,43,43,19,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.188,,,,,,,,0.188,0,,,,,,458,NW,UN,33,hocite,BARCET,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,44,44,397,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.133,,,,,,,,0.133,0,,,,,,237,WORD,UN,33,glance,POSTER,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,45,45,176,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.149,,,,,,,,0.149,1,,,,,,31,WORD,UN,50,buckle,WEAPON,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,46,46,210,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.212,,,,,,,,0.212,0,,,,,,110,WORD,"ID",33,polite,POLITE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,47,47,49,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.347,,,,,,,,0.347,0,,,,,,136,WORD,"ID",50,bleach,BLEACH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,48,48,75,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.159,,,,,,,,0.159,1,,,,,,188,WORD,UN,33,censor,SOCIAL,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,49,49,127,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.217,,,,,,,,0.217,1,,,,,,167,WORD,"ID",50,design,DESIGN,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,50,50,106,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.201,,,,,,,,0.201,0,,,,,,397,NW,"ID",50,camble,CAMBLE,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,51,51,336,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.138,,,,,,,,0.138,0,,,,,,176,WORD,"ID",50,strife,STRIFE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,52,52,115,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.237,,,,,,,,0.237,0,,,,,,293,NW,UN,50,inhort,SWANCE,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,53,53,472,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.238,,,,,,,,0.238,0,,,,,,222,WORD,UN,33,export,HINDER,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,54,54,161,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.227,,,,,,,,0.227,0,,,,,,393,NW,"ID",50,ganous,GANOUS,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,55,55,332,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.281,,,,,,,,0.281,1,,,,,,183,WORD,UN,33,sleazy,MILDEW,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,56,56,122,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.275,,,,,,,,0.275,0,,,,,,378,NW,"ID",50,shrile,SHRILE,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,57,57,317,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.286,,,,,,,,0.286,0,,,,,,471,NW,UN,33,cigney,NOBEST,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,58,58,410,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.363,,,,,,,,0.363,1,,,,,,205,WORD,UN,33,tailor,LOUNGE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,59,59,144,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.574,,,,,,,,0.574,1,,,,,,228,WORD,UN,33,kidney,MASTER,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,60,60,167,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.693,,,,,,,,0.693,0,,,,,,399,NW,"ID",50,fouret,FOURET,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,61,61,338,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.289,,,,,,,,0.289,0,,,,,,162,WORD,"ID",50,candle,CANDLE,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,62,62,101,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.233,,,,,,,,0.233,1,,,,,,36,WORD,UN,50,insult,VANISH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,63,63,215,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.205,,,,,,,,0.205,0,,,,,,29,WORD,UN,50,orient,SKETCH,m,,,,,,-0.072222222,-0.338888889,0,0,0,,0,64,64,208,1,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h45.38.128,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.133,,,,,,,,0.133,0,,,,,,285,NW,UN,50,reldon,PRUDGE,z,,,,,,-0.072222222,-0.338888889,0,0,0,,0,65,65,464,1,
