counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.616135,1,0,9,9,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,0.616135,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.685645,1,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.685645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.631255,1,0,11,11,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.631255,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.53925,1,0,12,12,14,1,1015,NW,UN,50,miaber,THRALE,z,0.53925,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.6428,1,0,13,13,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.6428,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.838975,1,0,14,14,11,1,1012,NW,"ID",50,rashet,RASHET,z,0.838975,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.618935,1,0,15,15,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.618935,,,,,,,,,,,,,,,,,
,space,10.076035,0.107407407,-0.142592593,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.848115,1,,,,,,100,WORD,"ID",33,carbon,CARBON,m,0.848115,,,,,,0.107407407,-0.142592593,0,0,0,,0,0,0,39,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.85634,1,,,,,,473,NW,UN,33,hablin,CRIBLE,z,0.85634,,,,,,0.107407407,-0.142592593,0,0,0,,0,1,1,412,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.703445,1,,,,,,151,WORD,"ID",50,mystic,MYSTIC,m,0.703445,,,,,,0.107407407,-0.142592593,0,0,0,,0,2,2,90,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.72425,1,,,,,,181,WORD,UN,33,winter,GLANCE,m,0.72425,,,,,,0.107407407,-0.142592593,0,0,0,,0,3,3,120,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.585125,1,,,,,,458,NW,UN,33,hocite,BARCET,z,0.585125,,,,,,0.107407407,-0.142592593,0,0,0,,0,4,4,397,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.506725,1,,,,,,12,WORD,UN,50,strive,ORANGE,m,0.506725,,,,,,0.107407407,-0.142592593,0,0,0,,0,5,5,191,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.671035,1,,,,,,315,NW,"ID",33,laston,LASTON,z,0.671035,,,,,,0.107407407,-0.142592593,0,0,0,,0,6,6,254,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.69532,1,,,,,,336,NW,"ID",33,ghodus,GHODUS,z,0.69532,,,,,,0.107407407,-0.142592593,0,0,0,,0,7,7,275,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.748115,1,,,,,,122,WORD,"ID",50,linger,LINGER,m,0.748115,,,,,,0.107407407,-0.142592593,0,0,0,,0,8,8,61,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.511855,1,,,,,,201,WORD,UN,33,factor,ADMIRE,m,0.511855,,,,,,0.107407407,-0.142592593,0,0,0,,0,9,9,140,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.50002,1,,,,,,143,WORD,"ID",50,reason,REASON,m,0.50002,,,,,,0.107407407,-0.142592593,0,0,0,,0,10,10,82,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.498175,1,,,,,,205,WORD,UN,33,tailor,LOUNGE,m,0.498175,,,,,,0.107407407,-0.142592593,0,0,0,,0,11,11,144,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.51145,1,,,,,,337,NW,"ID",33,rejols,REJOLS,z,0.51145,,,,,,0.107407407,-0.142592593,0,0,0,,0,12,12,276,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.50809,1,,,,,,38,WORD,UN,50,insect,POWDER,m,0.50809,,,,,,0.107407407,-0.142592593,0,0,0,,0,13,13,217,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.6489,1,,,,,,270,NW,UN,50,aubrid,WRIMSY,z,0.6489,,,,,,0.107407407,-0.142592593,0,0,0,,0,14,14,449,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.049215,1,,,,,,402,NW,"ID",50,syntic,SYNTIC,z,1.049215,,,,,,0.107407407,-0.142592593,0,0,0,,0,15,15,341,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.68749,1,,,,,,457,NW,UN,33,barcet,WANIGH,z,0.68749,,,,,,0.107407407,-0.142592593,0,0,0,,0,16,16,396,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.556995,1,,,,,,317,NW,"ID",33,worbal,WORBAL,z,0.556995,,,,,,0.107407407,-0.142592593,0,0,0,,0,17,17,256,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,,,,,,,,0.64834,0,,,,,,30,WORD,UN,50,weapon,ORIENT,m,0.64834,,,,,,0.107407407,-0.142592593,0,0,0,,0,18,18,209,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.262715,1,,,,,,266,NW,UN,50,pasink,VARMIT,z,1.262715,,,,,,0.107407407,-0.142592593,0,0,0,,0,19,19,445,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.589765,1,,,,,,256,NW,UN,50,veniod,INLORS,z,0.589765,,,,,,0.107407407,-0.142592593,0,0,0,,0,20,20,435,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.63229,1,,,,,,407,NW,"ID",50,suiver,SUIVER,z,0.63229,,,,,,0.107407407,-0.142592593,0,0,0,,0,21,21,346,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.60715,1,,,,,,206,WORD,UN,33,wreath,TAILOR,m,0.60715,,,,,,0.107407407,-0.142592593,0,0,0,,0,22,22,145,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.68726,1,,,,,,189,WORD,UN,33,backup,CENSOR,m,0.68726,,,,,,0.107407407,-0.142592593,0,0,0,,0,23,23,128,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.58995,1,,,,,,453,NW,UN,33,scouge,BOLVIS,z,0.58995,,,,,,0.107407407,-0.142592593,0,0,0,,0,24,24,392,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.58387,1,,,,,,405,NW,"ID",50,flumni,FLUMNI,z,0.58387,,,,,,0.107407407,-0.142592593,0,0,0,,0,25,25,344,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.72206,1,,,,,,431,NW,UN,33,lunker,CHRUMS,z,0.72206,,,,,,0.107407407,-0.142592593,0,0,0,,0,26,26,370,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.837665,1,,,,,,178,WORD,"ID",50,inform,INFORM,m,0.837665,,,,,,0.107407407,-0.142592593,0,0,0,,0,27,27,117,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.67893,1,,,,,,211,WORD,UN,33,verify,INFECT,m,0.67893,,,,,,0.107407407,-0.142592593,0,0,0,,0,28,28,150,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.51641,1,,,,,,161,WORD,"ID",50,pastor,PASTOR,m,0.51641,,,,,,0.107407407,-0.142592593,0,0,0,,0,29,29,100,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.64159,1,,,,,,99,WORD,"ID",33,fluent,FLUENT,m,0.64159,,,,,,0.107407407,-0.142592593,0,0,0,,0,30,30,38,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.663915,1,,,,,,33,WORD,UN,50,jungle,BUTLER,m,0.663915,,,,,,0.107407407,-0.142592593,0,0,0,,0,31,31,212,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.52735,1,,,,,,223,WORD,UN,33,period,KIDNEY,m,0.52735,,,,,,0.107407407,-0.142592593,0,0,0,,0,32,32,162,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.563365,1,,,,,,276,NW,UN,50,petain,YARMON,z,0.563365,,,,,,0.107407407,-0.142592593,0,0,0,,0,33,33,455,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.6302,1,,,,,,454,NW,UN,33,tondle,SCOUGE,z,0.6302,,,,,,0.107407407,-0.142592593,0,0,0,,0,34,34,393,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.541195,1,,,,,,18,WORD,UN,50,patron,HUMBLE,m,0.541195,,,,,,0.107407407,-0.142592593,0,0,0,,0,35,35,197,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.62615,1,,,,,,283,NW,UN,50,shaple,VERALF,z,0.62615,,,,,,0.107407407,-0.142592593,0,0,0,,0,36,36,462,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.71378,1,,,,,,157,WORD,"ID",50,dragon,DRAGON,m,0.71378,,,,,,0.107407407,-0.142592593,0,0,0,,0,37,37,96,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.583475,1,,,,,,426,NW,UN,33,schind,URIVEL,z,0.583475,,,,,,0.107407407,-0.142592593,0,0,0,,0,38,38,365,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.5689,1,,,,,,187,WORD,UN,33,social,COURSE,m,0.5689,,,,,,0.107407407,-0.142592593,0,0,0,,0,39,39,126,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,,,,,,,,0.53997,0,,,,,,42,WORD,UN,50,tongue,CHAPEL,m,0.53997,,,,,,0.107407407,-0.142592593,0,0,0,,0,40,40,221,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.808505,1,,,,,,66,WORD,"ID",33,gospel,GOSPEL,m,0.808505,,,,,,0.107407407,-0.142592593,0,0,0,,0,41,41,5,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.7125,1,,,,,,35,WORD,UN,50,vanish,SOCKET,m,0.7125,,,,,,0.107407407,-0.142592593,0,0,0,,0,42,42,214,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.60535,1,,,,,,385,NW,"ID",50,veigma,VEIGMA,z,0.60535,,,,,,0.107407407,-0.142592593,0,0,0,,0,43,43,324,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.62249,1,,,,,,16,WORD,UN,50,charge,FAUCET,m,0.62249,,,,,,0.107407407,-0.142592593,0,0,0,,0,44,44,195,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.695795,1,,,,,,265,NW,UN,50,varmit,DISTAR,z,0.695795,,,,,,0.107407407,-0.142592593,0,0,0,,0,45,45,444,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.6291,1,,,,,,164,WORD,"ID",50,market,MARKET,m,0.6291,,,,,,0.107407407,-0.142592593,0,0,0,,0,46,46,103,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,1.092575,1,,,,,,231,WORD,UN,33,inject,EXPORT,m,1.092575,,,,,,0.107407407,-0.142592593,0,0,0,,0,47,47,170,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.51665,1,,,,,,221,WORD,UN,33,hinder,MASCOT,m,0.51665,,,,,,0.107407407,-0.142592593,0,0,0,,0,48,48,160,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.47931,1,,,,,,155,WORD,"ID",50,lizard,LIZARD,m,0.47931,,,,,,0.107407407,-0.142592593,0,0,0,,0,49,49,94,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.50884,1,,,,,,220,WORD,UN,33,mascot,VOYAGE,m,0.50884,,,,,,0.107407407,-0.142592593,0,0,0,,0,50,50,159,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.570015,1,,,,,,13,WORD,UN,50,almost,STRIVE,m,0.570015,,,,,,0.107407407,-0.142592593,0,0,0,,0,51,51,192,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.628765,1,,,,,,394,NW,"ID",50,spaqux,SPAQUX,z,0.628765,,,,,,0.107407407,-0.142592593,0,0,0,,0,52,52,333,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.787565,1,,,,,,343,NW,"ID",33,aimosy,AIMOSY,z,0.787565,,,,,,0.107407407,-0.142592593,0,0,0,,0,53,53,282,1,
,,,,,,,,,,,,,,,,,,5d30b98eb8f4a500193ce6c6,2020-08-10_13h44.54.539,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.50446,1,,,,,,103,WORD,"ID",33,bounce,BOUNCE,m,0.50446,,,,,,0.107407407,-0.142592593,0,0,0,,0,54,54,42,1,
