counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.907,,,,,,,,0.907,0,0,6,6,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.801,,,,,,,,0.801,1,0,7,7,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.198,,,,,,,,1.198,0,0,8,8,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.015,,,,,,,,1.015,1,0,9,9,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.265,,,,,,,,1.265,1,0,10,10,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.293,,,,,,,,1.293,1,0,11,11,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.983,,,,,,,,0.983,1,0,12,12,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.91,,,,,,,,0.91,1,0,13,13,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.716,,,,,,,,0.716,1,0,14,14,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.832,,,,,,,,0.832,1,0,15,15,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
,space,-0.06640625,-0.388020833,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,164.846,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.841,,,,,,,,0.841,1,,,,,,196,WORD,"ID",33,credit,CREDIT,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,0,0,15,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.634,,,,,,,,0.634,1,,,,,,80,WORD,UN,33,friend,FAMILY,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,1,1,139,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.593,,,,,,,,0.593,1,,,,,,64,WORD,UN,33,symbol,THRONE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,2,2,123,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.732,,,,,,,,0.732,1,,,,,,99,WORD,UN,33,carbon,FLUENT,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,3,3,158,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.089,,,,,,,,1.089,1,,,,,,394,NW,UN,50,colury,SPAQUX,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,4,4,453,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.022,,,,,,,,1.022,0,,,,,,451,NW,"ID",33,cainky,CAINKY,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,5,5,270,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.383,,,,,,,,1.383,1,,,,,,102,WORD,UN,33,bounce,DIRECT,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,6,6,161,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.848,,,,,,,,0.848,1,,,,,,143,WORD,UN,50,sponge,REASON,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,7,7,202,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.848,-1,,,,,,76,WORD,UN,33,racket,EXOTIC,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,8,8,135,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.038,,,,,,,,1.038,1,,,,,,122,WORD,UN,50,strike,LINGER,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,9,9,181,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.282,,,,,,,,1.282,0,,,,,,348,NW,UN,33,asylen,DUMPLE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,10,10,407,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.79,,,,,,,,0.79,1,,,,,,215,WORD,"ID",33,phobia,PHOBIA,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,11,11,34,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.683,,,,,,,,0.683,1,,,,,,173,WORD,UN,50,turkey,SHOWER,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,12,12,232,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.821,,,,,,,,0.821,1,,,,,,238,WORD,"ID",33,flower,FLOWER,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,13,13,57,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.389,,,,,,,,1.389,1,,,,,,373,NW,UN,50,sliant,BIGENT,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,14,14,432,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.072,,,,,,,,1.072,1,,,,,,452,NW,"ID",33,surden,SURDEN,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,15,15,271,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,1.082,,,,,,,,1.082,0,,,,,,138,WORD,UN,50,debris,MELODY,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,16,16,197,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.042,,,,,,,,1.042,1,,,,,,411,NW,UN,50,jiluer,ORCHIN,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,17,17,470,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.821,,,,,,,,0.821,1,,,,,,21,WORD,"ID",50,simple,SIMPLE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,18,18,80,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.059,,,,,,,,1.059,1,,,,,,321,NW,UN,33,slanch,MIATOR,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,19,19,380,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.46,,,,,,,,1.46,1,,,,,,105,WORD,UN,33,ransom,NUMBER,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,20,20,164,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.059,,,,,,,,1.059,1,,,,,,9,WORD,"ID",50,hustle,HUSTLE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,21,21,68,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.77,,,,,,,,0.77,1,,,,,,77,WORD,UN,33,column,RACKET,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,22,22,136,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.819,,,,,,,,0.819,1,,,,,,258,NW,"ID",50,poluth,POLUTH,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,23,23,317,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.819,-1,,,,,,103,WORD,UN,33,studio,BOUNCE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,24,24,162,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.077,,,,,,,,1.077,1,,,,,,396,NW,UN,50,camble,FLENGY,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,25,25,455,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,1.077,-1,,,,,,327,NW,UN,33,broake,PLENAC,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,26,26,386,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.801,,,,,,,,1.801,1,,,,,,137,WORD,UN,50,melody,FINGER,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,27,27,196,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.043,,,,,,,,1.043,1,,,,,,390,NW,UN,50,theldy,HATRUS,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,28,28,449,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.219,,,,,,,,1.219,1,,,,,,294,NW,"ID",50,inhort,INHORT,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,29,29,353,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.82,,,,,,,,0.82,1,,,,,,383,NW,UN,50,guesco,AUNGRE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,30,30,442,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.949,,,,,,,,0.949,1,,,,,,223,WORD,"ID",33,kidney,KIDNEY,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,31,31,42,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.591,,,,,,,,0.591,1,,,,,,28,WORD,"ID",50,comedy,COMEDY,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,32,32,87,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.617,,,,,,,,0.617,1,,,,,,282,NW,"ID",50,porlex,PORLEX,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,33,33,341,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.122,,,,,,,,1.122,1,,,,,,72,WORD,UN,33,source,BRIGHT,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,34,34,131,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.815,,,,,,,,0.815,1,,,,,,316,NW,UN,33,worbal,SCREGM,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,35,35,375,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1,,,,,,,,1,1,,,,,,145,WORD,UN,50,couple,PARISH,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,36,36,204,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.04,,,,,,,,1.04,1,,,,,,307,NW,UN,33,psetch,KIRAFE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,37,37,366,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.932,,,,,,,,0.932,1,,,,,,318,NW,UN,33,zomber,REAGLY,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,38,38,377,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.702,,,,,,,,0.702,1,,,,,,279,NW,"ID",50,celond,CELOND,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,39,39,338,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.851,,,,,,,,0.851,1,,,,,,329,NW,UN,33,kensom,YARIKE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,40,40,388,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.834,,,,,,,,0.834,1,,,,,,117,WORD,UN,33,flight,BRANCH,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,41,41,176,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.522,,,,,,,,1.522,1,,,,,,205,WORD,"ID",33,lounge,LOUNGE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,42,42,24,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.871,,,,,,,,0.871,1,,,,,,257,NW,"ID",50,veniod,VENIOD,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,43,43,316,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.175,,,,,,,,1.175,1,,,,,,322,NW,UN,33,rosail,SLANCH,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,44,44,381,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.257,,,,,,,,1.257,1,,,,,,201,WORD,"ID",33,admire,ADMIRE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,45,45,20,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.233,,,,,,,,1.233,1,,,,,,313,NW,UN,33,sprine,PAURSE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,46,46,372,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.819,,,,,,,,0.819,1,,,,,,199,WORD,"ID",33,invoke,INVOKE,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,47,47,18,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.036,,,,,,,,1.036,1,,,,,,51,WORD,"ID",50,hungry,HUNGRY,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,48,48,110,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,1.036,-1,,,,,,16,WORD,"ID",50,faucet,FAUCET,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,49,49,75,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.456,,,,,,,,1.456,1,,,,,,89,WORD,UN,33,relish,PERMIT,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,50,50,148,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.934,,,,,,,,0.934,1,,,,,,151,WORD,UN,50,rocket,MYSTIC,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,51,51,210,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.801,,,,,,,,0.801,1,,,,,,436,NW,"ID",33,frutan,FRUTAN,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,52,52,255,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.6,,,,,,,,0.6,1,,,,,,261,NW,"ID",50,stunch,STUNCH,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,53,53,320,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.566,,,,,,,,0.566,1,,,,,,293,NW,"ID",50,swance,SWANCE,z,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,54,54,352,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.801,,,,,,,,0.801,1,,,,,,161,WORD,UN,50,candle,PASTOR,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,55,55,220,1,
,,,,,,,,,,,,,,,,,,5c0c90e7632102000147c3cc,2020-08-10_10h50.25.183,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.834,,,,,,,,0.834,1,,,,,,78,WORD,UN,33,theory,COLUMN,m,,,,,,,-0.06640625,-0.388020833,0,0,0,,0,56,56,137,1,
