counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.472575,1,0,6,6,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,0.472575,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.49619,1,0,7,7,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,0.49619,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.585915,1,0,8,8,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,0.585915,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.597445,1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.597445,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.717875,1,0,10,10,10,1,1011,NW,"ID",50,inlade,INLADE,z,0.717875,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.531,1,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.531,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.66276,1,0,12,12,15,1,1016,NW,UN,50,mushed,WHAISE,z,0.66276,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.57361,1,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.57361,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,,,,,,,,0.54514,0,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.54514,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.61522,1,0,15,15,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.61522,,,,,,,,,,,,,,,,,,
,space,0.59765625,0.09765625,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,126.0026,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.54186,1,,,,,,39,WORD,UN,50,convey,INSECT,m,0.54186,,,,,,,0.59765625,0.09765625,0,0,0,,0,0,0,218,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.88533,1,,,,,,50,WORD,UN,50,hungry,SNATCH,m,0.88533,,,,,,,0.59765625,0.09765625,0,0,0,,0,1,1,229,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.82316,1,,,,,,88,WORD,"ID",33,hunger,HUNGER,m,0.82316,,,,,,,0.59765625,0.09765625,0,0,0,,0,2,2,27,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.62714,1,,,,,,279,NW,UN,50,curbol,CELOND,z,0.62714,,,,,,,0.59765625,0.09765625,0,0,0,,0,3,3,458,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.48271,1,,,,,,193,WORD,UN,33,mildew,OBJECT,m,0.48271,,,,,,,0.59765625,0.09765625,0,0,0,,0,4,4,132,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.55316,1,,,,,,291,NW,UN,50,ablint,PRETCH,z,0.55316,,,,,,,0.59765625,0.09765625,0,0,0,,0,5,5,470,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.57737,1,,,,,,365,NW,"ID",50,guairt,GUAIRT,z,0.57737,,,,,,,0.59765625,0.09765625,0,0,0,,0,6,6,304,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.50262,1,,,,,,300,NW,UN,50,smenco,YARION,z,0.50262,,,,,,,0.59765625,0.09765625,0,0,0,,0,7,7,479,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.58081,1,,,,,,414,NW,"ID",50,serbol,SERBOL,z,0.58081,,,,,,,0.59765625,0.09765625,0,0,0,,0,8,8,353,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.63248,1,,,,,,436,NW,UN,33,snapel,FRUTAN,z,0.63248,,,,,,,0.59765625,0.09765625,0,0,0,,0,9,9,375,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.57513,1,,,,,,432,NW,UN,33,drance,LUNKER,z,0.57513,,,,,,,0.59765625,0.09765625,0,0,0,,0,10,10,371,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.46995,1,,,,,,415,NW,"ID",50,higsta,HIGSTA,z,0.46995,,,,,,,0.59765625,0.09765625,0,0,0,,0,11,11,354,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.5549,1,,,,,,465,NW,UN,33,bafent,WHIVEX,z,0.5549,,,,,,,0.59765625,0.09765625,0,0,0,,0,12,12,404,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.66478,1,,,,,,352,NW,"ID",33,tringe,TRINGE,z,0.66478,,,,,,,0.59765625,0.09765625,0,0,0,,0,13,13,291,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.68546,1,,,,,,181,WORD,UN,33,winter,GLANCE,m,0.68546,,,,,,,0.59765625,0.09765625,0,0,0,,0,14,14,120,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.444345,1,,,,,,148,WORD,"ID",50,custom,CUSTOM,m,0.444345,,,,,,,0.59765625,0.09765625,0,0,0,,0,15,15,87,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.56901,1,,,,,,290,NW,UN,50,pretch,SPLINO,z,0.56901,,,,,,,0.59765625,0.09765625,0,0,0,,0,16,16,469,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.554365,1,,,,,,412,NW,"ID",50,jiluer,JILUER,z,0.554365,,,,,,,0.59765625,0.09765625,0,0,0,,0,17,17,351,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.53537,1,,,,,,274,NW,UN,50,sleirt,FUMBLO,z,0.53537,,,,,,,0.59765625,0.09765625,0,0,0,,0,18,18,453,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.54013,1,,,,,,287,NW,UN,50,yaceup,NYMBEL,z,0.54013,,,,,,,0.59765625,0.09765625,0,0,0,,0,19,19,466,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.88575,1,,,,,,413,NW,"ID",50,equats,EQUATS,z,0.88575,,,,,,,0.59765625,0.09765625,0,0,0,,0,20,20,352,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.67394,1,,,,,,64,WORD,"ID",33,throne,THRONE,m,0.67394,,,,,,,0.59765625,0.09765625,0,0,0,,0,21,21,3,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.654225,1,,,,,,250,NW,UN,50,lupict,MILTED,z,0.654225,,,,,,,0.59765625,0.09765625,0,0,0,,0,22,22,429,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.6641,1,,,,,,249,NW,UN,50,milted,BATROL,z,0.6641,,,,,,,0.59765625,0.09765625,0,0,0,,0,23,23,428,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.56287,1,,,,,,49,WORD,UN,50,snatch,SURVEY,m,0.56287,,,,,,,0.59765625,0.09765625,0,0,0,,0,24,24,228,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.61668,1,,,,,,2,WORD,UN,50,knight,BRIDGE,m,0.61668,,,,,,,0.59765625,0.09765625,0,0,0,,0,25,25,181,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.480285,1,,,,,,169,WORD,"ID",50,genius,GENIUS,m,0.480285,,,,,,,0.59765625,0.09765625,0,0,0,,0,26,26,108,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.502445,1,,,,,,41,WORD,UN,50,chapel,SPRING,m,0.502445,,,,,,,0.59765625,0.09765625,0,0,0,,0,27,27,220,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.606665,1,,,,,,434,NW,UN,33,impurb,PITROM,z,0.606665,,,,,,,0.59765625,0.09765625,0,0,0,,0,28,28,373,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.56226,1,,,,,,127,WORD,"ID",50,castle,CASTLE,m,0.56226,,,,,,,0.59765625,0.09765625,0,0,0,,0,29,29,66,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.8307,1,,,,,,420,NW,"ID",50,gushop,GUSHOP,z,0.8307,,,,,,,0.59765625,0.09765625,0,0,0,,0,30,30,359,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.490355,1,,,,,,296,NW,UN,50,fertic,BEINCH,z,0.490355,,,,,,,0.59765625,0.09765625,0,0,0,,0,31,31,475,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.542605,1,,,,,,384,NW,"ID",50,guesco,GUESCO,z,0.542605,,,,,,,0.59765625,0.09765625,0,0,0,,0,32,32,323,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.737675,1,,,,,,142,WORD,"ID",50,spruce,SPRUCE,m,0.737675,,,,,,,0.59765625,0.09765625,0,0,0,,0,33,33,81,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.79851,1,,,,,,217,WORD,UN,33,shrink,LIQUOR,m,0.79851,,,,,,,0.59765625,0.09765625,0,0,0,,0,34,34,156,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.53999,1,,,,,,453,NW,UN,33,scouge,BOLVIS,z,0.53999,,,,,,,0.59765625,0.09765625,0,0,0,,0,35,35,392,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.93049,1,,,,,,325,NW,"ID",33,thruse,THRUSE,z,0.93049,,,,,,,0.59765625,0.09765625,0,0,0,,0,36,36,264,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.644145,1,,,,,,262,NW,UN,50,dolica,QUILEW,z,0.644145,,,,,,,0.59765625,0.09765625,0,0,0,,0,37,37,441,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.55293,1,,,,,,362,NW,"ID",50,tireau,TIREAU,z,0.55293,,,,,,,0.59765625,0.09765625,0,0,0,,0,38,38,301,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.584515,1,,,,,,37,WORD,UN,50,powder,INSULT,m,0.584515,,,,,,,0.59765625,0.09765625,0,0,0,,0,39,39,216,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.57556,1,,,,,,459,NW,UN,33,mingar,BAFENT,z,0.57556,,,,,,,0.59765625,0.09765625,0,0,0,,0,40,40,398,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.556985,1,,,,,,272,NW,UN,50,sortel,DAMILT,z,0.556985,,,,,,,0.59765625,0.09765625,0,0,0,,0,41,41,451,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.57048,1,,,,,,218,WORD,UN,33,bucket,SHRINK,m,0.57048,,,,,,,0.59765625,0.09765625,0,0,0,,0,42,42,157,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.24219,1,,,,,,469,NW,UN,33,crudio,PADIFS,z,1.24219,,,,,,,0.59765625,0.09765625,0,0,0,,0,43,43,408,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.696965,1,,,,,,183,WORD,UN,33,sleazy,MILDEW,m,0.696965,,,,,,,0.59765625,0.09765625,0,0,0,,0,44,44,122,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.67256,1,,,,,,299,NW,UN,50,yarion,STURCH,z,0.67256,,,,,,,0.59765625,0.09765625,0,0,0,,0,45,45,478,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.30989,1,,,,,,264,NW,UN,50,distar,VACKEL,z,1.30989,,,,,,,0.59765625,0.09765625,0,0,0,,0,46,46,443,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.521825,1,,,,,,382,NW,"ID",50,sarley,SARLEY,z,1.521825,,,,,,,0.59765625,0.09765625,0,0,0,,0,47,47,321,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.57186,1,,,,,,340,NW,"ID",33,fiatch,FIATCH,z,0.57186,,,,,,,0.59765625,0.09765625,0,0,0,,0,48,48,279,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,1.63594,1,,,,,,236,WORD,UN,33,grumpy,PIRATE,m,1.63594,,,,,,,0.59765625,0.09765625,0,0,0,,0,49,49,175,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.371185,1,,,,,,457,NW,UN,33,barcet,WANIGH,z,1.371185,,,,,,,0.59765625,0.09765625,0,0,0,,0,50,50,396,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,1.33592,1,,,,,,134,WORD,"ID",50,staple,STAPLE,m,1.33592,,,,,,,0.59765625,0.09765625,0,0,0,,0,51,51,73,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.702825,1,,,,,,336,NW,"ID",33,ghodus,GHODUS,z,0.702825,,,,,,,0.59765625,0.09765625,0,0,0,,0,52,52,275,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.634165,1,,,,,,458,NW,UN,33,hocite,BARCET,z,0.634165,,,,,,,0.59765625,0.09765625,0,0,0,,0,53,53,397,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.535085,1,,,,,,379,NW,"ID",50,auting,AUTING,z,0.535085,,,,,,,0.59765625,0.09765625,0,0,0,,0,54,54,318,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,0.917035,1,,,,,,374,NW,"ID",50,sliant,SLIANT,z,0.917035,,,,,,,0.59765625,0.09765625,0,0,0,,0,55,55,313,1,
,,,,,,,,,,,,,,,,,,5efc7246abf5130132092e31,2020-08-10_19h31.18.300,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.78087,1,,,,,,158,WORD,"ID",50,island,ISLAND,m,0.78087,,,,,,,0.59765625,0.09765625,0,0,0,,0,56,56,97,1,
