counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.460251046,-0.328451883,1,0,0,0.72,button_right,0.72,1,0,6,6,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.466527197,-0.309623431,1,0,0,0.861,button_right,0.861,0,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.50209205,-0.307531381,1,0,0,0.947,button_right,0.947,0,0,8,8,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.451882845,-0.29916318,1,0,0,0.881,button_left,0.881,1,0,9,9,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.458158996,-0.307531381,1,0,0,0.797,button_right,0.797,1,0,10,10,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.468619247,-0.311715481,1,0,0,0.949,button_right,0.949,1,0,11,11,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.470711297,-0.292887029,1,0,0,0.769,button_left,0.769,1,0,12,12,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.430962343,-0.330543933,1,0,0,0.795,button_left,0.795,1,0,13,13,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.506276151,-0.320083682,1,0,0,0.571,button_right,0.571,1,0,14,14,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.491631799,-0.309623431,1,0,0,0.684,button_right,0.684,1,0,15,15,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,-0.052301255,-0.414225941,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.372384937,-0.284518828,1,0,0,0.821,button_left,0.821,1,,,,,,306,NW,"ID",33,sounge,SOUNGE,z,,,,,,-0.372384937,-0.284518828,1,0,0,,0,0,0,245,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.39748954,-0.29916318,1,0,0,0.823,button_left,0.823,1,,,,,,379,NW,"ID",50,auting,AUTING,z,,,,,,-0.39748954,-0.29916318,1,0,0,,0,1,1,318,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.416317992,-0.313807531,1,0,0,0.88,button_left,0.88,1,,,,,,479,NW,UN,33,crible,LOBUSH,z,,,,,,-0.416317992,-0.313807531,1,0,0,,0,2,2,418,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.447698745,-0.309623431,1,0,0,0.985,button_left,0.985,1,,,,,,439,NW,UN,33,saride,LIMPOR,z,,,,,,-0.447698745,-0.309623431,1,0,0,,0,3,3,378,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.479079498,-0.336820084,1,0,0,0.689,button_right,0.689,1,,,,,,192,WORD,UN,33,object,PLAGUE,m,,,,,,0.479079498,-0.336820084,1,0,0,,0,4,4,131,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.435146444,-0.326359833,1,0,0,0.822,button_left,0.822,1,,,,,,370,NW,"ID",50,sleact,SLEACT,z,,,,,,-0.435146444,-0.326359833,1,0,0,,0,5,5,309,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.506276151,-0.332635983,1,0,0,0.654,button_right,0.654,1,,,,,,160,WORD,"ID",50,violet,VIOLET,m,,,,,,0.506276151,-0.332635983,1,0,0,,0,6,6,99,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.485355649,-0.332635983,1,0,0,0.644,button_right,0.644,1,,,,,,236,WORD,UN,33,grumpy,PIRATE,m,,,,,,0.485355649,-0.332635983,1,0,0,,0,7,7,175,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.462343096,-0.315899582,1,0,0,0.804,button_left,0.804,1,,,,,,426,NW,UN,33,schind,URIVEL,z,,,,,,-0.462343096,-0.315899582,1,0,0,,0,8,8,365,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.493723849,-0.274058577,1,0,0,0.703,button_left,0.703,1,,,,,,401,NW,"ID",50,mustil,MUSTIL,z,,,,,,-0.493723849,-0.274058577,1,0,0,,0,9,9,340,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.516736402,-0.326359833,1,0,0,0.637,button_right,0.637,1,,,,,,201,WORD,UN,33,factor,ADMIRE,m,,,,,,0.516736402,-0.326359833,1,0,0,,0,10,10,140,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.50209205,-0.280334728,1,0,0,0.688,button_left,0.688,1,,,,,,441,NW,UN,33,aboune,RASTOE,z,,,,,,-0.50209205,-0.280334728,1,0,0,,0,11,11,380,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.523012552,-0.274058577,1,0,0,0.719,button_left,0.719,1,,,,,,443,NW,UN,33,jaunce,DORSEX,z,,,,,,-0.523012552,-0.274058577,1,0,0,,0,12,12,382,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.512552301,-0.332635983,1,0,0,0.571,button_right,0.571,1,,,,,,28,WORD,UN,50,sketch,COMEDY,m,,,,,,0.512552301,-0.332635983,1,0,0,,0,13,13,207,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.516736402,-0.288702929,1,0,0,0.735,button_left,0.735,1,,,,,,353,NW,"ID",33,clurey,CLUREY,z,,,,,,-0.516736402,-0.288702929,1,0,0,,0,14,14,292,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.50209205,-0.336820084,1,0,0,0.736,button_right,0.736,1,,,,,,110,WORD,"ID",33,polite,POLITE,m,,,,,,0.50209205,-0.336820084,1,0,0,,0,15,15,49,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.447698745,-0.326359833,1,0,0,0.656,button_left,0.656,1,,,,,,257,NW,UN,50,poluth,VENIOD,z,,,,,,-0.447698745,-0.326359833,1,0,0,,0,16,16,436,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.5041841,-0.336820084,1,0,0,0.756,button_right,0.756,1,,,,,,8,WORD,UN,50,hustle,ABRUPT,m,,,,,,0.5041841,-0.336820084,1,0,0,,0,17,17,187,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.508368201,-0.328451883,1,0,0,0.562,button_right,0.562,1,,,,,,203,WORD,UN,33,burden,PHRASE,m,,,,,,0.508368201,-0.328451883,1,0,0,,0,18,18,142,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.485355649,-0.29707113,1,0,0,0.796,button_left,0.796,1,,,,,,315,NW,"ID",33,laston,LASTON,z,,,,,,-0.485355649,-0.29707113,1,0,0,,0,19,19,254,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.481171548,-0.307531381,1,0,0,0.703,button_left,0.703,1,,,,,,294,NW,UN,50,gleath,INHORT,z,,,,,,-0.481171548,-0.307531381,1,0,0,,0,20,20,473,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.514644351,-0.280334728,1,0,0,0.706,button_left,0.706,1,,,,,,336,NW,"ID",33,ghodus,GHODUS,z,,,,,,-0.514644351,-0.280334728,1,0,0,,0,21,21,275,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.493723849,-0.347280335,1,0,0,0.554,button_right,0.554,1,,,,,,132,WORD,"ID",50,strong,STRONG,m,,,,,,0.493723849,-0.347280335,1,0,0,,0,22,22,71,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.479079498,-0.29707113,1,0,0,0.673,button_left,0.673,1,,,,,,343,NW,"ID",33,aimosy,AIMOSY,z,,,,,,-0.479079498,-0.29707113,1,0,0,,0,23,23,282,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.485355649,-0.338912134,1,0,0,0.705,button_right,0.705,1,,,,,,90,WORD,"ID",33,relish,RELISH,m,,,,,,0.485355649,-0.338912134,1,0,0,,0,24,24,29,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.487447699,-0.332635983,1,0,0,0.627,button_right,0.627,0,,,,,,345,NW,"ID",33,absend,ABSEND,z,,,,,,0.487447699,-0.332635983,1,0,0,,0,25,25,284,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.487447699,-0.330543933,1,0,0,0.621,button_right,0.621,1,,,,,,135,WORD,"ID",50,import,IMPORT,m,,,,,,0.487447699,-0.330543933,1,0,0,,0,26,26,74,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.456066946,-0.311715481,1,0,0,0.588,button_left,0.588,1,,,,,,245,NW,UN,50,piaton,ANOUGS,z,,,,,,-0.456066946,-0.311715481,1,0,0,,0,27,27,424,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.464435146,-0.313807531,1,0,0,1.035,button_left,1.035,1,,,,,,392,NW,"ID",50,rouncy,ROUNCY,z,,,,,,-0.464435146,-0.313807531,1,0,0,,0,28,28,331,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.470711297,-0.29916318,1,0,0,0.707,button_left,0.707,1,,,,,,269,NW,UN,50,wrimsy,ORCHET,z,,,,,,-0.470711297,-0.29916318,1,0,0,,0,29,29,448,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.468619247,-0.341004184,1,0,0,1.267,button_right,1.267,1,,,,,,161,WORD,"ID",50,pastor,PASTOR,m,,,,,,0.468619247,-0.341004184,1,0,0,,0,30,30,100,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.458158996,-0.29916318,1,0,0,0.75,button_left,0.75,1,,,,,,468,NW,UN,33,padifs,WICTOR,z,,,,,,-0.458158996,-0.29916318,1,0,0,,0,31,31,407,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.443514644,-0.311715481,1,0,0,0.705,button_left,0.705,1,,,,,,393,NW,"ID",50,ganous,GANOUS,z,,,,,,-0.443514644,-0.311715481,1,0,0,,0,32,32,332,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.491631799,-0.332635983,1,0,0,0.736,button_right,0.736,1,,,,,,225,WORD,UN,33,casino,VULGAR,m,,,,,,0.491631799,-0.332635983,1,0,0,,0,33,33,164,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.5041841,-0.324267782,1,0,0,0.65,button_right,0.65,1,,,,,,74,WORD,"ID",33,plaque,PLAQUE,m,,,,,,0.5041841,-0.324267782,1,0,0,,0,34,34,13,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.50209205,-0.320083682,1,0,0,0.555,button_right,0.555,1,,,,,,164,WORD,"ID",50,market,MARKET,m,,,,,,0.50209205,-0.320083682,1,0,0,,0,35,35,103,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.453974895,-0.315899582,1,0,0,0.823,button_left,0.823,1,,,,,,299,NW,UN,50,yarion,STURCH,z,,,,,,-0.453974895,-0.315899582,1,0,0,,0,36,36,478,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.470711297,-0.322175732,1,0,0,0.855,button_left,0.855,1,,,,,,355,NW,"ID",33,zingly,ZINGLY,z,,,,,,-0.470711297,-0.322175732,1,0,0,,0,37,37,294,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.474895397,-0.311715481,1,0,0,0.788,button_left,0.788,1,,,,,,472,NW,UN,33,gorbie,CIGNEY,z,,,,,,-0.474895397,-0.311715481,1,0,0,,0,38,38,411,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.49790795,-0.322175732,1,0,0,0.654,button_right,0.654,1,,,,,,210,WORD,UN,33,infect,MONKEY,m,,,,,,0.49790795,-0.322175732,1,0,0,,0,39,39,149,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.49790795,-0.326359833,1,0,0,0.77,button_right,0.77,1,,,,,,206,WORD,UN,33,wreath,TAILOR,m,,,,,,0.49790795,-0.326359833,1,0,0,,0,40,40,145,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.4958159,-0.332635983,1,0,0,0.768,button_right,0.768,1,,,,,,59,WORD,UN,50,pencil,SPLINT,m,,,,,,0.4958159,-0.332635983,1,0,0,,0,41,41,238,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.445606695,-0.313807531,1,0,0,0.786,button_left,0.786,1,,,,,,328,NW,"ID",33,broake,BROAKE,z,,,,,,-0.445606695,-0.313807531,1,0,0,,0,42,42,267,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.430962343,-0.317991632,1,0,0,0.691,button_left,0.691,1,,,,,,283,NW,UN,50,shaple,VERALF,z,,,,,,-0.430962343,-0.317991632,1,0,0,,0,43,43,462,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.441422594,-0.309623431,1,0,0,0.599,button_left,0.599,1,,,,,,471,NW,UN,33,cigney,NOBEST,z,,,,,,-0.441422594,-0.309623431,1,0,0,,0,44,44,410,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.470711297,-0.334728033,1,0,0,1.305,button_right,1.305,1,,,,,,84,WORD,"ID",33,mortal,MORTAL,m,,,,,,0.470711297,-0.334728033,1,0,0,,0,45,45,23,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,-0.447698745,-0.278242678,1,0,0,0.787,button_left,0.787,1,,,,,,396,NW,"ID",50,flengy,FLENGY,z,,,,,,-0.447698745,-0.278242678,1,0,0,,0,46,46,335,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.479079498,-0.332635983,1,0,0,0.738,button_right,0.738,1,,,,,,131,WORD,"ID",50,quench,QUENCH,m,,,,,,0.479079498,-0.332635983,1,0,0,,0,47,47,70,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.50209205,-0.324267782,1,0,0,0.722,button_right,0.722,1,,,,,,119,WORD,"ID",33,spider,SPIDER,m,,,,,,0.50209205,-0.324267782,1,0,0,,0,48,48,58,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.5041841,-0.315899582,1,0,0,0.633,button_right,0.633,1,,,,,,212,WORD,UN,33,squeal,VERIFY,m,,,,,,0.5041841,-0.315899582,1,0,0,,0,49,49,151,1,
,,,,,,,,,,,,,,,,,,5efdcff83a6844231c003073,2020-08-08_10h24.33.481,lexical_decision_task_MP,2020.1.3,iPhone,60,,0,0.510460251,-0.326359833,1,0,0,0.754,button_right,0.754,0,,,,,,291,NW,UN,50,ablint,PRETCH,z,,,,,,0.510460251,-0.326359833,1,0,0,,0,50,50,470,1,
