counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.722,,,,,,,,0.722,1,0,6,6,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.585,,,,,,,,0.585,0,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.891,,,,,,,,0.891,1,0,8,8,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.504,,,,,,,,0.504,1,0,9,9,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.804,,,,,,,,0.804,1,0,10,10,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.687,,,,,,,,0.687,1,0,11,11,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.557,,,,,,,,0.557,1,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.684,,,,,,,,0.684,1,0,13,13,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.974,,,,,,,,0.974,1,0,14,14,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.585,,,,,,,,0.585,1,0,15,15,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,space,-0.004444444,-0.397777778,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,18.682,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.674,,,,,,,,0.674,1,,,,,,16,WORD,"ID",50,faucet,FAUCET,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,0,0,75,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.666,,,,,,,,0.666,1,,,,,,120,WORD,UN,33,ponder,STRAIN,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,1,1,179,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.503,,,,,,,,0.503,1,,,,,,80,WORD,UN,33,friend,FAMILY,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,2,2,139,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.754,,,,,,,,0.754,1,,,,,,280,NW,"ID",50,curbol,CURBOL,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,3,3,339,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,0,1.354,,,,,,,,1.354,0,,,,,,240,WORD,"ID",33,forest,FOREST,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,4,4,59,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.872,,,,,,,,0.872,1,,,,,,397,NW,UN,50,blunde,CAMBLE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,5,5,456,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.668,,,,,,,,0.668,1,,,,,,302,NW,UN,33,fiream,MILUER,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,6,6,361,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.521,,,,,,,,0.521,1,,,,,,199,WORD,"ID",33,invoke,INVOKE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,7,7,18,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.668,,,,,,,,0.668,1,,,,,,370,NW,UN,50,geiloy,SLEACT,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,8,8,429,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.604,,,,,,,,0.604,1,,,,,,262,NW,"ID",50,quilew,QUILEW,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,9,9,321,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.555,,,,,,,,0.555,1,,,,,,367,NW,UN,50,hornal,SLIQUE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,10,10,426,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.555,,,,,,,,0.555,1,,,,,,209,WORD,"ID",33,search,SEARCH,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,11,11,28,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.555,,,,,,,,0.555,1,,,,,,165,WORD,UN,50,starch,INVEST,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,12,12,224,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.603,,,,,,,,0.603,1,,,,,,141,WORD,UN,50,spruce,ORPHAN,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,13,13,200,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.574,,,,,,,,0.574,1,,,,,,15,WORD,"ID",50,amount,AMOUNT,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,14,14,74,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.69,,,,,,,,0.69,1,,,,,,113,WORD,UN,33,placid,CHORUS,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,15,15,172,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.841,,,,,,,,0.841,1,,,,,,2,WORD,"ID",50,bridge,BRIDGE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,16,16,61,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.699,,,,,,,,0.699,1,,,,,,210,WORD,"ID",33,monkey,MONKEY,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,17,17,29,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.534,,,,,,,,0.534,1,,,,,,215,WORD,"ID",33,phobia,PHOBIA,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,18,18,34,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.604,,,,,,,,0.604,1,,,,,,356,NW,UN,33,derain,OTHNIS,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,19,19,415,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.57,,,,,,,,0.57,1,,,,,,41,WORD,"ID",50,spring,SPRING,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,20,20,100,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.601,,,,,,,,0.601,1,,,,,,149,WORD,UN,50,random,INVADE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,21,21,208,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.574,,,,,,,,0.574,1,,,,,,65,WORD,UN,33,gospel,SYMBOL,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,22,22,124,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.438,,,,,,,,0.438,0,,,,,,461,NW,"ID",33,justre,JUSTRE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,23,23,280,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.571,,,,,,,,0.571,1,,,,,,278,NW,"ID",50,unighs,UNIGHS,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,24,24,337,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.821,,,,,,,,0.821,1,,,,,,361,NW,UN,50,tireau,PAUCHE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,25,25,420,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,1.138,,,,,,,,1.138,1,,,,,,62,WORD,UN,33,launch,REGION,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,26,26,121,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.469,,,,,,,,0.469,1,,,,,,296,NW,"ID",50,beinch,BEINCH,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,27,27,355,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.938,,,,,,,,0.938,0,,,,,,271,NW,"ID",50,aubrid,AUBRID,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,28,28,330,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,0,0.373,,,,,,,,0.373,0,,,,,,83,WORD,UN,33,mortal,RESULT,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,29,29,142,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.656,,,,,,,,0.656,1,,,,,,260,NW,"ID",50,unject,UNJECT,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,30,30,319,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.57,,,,,,,,0.57,1,,,,,,127,WORD,UN,50,senior,CASTLE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,31,31,186,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.519,,,,,,,,0.519,1,,,,,,34,WORD,"ID",50,jungle,JUNGLE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,32,32,93,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.522,,,,,,,,0.522,1,,,,,,81,WORD,UN,33,stigma,FRIEND,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,33,33,140,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.503,,,,,,,,0.503,1,,,,,,27,WORD,"ID",50,scream,SCREAM,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,34,34,86,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.506,,,,,,,,0.506,1,,,,,,365,NW,UN,50,toshel,GUAIRT,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,35,35,424,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.607,,,,,,,,0.607,1,,,,,,96,WORD,UN,33,client,IGNORE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,36,36,155,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.521,,,,,,,,0.521,1,,,,,,76,WORD,UN,33,racket,EXOTIC,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,37,37,135,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.521,,,,,,,,0.521,1,,,,,,415,NW,UN,50,pathel,HIGSTA,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,38,38,474,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.455,,,,,,,,0.455,1,,,,,,24,WORD,"ID",50,praise,PRAISE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,39,39,83,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.701,,,,,,,,0.701,0,,,,,,243,NW,"ID",50,musied,MUSIED,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,40,40,302,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.621,,,,,,,,0.621,1,,,,,,359,NW,UN,33,desory,FONVER,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,41,41,418,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.49,,,,,,,,0.49,1,,,,,,169,WORD,UN,50,pounce,GENIUS,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,42,42,228,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.654,,,,,,,,0.654,1,,,,,,111,WORD,UN,33,breath,INDUCE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,43,43,170,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,0,0.653,,,,,,,,0.653,0,,,,,,69,WORD,UN,33,square,PLENTY,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,44,44,128,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.519,,,,,,,,0.519,1,,,,,,70,WORD,UN,33,garden,SQUARE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,45,45,129,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.818,,,,,,,,0.818,1,,,,,,470,NW,"ID",33,crudio,CRUDIO,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,46,46,289,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.44,,,,,,,,0.44,1,,,,,,74,WORD,UN,33,trophy,PLAQUE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,47,47,133,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.521,,,,,,,,0.521,1,,,,,,138,WORD,UN,50,debris,MELODY,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,48,48,197,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.568,,,,,,,,0.568,1,,,,,,463,NW,"ID",33,kispel,KISPEL,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,49,49,282,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.642,,,,,,,,0.642,1,,,,,,279,NW,"ID",50,celond,CELOND,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,50,50,338,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.536,,,,,,,,0.536,1,,,,,,383,NW,UN,50,guesco,AUNGRE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,51,51,442,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.556,,,,,,,,0.556,1,,,,,,300,NW,"ID",50,yarion,YARION,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,52,52,359,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.688,,,,,,,,0.688,1,,,,,,401,NW,UN,50,syntic,MUSTIL,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,53,53,460,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.521,,,,,,,,0.521,1,,,,,,314,NW,UN,33,laston,SPRINE,z,,,,,,-0.004444444,-0.397777778,0,0,0,,0,54,54,373,1,,
,,,,,,,,,,,,,,,,,,5d2dbfc01460350001333a97,2020-08-10_16h32.15.687,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.736,,,,,,,,0.736,1,,,,,,192,WORD,"ID",33,plague,PLAGUE,m,,,,,,-0.004444444,-0.397777778,0,0,0,,0,55,55,11,1,,
