counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.9233,,,,,,,,0.9233,1,0,6,6,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.835675,,,,,,,,0.835675,1,0,7,7,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.58859,,,,,,,,0.58859,1,0,8,8,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.58411,,,,,,,,0.58411,1,0,9,9,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.614795,,,,,,,,0.614795,1,0,10,10,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.61966,,,,,,,,0.61966,1,0,11,11,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.564525,,,,,,,,0.564525,1,0,12,12,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.58604,,,,,,,,0.58604,1,0,13,13,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.702705,,,,,,,,0.702705,1,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.72084,,,,,,,,0.72084,1,0,15,15,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,-0.032552083,-0.395833333,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.255145,,,,,,,,1.255145,1,,,,,,205,WORD,"ID",33,lounge,LOUNGE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,0,0,24,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.472685,,,,,,,,0.472685,1,,,,,,50,WORD,"ID",50,snatch,SNATCH,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,1,1,109,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.448315,,,,,,,,0.448315,1,,,,,,103,WORD,UN,33,studio,BOUNCE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,2,2,162,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.720885,,,,,,,,0.720885,1,,,,,,316,NW,UN,33,worbal,SCREGM,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,3,3,375,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.6519,,,,,,,,0.6519,0,,,,,,413,NW,UN,50,serbol,EQUATS,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,4,4,472,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.48622,,,,,,,,0.48622,1,,,,,,163,WORD,UN,50,market,STRING,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,5,5,222,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.57241,,,,,,,,0.57241,1,,,,,,474,NW,"ID",33,hablin,HABLIN,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,6,6,293,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.48841,,,,,,,,0.48841,1,,,,,,251,NW,"ID",50,lupict,LUPICT,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,7,7,310,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.48598,,,,,,,,0.48598,1,,,,,,326,NW,UN,33,plenac,IGUADE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,8,8,385,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.453635,,,,,,,,0.453635,1,,,,,,201,WORD,"ID",33,admire,ADMIRE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,9,9,20,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.669015,,,,,,,,0.669015,1,,,,,,389,NW,UN,50,hatrus,WITMER,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,10,10,448,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.474295,,,,,,,,0.474295,1,,,,,,172,WORD,UN,50,shower,PATROL,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,11,11,231,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.559095,,,,,,,,0.559095,0,,,,,,261,NW,"ID",50,stunch,STUNCH,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,12,12,320,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.487775,,,,,,,,0.487775,1,,,,,,104,WORD,UN,33,number,STUDIO,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,13,13,163,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.488205,,,,,,,,0.488205,1,,,,,,283,NW,"ID",50,veralf,VERALF,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,14,14,342,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.53674,,,,,,,,0.53674,1,,,,,,473,NW,"ID",33,crible,CRIBLE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,15,15,292,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.49529,,,,,,,,0.49529,1,,,,,,266,NW,"ID",50,varmit,VARMIT,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,16,16,325,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.460605,,,,,,,,0.460605,1,,,,,,213,WORD,"ID",33,squeal,SQUEAL,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,17,17,32,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.63986,,,,,,,,0.63986,1,,,,,,328,NW,UN,33,yarike,BROAKE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,18,18,387,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.52405,,,,,,,,0.52405,1,,,,,,472,NW,"ID",33,cigney,CIGNEY,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,19,19,291,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.50302,,,,,,,,0.50302,1,,,,,,315,NW,UN,33,scregm,LASTON,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,20,20,374,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.554975,,,,,,,,0.554975,1,,,,,,211,WORD,"ID",33,infect,INFECT,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,21,21,30,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.53586,,,,,,,,0.53586,1,,,,,,39,WORD,"ID",50,insect,INSECT,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,22,22,98,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.673715,,,,,,,,0.673715,1,,,,,,107,WORD,UN,33,reckon,SLOGAN,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,23,23,166,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.48658,,,,,,,,0.48658,1,,,,,,117,WORD,UN,33,flight,BRANCH,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,24,24,176,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.56972,,,,,,,,0.56972,1,,,,,,343,NW,UN,33,scrily,AIMOSY,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,25,25,402,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.437825,,,,,,,,0.437825,1,,,,,,238,WORD,"ID",33,flower,FLOWER,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,26,26,57,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.51904,,,,,,,,0.51904,1,,,,,,312,NW,UN,33,paurse,NERAWL,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,27,27,371,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.5642,,,,,,,,0.5642,0,,,,,,125,WORD,UN,50,enough,NICKEL,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,28,28,184,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.45401,,,,,,,,0.45401,1,,,,,,208,WORD,"ID",33,hockey,HOCKEY,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,29,29,27,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.486185,,,,,,,,0.486185,1,,,,,,73,WORD,UN,33,plaque,SOURCE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,30,30,132,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.54593,,,,,,,,0.54593,1,,,,,,337,NW,UN,33,wreash,REJOLS,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,31,31,396,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.552125,,,,,,,,0.552125,1,,,,,,257,NW,"ID",50,veniod,VENIOD,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,32,32,316,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.77464,,,,,,,,0.77464,1,,,,,,374,NW,UN,50,yorque,SLIANT,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,33,33,433,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.551745,,,,,,,,0.551745,1,,,,,,239,WORD,"ID",33,lumber,LUMBER,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,34,34,58,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.56902,,,,,,,,0.56902,1,,,,,,43,WORD,"ID",50,tongue,TONGUE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,35,35,102,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.68329,,,,,,,,0.68329,1,,,,,,433,NW,"ID",33,drance,DRANCE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,36,36,252,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.53822,,,,,,,,0.53822,1,,,,,,162,WORD,UN,50,string,CANDLE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,37,37,221,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.489295,,,,,,,,0.489295,1,,,,,,87,WORD,UN,33,sprawl,FILTER,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,38,38,146,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.50283,,,,,,,,0.50283,1,,,,,,152,WORD,UN,50,behold,ROCKET,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,39,39,211,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.63818,,,,,,,,0.63818,1,,,,,,11,WORD,"ID",50,cruise,CRUISE,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,40,40,70,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.6392,,,,,,,,0.6392,1,,,,,,166,WORD,UN,50,design,STARCH,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,41,41,225,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.671655,,,,,,,,0.671655,1,,,,,,429,NW,"ID",33,funtle,FUNTLE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,42,42,248,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.63195,,,,,,,,0.63195,0,,,,,,329,NW,UN,33,kensom,YARIKE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,43,43,388,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.58565,,,,,,,,0.58565,1,,,,,,367,NW,UN,50,hornal,SLIQUE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,44,44,426,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.536515,,,,,,,,0.536515,1,,,,,,22,WORD,"ID",50,jockey,JOCKEY,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,45,45,81,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.706375,,,,,,,,0.706375,1,,,,,,470,NW,"ID",33,crudio,CRUDIO,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,46,46,289,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.504655,,,,,,,,0.504655,1,,,,,,157,WORD,UN,50,island,DRAGON,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,47,47,216,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.51852,,,,,,,,0.51852,1,,,,,,344,NW,UN,33,absend,SCRILY,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,48,48,403,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.559615,,,,,,,,0.559615,1,,,,,,419,NW,UN,50,gushop,SLOUNT,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,49,49,478,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,0.55044,,,,,,,,0.55044,0,,,,,,420,NW,UN,50,pauche,GUSHOP,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,50,50,479,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.503185,,,,,,,,0.503185,1,,,,,,285,NW,"ID",50,prudge,PRUDGE,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,51,51,344,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.78722,,,,,,,,0.78722,1,,,,,,369,NW,UN,50,sleact,WRONCH,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,52,52,428,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.65333,,,,,,,,0.65333,1,,,,,,72,WORD,UN,33,source,BRIGHT,m,,,,,,-0.022135417,-0.233072917,0,0,0,,0,53,53,131,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.5188,,,,,,,,0.5188,1,,,,,,246,NW,"ID",50,piaton,PIATON,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,54,54,305,1,,
,,,,,,,,,,,,,,,,,,5cdc899d48d5f100195fafff,2020-08-10_18h25.41.538,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.504635,,,,,,,,0.504635,1,,,,,,463,NW,"ID",33,kispel,KISPEL,z,,,,,,-0.022135417,-0.233072917,0,0,0,,0,55,55,282,1,,
