counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.67456,,,,,,,,0.67456,1,0,6,6,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.58183,,,,,,,,0.58183,1,0,7,7,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.71473,,,,,,,,0.71473,0,0,8,8,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.829845,,,,,,,,0.829845,1,0,9,9,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.68861,,,,,,,,0.68861,1,0,10,10,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.73235,,,,,,,,0.73235,1,0,11,11,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.672535,,,,,,,,0.672535,1,0,12,12,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,1.042365,,,,,,,,1.042365,1,0,13,13,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.59922,,,,,,,,0.59922,1,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.568865,,,,,,,,0.568865,1,0,15,15,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,
,space,0.076744249,-0.42801378,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,13.293785,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.81925,,,,,,,,0.81925,1,,,,,,416,NW,UN,33,earoud,PATHEL,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,0,0,415,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.675895,,,,,,,,0.675895,1,,,,,,399,NW,UN,33,wearox,FOURET,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,1,1,398,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.78211,,,,,,,,0.78211,1,,,,,,359,NW,"ID",50,fonver,FONVER,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,2,2,358,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.67187,,,,,,,,0.67187,1,,,,,,364,NW,UN,33,guairt,IMPOTE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,3,3,363,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.68493,,,,,,,,0.68493,1,,,,,,369,NW,UN,33,sleact,WRONCH,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,4,4,368,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.51615,,,,,,,,0.51615,1,,,,,,234,WORD,UN,50,lumber,CLUMSY,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,5,5,233,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.550555,,,,,,,,0.550555,1,,,,,,31,WORD,"ID",33,weapon,WEAPON,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,6,6,30,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.608985,,,,,,,,0.608985,1,,,,,,387,NW,UN,33,cragin,GRONCE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,7,7,386,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.63513,,,,,,,,0.63513,1,,,,,,273,NW,"ID",33,sortel,SORTEL,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,8,8,272,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.519305,,,,,,,,0.519305,1,,,,,,15,WORD,"ID",33,amount,AMOUNT,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,9,9,14,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.665245,,,,,,,,0.665245,1,,,,,,390,NW,UN,33,theldy,HATRUS,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,10,10,389,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.51644,,,,,,,,0.51644,1,,,,,,147,WORD,UN,33,custom,GARLIC,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,11,11,146,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.64682,,,,,,,,0.64682,1,,,,,,368,NW,UN,33,wronch,HORNAL,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,12,12,367,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.832435,,,,,,,,0.832435,1,,,,,,452,NW,UN,50,bolvis,SURDEN,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,13,13,451,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.722015,,,,,,,,0.722015,1,,,,,,461,NW,UN,50,absult,JUSTRE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,14,14,460,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.58898,,,,,,,,0.58898,1,,,,,,437,NW,UN,50,baitch,SNAPEL,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,15,15,436,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.605645,,,,,,,,0.605645,1,,,,,,470,NW,UN,50,nobest,CRUDIO,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,16,16,469,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.54941,,,,,,,,0.54941,1,,,,,,356,NW,"ID",50,othnis,OTHNIS,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,17,17,355,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.640145,,,,,,,,0.640145,1,,,,,,123,WORD,UN,33,enough,STRIKE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,18,18,122,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.666585,,,,,,,,0.666585,1,,,,,,430,NW,UN,50,funtle,CAROEY,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,19,19,429,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.61603,,,,,,,,0.61603,1,,,,,,473,NW,UN,50,hablin,CRIBLE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,20,20,472,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.71653,,,,,,,,0.71653,1,,,,,,433,NW,UN,50,pitrom,DRANCE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,21,21,432,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.542255,,,,,,,,0.542255,1,,,,,,245,NW,"ID",33,anougs,ANOUGS,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,22,22,244,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.640425,,,,,,,,0.640425,1,,,,,,238,WORD,UN,50,grumpy,FLOWER,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,23,23,237,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.649625,,,,,,,,0.649625,1,,,,,,397,NW,UN,33,blunde,CAMBLE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,24,24,396,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.65335,,,,,,,,0.65335,1,,,,,,26,WORD,"ID",33,sprint,SPRINT,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,25,25,25,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.58271,,,,,,,,0.58271,1,,,,,,304,NW,"ID",50,cludie,CLUDIE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,26,26,303,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.80345,,,,,,,,0.80345,1,,,,,,41,WORD,"ID",33,spring,SPRING,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,27,27,40,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.548375,,,,,,,,0.548375,1,,,,,,456,NW,UN,50,wanigh,BROGET,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,28,28,455,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.598185,,,,,,,,0.598185,1,,,,,,474,NW,UN,50,gorbie,HABLIN,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,29,29,473,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.58234,,,,,,,,0.58234,1,,,,,,458,NW,UN,50,chaite,BARCET,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,30,30,457,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.572695,,,,,,,,0.572695,1,,,,,,74,WORD,"ID",50,plaque,PLAQUE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,31,31,73,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.582785,,,,,,,,0.582785,1,,,,,,153,WORD,UN,33,author,BEHOLD,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,32,32,152,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.81739,,,,,,,,0.81739,1,,,,,,428,NW,UN,50,chrums,TANDLY,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,33,33,427,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.57482,,,,,,,,0.57482,1,,,,,,158,WORD,UN,33,detail,ISLAND,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,34,34,157,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.56859,,,,,,,,0.56859,1,,,,,,463,NW,UN,50,bafent,KISPEL,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,35,35,462,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.601815,,,,,,,,0.601815,1,,,,,,9,WORD,"ID",33,hustle,HUSTLE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,36,36,8,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.64211,,,,,,,,0.64211,1,,,,,,396,NW,UN,33,camble,FLENGY,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,37,37,395,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.801745,,,,,,,,0.801745,1,,,,,,296,NW,"ID",33,beinch,BEINCH,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,38,38,295,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.59843,,,,,,,,0.59843,1,,,,,,480,NW,UN,50,knisma,ROBULY,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,39,39,479,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.570685,,,,,,,,0.570685,1,,,,,,113,WORD,"ID",50,chorus,CHORUS,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,40,40,112,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.60063,,,,,,,,0.60063,1,,,,,,200,WORD,UN,50,admire,BEACON,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,41,41,199,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.65772,,,,,,,,0.65772,1,,,,,,460,NW,UN,50,justre,MINGAR,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,42,42,459,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.657365,,,,,,,,0.657365,1,,,,,,391,NW,UN,33,rouncy,THELDY,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,43,43,390,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.63752,,,,,,,,0.63752,1,,,,,,99,WORD,"ID",50,fluent,FLUENT,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,44,44,98,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.693365,,,,,,,,0.693365,1,,,,,,52,WORD,"ID",33,impose,IMPOSE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,45,45,51,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.634325,,,,,,,,0.634325,1,,,,,,139,WORD,UN,33,prince,DEBRIS,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,46,46,138,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.520445,,,,,,,,0.520445,1,,,,,,202,WORD,UN,50,phrase,FACTOR,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,47,47,201,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.516575,,,,,,,,0.516575,1,,,,,,24,WORD,"ID",33,praise,PRAISE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,48,48,23,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.666665,,,,,,,,0.666665,1,,,,,,385,NW,UN,33,ancust,VEIGMA,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,49,49,384,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.541265,,,,,,,,0.541265,1,,,,,,12,WORD,"ID",33,orange,ORANGE,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,50,50,11,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,1,0.56733,,,,,,,,0.56733,1,,,,,,118,WORD,"ID",50,flight,FLIGHT,m,,,,,,0.076744249,-0.42801378,0,0,0,,0,51,51,117,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.624015,,,,,,,,0.624015,1,,,,,,454,NW,UN,50,tondle,SCOUGE,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,52,52,453,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,z,1,0.65712,,,,,,,,0.65712,1,,,,,,251,NW,"ID",33,lupict,LUPICT,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,53,53,250,1,
,,,,,,,,,,,,,,,,,,5ef3723b50bced0c4a711686,2020-08-10_12h18.41.167,lexical_decision_task_MP,2020.1.3,MacIntel,60,,m,0,0.71904,,,,,,,,0.71904,0,,,,,,266,NW,"ID",33,varmit,VARMIT,z,,,,,,0.076744249,-0.42801378,0,0,0,,0,54,54,265,1,
