counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.541135,,,,,,,,0.541135,1,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.597245,,,,,,,,0.597245,1,0,7,7,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.6409,,,,,,,,0.6409,1,0,8,8,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.616685,,,,,,,,0.616685,1,0,9,9,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.70279,,,,,,,,0.70279,1,0,10,10,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.547685,,,,,,,,0.547685,1,0,11,11,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.72446,,,,,,,,0.72446,1,0,12,12,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.65859,,,,,,,,0.65859,1,0,13,13,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.524215,,,,,,,,0.524215,1,0,14,14,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.98208,,,,,,,,0.98208,1,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,
,space,0.595052083,-0.092447917,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,4.54736,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.56585,,,,,,,,0.56585,1,,,,,,62,WORD,UN,33,launch,REGION,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,0,0,121,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.678215,,,,,,,,0.678215,1,,,,,,101,WORD,UN,33,direct,WRENCH,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,1,1,160,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.69659,,,,,,,,0.69659,1,,,,,,282,NW,"ID",16,porlex,PORLEX,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,2,2,341,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.57598,,,,,,,,0.57598,1,,,,,,19,WORD,"ID",16,patron,PATRON,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,3,3,78,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.627325,,,,,,,,0.627325,1,,,,,,385,NW,UN,16,ancust,VEIGMA,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,4,4,444,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.669375,,,,,,,,0.669375,1,,,,,,312,NW,UN,33,paurse,NERAWL,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,5,5,371,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.663805,,,,,,,,0.663805,1,,,,,,382,NW,UN,16,aungre,SARLEY,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,6,6,441,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.71338,,,,,,,,0.71338,1,,,,,,443,NW,"ID",33,dorsex,DORSEX,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,7,7,262,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.516045,,,,,,,,0.516045,1,,,,,,35,WORD,"ID",16,socket,SOCKET,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,8,8,94,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.62166,,,,,,,,0.62166,1,,,,,,68,WORD,UN,33,plenty,FUMBLE,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,9,9,127,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.61528,,,,,,,,0.61528,1,,,,,,403,NW,UN,16,cluirm,BRUATS,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,10,10,462,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.61885,,,,,,,,0.61885,1,,,,,,129,WORD,UN,16,stupid,MARVEL,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,11,11,188,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.480215,,,,,,,,0.480215,1,,,,,,150,WORD,UN,16,mystic,RANDOM,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,12,12,209,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.585605,,,,,,,,0.585605,1,,,,,,311,NW,UN,33,nerawl,SPROLY,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,13,13,370,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.82561,,,,,,,,0.82561,1,,,,,,281,NW,"ID",16,melaty,MELATY,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,14,14,340,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.556065,,,,,,,,0.556065,1,,,,,,78,WORD,UN,33,theory,COLUMN,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,15,15,137,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.55057,,,,,,,,0.55057,1,,,,,,111,WORD,UN,33,breath,INDUCE,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,16,16,170,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.63251,,,,,,,,0.63251,1,,,,,,451,NW,"ID",33,cainky,CAINKY,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,17,17,270,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.66447,,,,,,,,0.66447,1,,,,,,223,WORD,"ID",33,kidney,KIDNEY,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,18,18,42,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.49817,,,,,,,,0.49817,1,,,,,,151,WORD,UN,16,rocket,MYSTIC,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,19,19,210,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.541675,,,,,,,,0.541675,1,,,,,,28,WORD,"ID",16,comedy,COMEDY,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,20,20,87,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,0.54663,,,,,,,,0.54663,0,,,,,,260,NW,"ID",16,unject,UNJECT,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,21,21,319,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.567985,,,,,,,,0.567985,1,,,,,,72,WORD,UN,33,source,BRIGHT,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,22,22,131,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,0.79345,,,,,,,,0.79345,0,,,,,,437,NW,"ID",33,snapel,SNAPEL,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,23,23,256,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.741905,,,,,,,,0.741905,1,,,,,,360,NW,UN,33,fainch,DESORY,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,24,24,419,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,1.046805,,,,,,,,1.046805,0,,,,,,462,NW,"ID",33,absult,ABSULT,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,25,25,281,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.934025,,,,,,,,0.934025,1,,,,,,16,WORD,"ID",16,faucet,FAUCET,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,26,26,75,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,0.848505,,,,,,,,0.848505,0,,,,,,303,NW,UN,33,cludie,FIREAM,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,27,27,362,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,1.29426,,,,,,,,1.29426,0,,,,,,262,NW,"ID",16,quilew,QUILEW,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,28,28,321,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.76258,,,,,,,,0.76258,1,,,,,,63,WORD,UN,33,throne,LAUNCH,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,29,29,122,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.70129,,,,,,,,0.70129,1,,,,,,366,NW,UN,16,slique,TOSHEL,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,30,30,425,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.83176,,,,,,,,0.83176,1,,,,,,397,NW,UN,16,blunde,CAMBLE,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,31,31,456,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.70918,,,,,,,,0.70918,1,,,,,,193,WORD,"ID",33,object,OBJECT,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,32,32,12,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,1.803905,,,,,,,,1.803905,1,,,,,,456,NW,"ID",33,broget,BROGET,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,33,33,275,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.63069,,,,,,,,0.63069,1,,,,,,44,WORD,"ID",16,danger,DANGER,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,34,34,103,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.66683,,,,,,,,0.66683,1,,,,,,265,NW,"ID",16,distar,DISTAR,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,35,35,324,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.647785,,,,,,,,0.647785,1,,,,,,257,NW,"ID",16,veniod,VENIOD,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,36,36,316,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.63166,,,,,,,,0.63166,1,,,,,,339,NW,UN,33,fiatch,FACHOW,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,37,37,398,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.666915,,,,,,,,0.666915,1,,,,,,243,NW,"ID",16,musied,MUSIED,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,38,38,302,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.62101,,,,,,,,0.62101,1,,,,,,144,WORD,UN,16,parish,SPONGE,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,39,39,203,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.69692,,,,,,,,0.69692,1,,,,,,449,NW,"ID",33,brunge,BRUNGE,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,40,40,268,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.63499,,,,,,,,0.63499,1,,,,,,189,WORD,"ID",33,censor,CENSOR,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,41,41,8,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.64766,,,,,,,,0.64766,1,,,,,,279,NW,"ID",16,celond,CELOND,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,42,42,338,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.698205,,,,,,,,0.698205,1,,,,,,470,NW,"ID",33,crudio,CRUDIO,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,43,43,289,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.799995,,,,,,,,0.799995,1,,,,,,300,NW,"ID",16,yarion,YARION,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,44,44,359,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,0.712135,,,,,,,,0.712135,0,,,,,,357,NW,UN,33,fleack,DERAIN,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,45,45,416,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,1.08462,,,,,,,,1.08462,1,,,,,,200,WORD,"ID",33,beacon,BEACON,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,46,46,19,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.850705,,,,,,,,0.850705,1,,,,,,362,NW,UN,16,breali,TIREAU,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,47,47,421,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.63124,,,,,,,,0.63124,1,,,,,,294,NW,"ID",16,inhort,INHORT,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,48,48,353,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.65933,,,,,,,,0.65933,1,,,,,,51,WORD,"ID",16,hungry,HUNGRY,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,49,49,110,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,0.61379,,,,,,,,0.61379,1,,,,,,405,NW,UN,16,nouply,FLUMNI,z,,,,,,0.595052083,-0.092447917,0,0,0,,0,50,50,464,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.58319,,,,,,,,0.58319,1,,,,,,34,WORD,"ID",16,jungle,JUNGLE,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,51,51,93,1
,,,,,,,,,,,,,,,,,,5ce7f7ae2aa9590016af2ba7,2020-11-25_17h53.28.495,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,0.63848,,,,,,,,0.63848,1,,,,,,194,WORD,"ID",33,absent,ABSENT,m,,,,,,0.595052083,-0.092447917,0,0,0,,0,52,52,13,1
