counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_keyboard.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.337,,,,,,,,0.337,0,0,7,7,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.027,,,,,,,,0.027,1,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.067,,,,,,,,0.067,1,0,9,9,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.148,,,,,,,,0.148,0,0,10,10,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.089,,,,,,,,0.089,1,0,11,11,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.053,,,,,,,,0.053,1,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.14,,,,,,,,0.14,1,0,13,13,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.101,,,,,,,,0.101,0,0,14,14,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.119,,,,,,,,0.119,1,0,15,15,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,
,space,-0.069306931,-0.410891089,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,1.044,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.987,,,,,,,,0.987,0,,,,,,463,NW,UN,33,chaite,KISPEL,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,0,0,402,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.324,,,,,,,,0.324,0,,,,,,6,WORD,UN,16,anchor,BUNDLE,m,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,1,1,185,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.272,,,,,,,,0.272,0,,,,,,362,NW,"ID",16,tireau,TIREAU,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,2,2,301,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.193,,,,,,,,0.193,0,,,,,,22,WORD,UN,16,wealth,JOCKEY,m,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,3,3,201,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.202,,,,,,,,0.202,0,,,,,,265,NW,UN,16,varmit,DISTAR,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,4,4,444,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.152,,,,,,,,0.152,1,,,,,,374,NW,"ID",16,sliant,SLIANT,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,5,5,313,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.166,,,,,,,,0.166,0,,,,,,249,NW,UN,16,milted,BATROL,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,6,6,428,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.105,,,,,,,,0.105,1,,,,,,380,NW,"ID",16,cavory,CAVORY,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,7,7,319,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.12,,,,,,,,0.12,1,,,,,,89,WORD,"ID",33,permit,PERMIT,m,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,8,8,28,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.162,,,,,,,,0.162,1,,,,,,331,NW,"ID",33,gilfew,GILFEW,z,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,9,9,270,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.154,,,,,,,,0.154,1,,,,,,146,WORD,"ID",16,couple,COUPLE,m,,,,,,,-0.069306931,-0.410891089,0,0,0,,0,10,10,85,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,283,NW,UN,16,shaple,VERALF,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,11,11,462,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,281,NW,UN,16,porlex,MELATY,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,12,12,460,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,446,NW,UN,33,gircue,RUNAMO,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,13,13,385,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,107,WORD,"ID",33,slogan,SLOGAN,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,14,14,46,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,235,WORD,UN,33,pirate,GRUMPY,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,15,15,174,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,43,WORD,UN,16,foster,TONGUE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,16,16,222,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,223,WORD,UN,33,period,KIDNEY,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,17,17,162,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,299,NW,UN,16,yarion,STURCH,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,18,18,478,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,172,WORD,"ID",16,patrol,PATROL,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,19,19,111,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,237,WORD,UN,33,glance,POSTER,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,20,20,176,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,18,WORD,UN,16,patron,HUMBLE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,21,21,197,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,179,WORD,"ID",16,basket,BASKET,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,22,22,118,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,79,WORD,"ID",33,theory,THEORY,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,23,23,18,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,301,NW,"ID",33,fainch,FAINCH,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,24,24,240,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,411,NW,"ID",16,orchin,ORCHIN,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,25,25,350,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,53,WORD,UN,16,ramble,POLICE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,26,26,232,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,101,WORD,"ID",33,wrench,WRENCH,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,27,27,40,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,184,WORD,UN,33,bother,SLEAZY,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,28,28,123,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,457,NW,UN,33,barcet,WANIGH,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,29,29,396,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,164,WORD,"ID",16,market,MARKET,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,30,30,103,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,52,WORD,UN,16,police,IMPOSE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,31,31,231,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,386,NW,"ID",16,ancust,ANCUST,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,32,32,325,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,414,NW,"ID",16,serbol,SERBOL,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,33,33,353,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,381,NW,"ID",16,huniek,HUNIEK,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,34,34,320,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,403,NW,"ID",16,bruats,BRUATS,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,35,35,342,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,404,NW,"ID",16,cluirm,CLUIRM,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,36,36,343,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,424,NW,UN,33,frudge,PRAILE,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,37,37,363,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,159,WORD,"ID",16,detail,DETAIL,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,38,38,98,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,400,NW,"ID",16,wearox,WEAROX,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,39,39,339,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,93,WORD,"ID",33,public,PUBLIC,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,40,40,32,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,20,WORD,UN,16,simple,BREAST,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,41,41,199,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,158,WORD,"ID",16,island,ISLAND,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,42,42,97,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,441,NW,UN,33,aboune,RASTOE,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,43,43,380,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,312,NW,"ID",33,nerawl,NERAWL,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,44,44,251,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,24,WORD,UN,16,domain,PRAISE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,45,45,203,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,185,WORD,UN,33,portal,BOTHER,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,46,46,124,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,388,NW,"ID",16,cragin,CRAGIN,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,47,47,327,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,236,WORD,UN,33,grumpy,PIRATE,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,48,48,175,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,49,49,107,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,113,WORD,"ID",33,chorus,CHORUS,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,50,50,52,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,3,WORD,UN,16,trench,KNIGHT,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,51,51,182,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,384,NW,"ID",16,guesco,GUESCO,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,52,52,323,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,317,NW,"ID",33,worbal,WORBAL,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,53,53,256,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,105,WORD,"ID",33,number,NUMBER,m,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,54,54,44,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h53.20.230,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.154,-1,,,,,,342,NW,"ID",33,randow,RANDOW,z,,,,,,,-1.336633663,-0.47689769,0,0,0,,0,55,55,281,1
