counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.6154,,,,,,,,0.6154,1,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.563295,,,,,,,,0.563295,1,0,7,7,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.83429,,,,,,,,0.83429,1,0,8,8,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.784935,,,,,,,,0.784935,0,0,9,9,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.67092,,,,,,,,0.67092,1,0,10,10,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.927655,,,,,,,,0.927655,1,0,11,11,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.820065,,,,,,,,0.820065,1,0,12,12,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.566745,,,,,,,,0.566745,1,0,13,13,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.534895,,,,,,,,0.534895,1,0,14,14,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.82279,,,,,,,,0.82279,1,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,
,,,0.064814843,-0.37870373,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.03332,,,,,,,,1.03332,1,,,,,,372,NW,"ID",16,ramily,RAMILY,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,0,0,311,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.769685,,,,,,,,0.769685,1,,,,,,466,NW,UN,33,robuly,HOCITE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,1,1,405,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.650585,,,,,,,,0.650585,1,,,,,,92,WORD,"ID",33,strand,STRAND,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,2,2,31,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.80472,,,,,,,,0.80472,1,,,,,,340,NW,"ID",33,fiatch,FIATCH,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,3,3,279,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.75005,,,,,,,,1.75005,1,,,,,,400,NW,"ID",16,wearox,WEAROX,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,4,4,339,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.55014,,,,,,,,0.55014,1,,,,,,117,WORD,"ID",33,branch,BRANCH,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,5,5,56,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.86023,,,,,,,,0.86023,1,,,,,,397,NW,"ID",16,camble,CAMBLE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,6,6,336,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.670685,,,,,,,,0.670685,1,,,,,,60,WORD,UN,16,fright,PENCIL,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,7,7,239,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.56212,,,,,,,,0.56212,1,,,,,,116,WORD,"ID",33,tumble,TUMBLE,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,8,8,55,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.7005,,,,,,,,0.7005,1,,,,,,318,NW,"ID",33,reagly,REAGLY,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,9,9,257,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.63045,,,,,,,,0.63045,1,,,,,,123,WORD,"ID",16,strike,STRIKE,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,10,10,62,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.61976,,,,,,,,0.61976,1,,,,,,450,NW,UN,33,cainky,PHRECT,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,11,11,389,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.71261,,,,,,,,0.71261,1,,,,,,381,NW,"ID",16,huniek,HUNIEK,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,12,12,320,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.86716,,,,,,,,1.86716,1,,,,,,303,NW,"ID",33,fiream,FIREAM,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,13,13,242,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.81731,,,,,,,,0.81731,1,,,,,,446,NW,UN,33,gircue,RUNAMO,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,14,14,385,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.62537,,,,,,,,0.62537,1,,,,,,121,WORD,"ID",16,thrive,THRIVE,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,15,15,60,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.78732,,,,,,,,0.78732,1,,,,,,469,NW,UN,33,crudio,PADIFS,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,16,16,408,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.63742,,,,,,,,0.63742,1,,,,,,227,WORD,UN,33,master,SELDOM,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,17,17,166,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.708755,,,,,,,,0.708755,1,,,,,,86,WORD,"ID",33,rodent,RODENT,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,18,18,25,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.731145,,,,,,,,0.731145,1,,,,,,335,NW,"ID",33,desion,DESION,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,19,19,274,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.6331,,,,,,,,0.6331,1,,,,,,307,NW,"ID",33,kirafe,KIRAFE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,20,20,246,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.64527,,,,,,,,0.64527,1,,,,,,127,WORD,"ID",16,castle,CASTLE,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,21,21,66,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.80263,,,,,,,,0.80263,1,,,,,,184,WORD,UN,33,bother,SLEAZY,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,22,22,123,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.56344,,,,,,,,0.56344,1,,,,,,154,WORD,"ID",16,author,AUTHOR,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,23,23,93,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.562555,,,,,,,,0.562555,1,,,,,,232,WORD,UN,33,nature,INJECT,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,24,24,171,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.494425,,,,,,,,0.494425,1,,,,,,99,WORD,"ID",33,fluent,FLUENT,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,25,25,38,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.89063,,,,,,,,0.89063,1,,,,,,477,NW,UN,33,lobush,PHOTIE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,26,26,416,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.76284,,,,,,,,0.76284,1,,,,,,279,NW,UN,16,curbol,CELOND,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,27,27,458,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.82831,,,,,,,,0.82831,1,,,,,,338,NW,"ID",33,wreash,WREASH,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,28,28,277,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.567085,,,,,,,,0.567085,1,,,,,,168,WORD,"ID",16,answer,ANSWER,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,29,29,107,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.82295,,,,,,,,0.82295,1,,,,,,332,NW,"ID",33,vangue,VANGUE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,30,30,271,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.733625,,,,,,,,0.733625,1,,,,,,304,NW,"ID",33,cludie,CLUDIE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,31,31,243,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.636565,,,,,,,,0.636565,1,,,,,,290,NW,UN,16,pretch,SPLINO,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,32,32,469,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.705325,,,,,,,,0.705325,1,,,,,,229,WORD,UN,33,fringe,MOTHER,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,33,33,168,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.75731,,,,,,,,0.75731,1,,,,,,342,NW,"ID",33,randow,RANDOW,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,34,34,281,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.774395,,,,,,,,0.774395,1,,,,,,370,NW,"ID",16,sleact,SLEACT,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,35,35,309,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.590525,,,,,,,,0.590525,1,,,,,,390,NW,"ID",16,hatrus,HATRUS,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,36,36,329,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.73772,,,,,,,,0.73772,1,,,,,,119,WORD,"ID",33,spider,SPIDER,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,37,37,58,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,1.23352,,,,,,,,1.23352,1,,,,,,87,WORD,"ID",33,filter,FILTER,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,38,38,26,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.75021,,,,,,,,0.75021,1,,,,,,398,NW,"ID",16,blunde,BLUNDE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,39,39,337,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.63125,,,,,,,,0.63125,1,,,,,,273,NW,UN,16,fumblo,SORTEL,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,40,40,452,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.607615,,,,,,,,0.607615,1,,,,,,135,WORD,"ID",16,import,IMPORT,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,41,41,74,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.56157,,,,,,,,0.56157,1,,,,,,438,NW,UN,33,limpor,BAITCH,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,42,42,377,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.02616,,,,,,,,1.02616,1,,,,,,433,NW,UN,33,pitrom,DRANCE,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,43,43,372,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.86904,,,,,,,,0.86904,1,,,,,,122,WORD,"ID",16,linger,LINGER,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,44,44,61,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.65981,,,,,,,,0.65981,1,,,,,,410,NW,"ID",16,tunory,TUNORY,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,45,45,349,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,1.547355,,,,,,,,1.547355,0,,,,,,250,NW,UN,16,lupict,MILTED,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,46,46,429,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.976965,,,,,,,,0.976965,1,,,,,,8,WORD,UN,16,hustle,ABRUPT,m,,,,,,,0.135185216,-0.241666689,0,0,0,,0,47,47,187,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,0.976965,-1,,,,,,403,NW,"ID",16,bruats,BRUATS,z,,,,,,,0.135185216,-0.241666689,0,0,0,,0,48,48,342,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,1.44522,,,,,,,,1.44522,1,,,,,,447,NW,UN,33,sadent,GIRCUE,z,,,,,,,0.136111142,-0.233333355,0,0,0,,0,49,49,386,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.972915,,,,,,,,0.972915,1,,,,,,309,NW,"ID",33,amiloy,AMILOY,z,,,,,,,0.130555586,-0.235185264,0,0,0,,0,50,50,248,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.644515,,,,,,,,0.644515,1,,,,,,331,NW,"ID",33,gilfew,GILFEW,z,,,,,,,0.130555586,-0.235185264,0,0,0,,0,51,51,270,1,
,,,,,,,,,,,,,,,,,,5f3b042dd1a0bd7f377766e9,2020-11-26_15h59.53.574,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.596385,,,,,,,,0.596385,1,,,,,,112,WORD,"ID",33,breath,BREATH,m,,,,,,,0.130555586,-0.235185264,0,0,0,,0,52,52,51,1,
