counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.54738,1,0,6,6,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.54738,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.550335,1,0,7,7,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.550335,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.5381,1,0,8,8,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.5381,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.49997,1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.49997,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.55858,1,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.55858,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.513865,1,0,11,11,14,1,1015,NW,UN,16,miaber,THRALE,z,0.513865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.549,1,0,12,12,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.549,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.54603,1,0,13,13,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.54603,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.511275,1,0,14,14,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.511275,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.54961,1,0,15,15,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.54961,,,,,,,,,,,,,,,,,
,,0.094175976,-0.422924425,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.00984,1,,,,,,394,NW,UN,16,colury,SPAQUX,z,1.00984,,,,,,0.946716261,-0.400123929,0,0,0,,0,0,0,453,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.051415,1,,,,,,306,NW,UN,33,kirafe,SOUNGE,z,1.051415,,,,,,0.946716261,-0.400123929,0,0,0,,0,1,1,365,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.592015,1,,,,,,457,NW,"ID",33,wanigh,WANIGH,z,0.592015,,,,,,0.946716261,-0.400123929,0,0,0,,0,2,2,276,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.63064,1,,,,,,227,WORD,"ID",33,seldom,SELDOM,m,0.63064,,,,,,0.946716261,-0.400123929,0,0,0,,0,3,3,46,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.52116,1,,,,,,43,WORD,"ID",16,tongue,TONGUE,m,0.52116,,,,,,0.946716261,-0.400123929,0,0,0,,0,4,4,102,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.517255,1,,,,,,436,NW,"ID",33,frutan,FRUTAN,z,0.517255,,,,,,0.946716261,-0.400123929,0,0,0,,0,5,5,255,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.60479,1,,,,,,85,WORD,UN,33,rodent,SPRAWL,m,0.60479,,,,,,0.946716261,-0.400123929,0,0,0,,0,6,6,144,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.70122,1,,,,,,422,NW,"ID",33,alcoud,ALCOUD,z,0.70122,,,,,,0.946716261,-0.400123929,0,0,0,,0,7,7,241,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.70519,1,,,,,,247,NW,"ID",16,blarge,BLARGE,z,0.70519,,,,,,0.946716261,-0.400123929,0,0,0,,0,8,8,306,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.648285,1,,,,,,69,WORD,UN,33,square,PLENTY,m,0.648285,,,,,,0.946716261,-0.400123929,0,0,0,,0,9,9,128,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.85363,0,,,,,,405,NW,UN,16,nouply,FLUMNI,z,0.85363,,,,,,0.946716261,-0.400123929,0,0,0,,0,10,10,464,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.711205,1,,,,,,410,NW,UN,16,orchin,TUNORY,z,0.711205,,,,,,0.946716261,-0.400123929,0,0,0,,0,11,11,469,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.67119,1,,,,,,289,NW,"ID",16,starby,STARBY,z,0.67119,,,,,,0.946716261,-0.400123929,0,0,0,,0,12,12,348,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.576085,1,,,,,,287,NW,"ID",16,nymbel,NYMBEL,z,0.576085,,,,,,0.946716261,-0.400123929,0,0,0,,0,13,13,346,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.683285,1,,,,,,229,WORD,"ID",33,mother,MOTHER,m,0.683285,,,,,,0.946716261,-0.400123929,0,0,0,,0,14,14,48,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.86402,1,,,,,,25,WORD,"ID",16,domain,DOMAIN,m,0.86402,,,,,,0.946716261,-0.400123929,0,0,0,,0,15,15,84,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.599425,1,,,,,,232,WORD,"ID",33,inject,INJECT,m,0.599425,,,,,,0.946716261,-0.400123929,0,0,0,,0,16,16,51,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.88916,1,,,,,,396,NW,UN,16,camble,FLENGY,z,0.88916,,,,,,0.946716261,-0.400123929,0,0,0,,0,17,17,455,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.632435,1,,,,,,93,WORD,UN,33,travel,PUBLIC,m,0.632435,,,,,,0.946716261,-0.400123929,0,0,0,,0,18,18,152,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.71671,1,,,,,,239,WORD,"ID",33,lumber,LUMBER,m,0.71671,,,,,,0.946716261,-0.400123929,0,0,0,,0,19,19,58,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.810415,1,,,,,,166,WORD,UN,16,design,STARCH,m,0.810415,,,,,,0.946716261,-0.400123929,0,0,0,,0,20,20,225,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.694145,1,,,,,,184,WORD,"ID",33,sleazy,SLEAZY,m,0.694145,,,,,,0.946716261,-0.400123929,0,0,0,,0,21,21,3,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.627005,1,,,,,,209,WORD,"ID",33,search,SEARCH,m,0.627005,,,,,,0.946716261,-0.400123929,0,0,0,,0,22,22,28,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.61736,1,,,,,,62,WORD,UN,33,launch,REGION,m,0.61736,,,,,,0.946716261,-0.400123929,0,0,0,,0,23,23,121,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.52146,1,,,,,,432,NW,"ID",33,lunker,LUNKER,z,0.52146,,,,,,0.946716261,-0.400123929,0,0,0,,0,24,24,251,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.6908,1,,,,,,79,WORD,UN,33,family,THEORY,m,0.6908,,,,,,0.946716261,-0.400123929,0,0,0,,0,25,25,138,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.62512,1,,,,,,183,WORD,"ID",33,mildew,MILDEW,m,0.62512,,,,,,0.946716261,-0.400123929,0,0,0,,0,26,26,2,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.66843,1,,,,,,109,WORD,UN,33,polite,WONDER,m,0.66843,,,,,,0.946716261,-0.400123929,0,0,0,,0,27,27,168,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.651175,1,,,,,,370,NW,UN,16,geiloy,SLEACT,z,0.651175,,,,,,0.946716261,-0.400123929,0,0,0,,0,28,28,429,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.71217,1,,,,,,7,WORD,"ID",16,anchor,ANCHOR,m,0.71217,,,,,,0.946716261,-0.400123929,0,0,0,,0,29,29,66,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.652735,1,,,,,,225,WORD,"ID",33,vulgar,VULGAR,m,0.652735,,,,,,0.946716261,-0.400123929,0,0,0,,0,30,30,44,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.66923,1,,,,,,114,WORD,UN,33,guitar,PLACID,m,0.66923,,,,,,0.946716261,-0.400123929,0,0,0,,0,31,31,173,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.683515,1,,,,,,418,NW,UN,16,slount,SUIDLE,z,0.683515,,,,,,0.946716261,-0.400123929,0,0,0,,0,32,32,477,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.691685,1,,,,,,63,WORD,UN,33,throne,LAUNCH,m,0.691685,,,,,,0.946716261,-0.400123929,0,0,0,,0,33,33,122,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.69671,1,,,,,,384,NW,UN,16,injore,GUESCO,z,0.69671,,,,,,0.946716261,-0.400123929,0,0,0,,0,34,34,443,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.661055,0,,,,,,348,NW,UN,33,asylen,DUMPLE,z,0.661055,,,,,,0.946716261,-0.400123929,0,0,0,,0,35,35,407,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.82812,1,,,,,,369,NW,UN,16,sleact,WRONCH,z,0.82812,,,,,,0.946716261,-0.400123929,0,0,0,,0,36,36,428,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.68141,1,,,,,,430,NW,"ID",33,caroey,CAROEY,z,0.68141,,,,,,0.946716261,-0.400123929,0,0,0,,0,37,37,249,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.721535,1,,,,,,297,NW,"ID",16,fertic,FERTIC,z,0.721535,,,,,,0.946716261,-0.400123929,0,0,0,,0,38,38,356,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.72723,1,,,,,,367,NW,UN,16,hornal,SLIQUE,z,0.72723,,,,,,0.946716261,-0.400123929,0,0,0,,0,39,39,426,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.674695,1,,,,,,221,WORD,"ID",33,mascot,MASCOT,m,0.674695,,,,,,0.946716261,-0.400123929,0,0,0,,0,40,40,40,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.68479,1,,,,,,27,WORD,"ID",16,scream,SCREAM,m,0.68479,,,,,,0.946716261,-0.400123929,0,0,0,,0,41,41,86,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.74238,1,,,,,,444,NW,"ID",33,jaunce,JAUNCE,z,0.74238,,,,,,0.946716261,-0.400123929,0,0,0,,0,42,42,263,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.723795,1,,,,,,120,WORD,UN,33,ponder,STRAIN,m,0.723795,,,,,,0.946716261,-0.400123929,0,0,0,,0,43,43,179,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.748735,1,,,,,,66,WORD,UN,33,policy,GOSPEL,m,0.748735,,,,,,0.946716261,-0.400123929,0,0,0,,0,44,44,125,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.79301,1,,,,,,46,WORD,"ID",16,single,SINGLE,m,0.79301,,,,,,0.946716261,-0.400123929,0,0,0,,0,45,45,105,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.719145,1,,,,,,188,WORD,"ID",33,social,SOCIAL,m,0.719145,,,,,,0.946716261,-0.400123929,0,0,0,,0,46,46,7,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.65459,1,,,,,,379,NW,UN,16,cavory,AUTING,z,0.65459,,,,,,0.946716261,-0.400123929,0,0,0,,0,47,47,438,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.737135,1,,,,,,408,NW,UN,16,elopia,HURNIA,z,0.737135,,,,,,0.946716261,-0.400123929,0,0,0,,0,48,48,467,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.79937,1,,,,,,450,NW,"ID",33,phrect,PHRECT,z,0.79937,,,,,,0.946716261,-0.400123929,0,0,0,,0,49,49,269,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.77438,1,,,,,,35,WORD,"ID",16,socket,SOCKET,m,0.77438,,,,,,0.946716261,-0.400123929,0,0,0,,0,50,50,94,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.77519,1,,,,,,61,WORD,UN,33,region,PONDER,m,0.77519,,,,,,0.946716261,-0.400123929,0,0,0,,0,51,51,120,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.727845,1,,,,,,440,NW,"ID",33,saride,SARIDE,z,0.727845,,,,,,0.946716261,-0.400123929,0,0,0,,0,52,52,259,1,
,,,,,,,,,,,,,,,,,,5cf5134c8f8ff80019e76721,2020-11-27_10h21.59.728,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.74815,1,,,,,,112,WORD,UN,33,chorus,BREATH,m,0.74815,,,,,,0.946716261,-0.400123929,0,0,0,,0,53,53,171,1,
