counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,response.rt,break_done_keyboard.rt,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.326226013,-0.325159915,1,0,0,0.681,button_right,0.681,1,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.326226013,-0.325159915,1,0,0,1.098,button_right,1.098,1,0,7,7,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.326226013,-0.325159915,1,0,0,0.081,button_right,0.081,1,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.081,-1,0,9,9,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.326226013,-0.325159915,1,0,0,0.165,button_right,0.165,0,0,10,10,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.165,-1,0,11,11,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.272921109,-0.331556503,1,0,0,1.381,button_right,1.381,1,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.32196162,-0.37206823,1,0,0,0.08,button_left,0.08,1,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.479744136,-0.254797441,1,0,0,1.24,button_right,1.24,1,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.034115139,-0.273987207,1,0,0,0.114,,1.24,-1,0,15,15,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,
,,0.008528785,-0.37206823,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.307036247,-0.329424307,1,0,0,0.431,button_right,0.431,0,,,,,,428,NW,UN,16,chrums,TANDLY,z,,,,,,0.307036247,-0.329424307,1,0,0,,0,0,0,427,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.307036247,-0.329424307,1,0,0,0.199,button_right,0.199,0,,,,,,340,NW,"ID",16,fiatch,FIATCH,z,,,,,,0.307036247,-0.329424307,1,0,0,,0,1,1,339,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.309168443,-0.329424307,1,0,0,1.614,button_right,1.614,0,,,,,,397,NW,UN,33,blunde,CAMBLE,z,,,,,,0.309168443,-0.329424307,1,0,0,,0,2,2,396,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.307036247,-0.325159915,1,0,0,1.914,button_right,1.914,0,,,,,,317,NW,"ID",16,worbal,WORBAL,z,,,,,,0.307036247,-0.325159915,1,0,0,,0,3,3,316,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.298507463,-0.318763326,1,0,0,1.496,button_right,1.496,0,,,,,,473,NW,UN,16,hablin,CRIBLE,z,,,,,,0.298507463,-0.318763326,1,0,0,,0,4,4,472,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.298507463,-0.318763326,1,0,0,0.648,button_right,0.648,1,,,,,,168,WORD,UN,33,genius,ANSWER,m,,,,,,0.298507463,-0.318763326,1,0,0,,0,5,5,167,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.298507463,-0.318763326,1,0,0,0.014,button_right,0.014,0,,,,,,266,NW,"ID",33,varmit,VARMIT,z,,,,,,0.298507463,-0.318763326,1,0,0,,0,6,6,265,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.298507463,-0.318763326,1,0,0,1.03,button_right,1.03,0,,,,,,271,NW,"ID",33,aubrid,AUBRID,z,,,,,,0.298507463,-0.318763326,1,0,0,,0,7,7,270,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.298507463,-0.320895522,1,0,0,0.965,button_right,0.965,1,,,,,,197,WORD,UN,16,wicked,STREAM,m,,,,,,0.298507463,-0.320895522,1,0,0,,0,8,8,196,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.081,button_right,0.081,0,,,,,,296,NW,"ID",33,beinch,BEINCH,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,9,9,295,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.232,button_right,0.232,0,,,,,,477,NW,UN,16,acrise,PHOTIE,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,10,10,476,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.197,button_right,0.197,1,,,,,,154,WORD,UN,33,lizard,AUTHOR,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,11,11,153,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.965,button_right,0.965,0,,,,,,258,NW,"ID",33,poluth,POLUTH,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,12,12,257,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.065,button_right,0.065,0,,,,,,289,NW,"ID",33,starby,STARBY,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,13,13,288,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.698,button_right,0.698,1,,,,,,26,WORD,"ID",33,sprint,SPRINT,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,14,14,25,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.399,button_right,0.399,1,,,,,,66,WORD,"ID",16,gospel,GOSPEL,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,15,15,65,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.814,button_right,0.814,0,,,,,,414,NW,UN,33,higsta,SERBOL,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,16,16,413,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.782,button_right,0.782,0,,,,,,367,NW,UN,33,hornal,SLIQUE,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,17,17,366,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,1.598,button_right,1.598,0,,,,,,278,NW,"ID",33,unighs,UNIGHS,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,18,18,277,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.015,button_right,0.015,1,,,,,,152,WORD,UN,33,behold,ROCKET,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,19,19,151,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,1.798,button_right,1.798,0,,,,,,391,NW,UN,33,rouncy,THELDY,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,20,20,390,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,1.798,-1,,,,,,286,NW,"ID",33,reldon,RELDON,z,,,,,,0.302771855,-0.325159915,0,0,0,,0,21,21,285,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,1.23,button_right,1.23,1,,,,,,57,WORD,"ID",33,change,CHANGE,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,22,22,56,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.014,button_right,0.014,1,,,,,,21,WORD,"ID",33,simple,SIMPLE,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,23,23,20,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.082,button_right,0.082,1,,,,,,11,WORD,"ID",33,cruise,CRUISE,m,,,,,,0.302771855,-0.325159915,1,0,0,,0,24,24,10,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.302771855,-0.325159915,1,0,0,0.365,button_right,0.365,0,,,,,,468,NW,UN,16,padifs,WICTOR,z,,,,,,0.302771855,-0.325159915,1,0,0,,0,25,25,467,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.365,-1,,,,,,189,WORD,UN,16,backup,CENSOR,m,,,,,,0.296375267,-0.320895522,0,0,0,,0,26,26,188,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,1.247,button_right,1.247,1,,,,,,172,WORD,UN,33,shower,PATROL,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,27,27,171,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,1.164,button_right,1.164,1,,,,,,233,WORD,UN,16,clumsy,NATURE,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,28,28,232,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.848,button_right,0.848,1,,,,,,123,WORD,UN,33,enough,STRIKE,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,29,29,122,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.565,button_right,0.565,1,,,,,,134,WORD,UN,33,import,STAPLE,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,30,30,133,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.665,button_right,0.665,0,,,,,,295,NW,"ID",33,gleath,GLEATH,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,31,31,294,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,1.882,button_right,1.882,1,,,,,,240,WORD,UN,16,glance,FOREST,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,32,32,239,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.182,button_right,0.182,1,,,,,,93,WORD,"ID",16,public,PUBLIC,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,33,33,92,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.895,button_right,0.895,1,,,,,,61,WORD,"ID",16,ponder,PONDER,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,34,34,60,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.548,button_right,0.548,1,,,,,,83,WORD,"ID",16,result,RESULT,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,35,35,82,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.613,button_right,0.613,0,,,,,,323,NW,"ID",16,rosail,ROSAIL,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,36,36,322,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.08,button_right,0.08,1,,,,,,47,WORD,"ID",33,income,INCOME,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,37,37,46,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.199,button_right,0.199,1,,,,,,109,WORD,"ID",16,wonder,WONDER,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,38,38,108,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.048,button_right,0.048,0,,,,,,471,NW,UN,16,cigney,NOBEST,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,39,39,470,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.713,button_right,0.713,1,,,,,,237,WORD,UN,16,seldom,POSTER,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,40,40,236,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,1.132,button_right,1.132,1,,,,,,179,WORD,UN,33,silent,BASKET,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,41,41,178,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,1.265,button_right,1.265,0,,,,,,241,NW,"ID",33,smenco,SMENCO,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,42,42,240,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.566,button_right,0.566,0,,,,,,342,NW,"ID",16,randow,RANDOW,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,43,43,341,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.498,button_right,0.498,1,,,,,,132,WORD,UN,33,bleach,STRONG,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,44,44,131,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.214,button_right,0.214,1,,,,,,173,WORD,UN,33,turkey,SHOWER,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,45,45,172,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,440,NW,UN,16,cainky,SARIDE,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,46,46,439,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,201,WORD,UN,16,factor,ADMIRE,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,47,47,200,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.214,-1,,,,,,417,NW,UN,33,suidle,EAROUD,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,48,48,416,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.098,button_right,0.098,1,,,,,,10,WORD,"ID",33,ethnic,ETHNIC,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,49,49,9,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.23,button_right,0.23,1,,,,,,204,WORD,UN,16,lounge,BURDEN,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,50,50,203,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.181,button_right,0.181,1,,,,,,7,WORD,"ID",33,anchor,ANCHOR,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,51,51,6,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.231,button_right,0.231,1,,,,,,148,WORD,UN,33,invade,CUSTOM,m,,,,,,0.296375267,-0.320895522,1,0,0,,0,52,52,147,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.147,button_right,0.147,0,,,,,,413,NW,UN,33,serbol,EQUATS,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,53,53,412,1,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_13h29.33.962,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.296375267,-0.320895522,1,0,0,0.148,button_right,0.148,0,,,,,,458,NW,UN,16,chaite,BARCET,z,,,,,,0.296375267,-0.320895522,1,0,0,,0,54,54,457,1,,,
