counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.056,-1,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.056,-1,0,7,7,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.056,-1,0,8,8,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.056,-1,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.386138614,-0.305280528,1,0,0,0.091,button_right,0.091,0,0,10,10,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.386138614,-0.305280528,1,0,0,0.181,button_right,0.181,0,0,11,11,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.386138614,-0.305280528,1,0,0,0.546,button_right,0.546,0,0,12,12,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.372937294,-0.315181518,1,0,0,0.148,button_right,0.148,0,0,13,13,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.372937294,-0.315181518,1,0,0,0.095,button_right,0.095,1,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.372937294,-0.315181518,1,0,0,0.182,button_right,0.182,1,0,15,15,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,
,,0.072607261,-0.391089109,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.303630363,-0.301980198,1,0,0,0.181,button_right,0.181,1,,,,,,93,WORD,UN,33,travel,PUBLIC,m,,,,,,,0.303630363,-0.301980198,1,0,0,,0,0,0,152,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.303630363,-0.301980198,1,0,0,0.281,button_right,0.281,0,,,,,,470,NW,"ID",33,crudio,CRUDIO,z,,,,,,,0.303630363,-0.301980198,1,0,0,,0,1,1,289,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,0.300330033,-0.305280528,1,0,0,0.232,button_right,0.232,0,,,,,,375,NW,UN,16,iguare,YORQUE,z,,,,,,,0.300330033,-0.305280528,1,0,0,,0,2,2,434,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,86,WORD,UN,33,filter,RODENT,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,3,3,145,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,59,WORD,"ID",16,splint,SPLINT,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,4,4,118,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,149,WORD,UN,16,random,INVADE,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,5,5,208,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,157,WORD,UN,16,island,DRAGON,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,6,6,216,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,174,WORD,UN,16,fabric,TURKEY,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,7,7,233,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,365,NW,UN,16,toshel,GUAIRT,z,,,,,,,0.300330033,-0.305280528,0,0,0,,0,8,8,424,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,143,WORD,UN,16,sponge,REASON,m,,,,,,,0.300330033,-0.305280528,0,0,0,,0,9,9,202,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,385,NW,UN,16,ancust,VEIGMA,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,10,10,444,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,42,WORD,"ID",16,chapel,CHAPEL,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,11,11,101,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,85,WORD,UN,33,rodent,SPRAWL,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,12,12,144,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,225,WORD,"ID",33,vulgar,VULGAR,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,13,13,44,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,195,WORD,"ID",33,resign,RESIGN,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,14,14,14,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,73,WORD,UN,33,plaque,SOURCE,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,15,15,132,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,260,NW,"ID",16,unject,UNJECT,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,16,16,319,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,310,NW,UN,33,sproly,DANIET,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,17,17,369,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,229,WORD,"ID",33,mother,MOTHER,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,18,18,48,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,279,NW,"ID",16,celond,CELOND,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,19,19,338,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,390,NW,UN,16,theldy,HATRUS,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,20,20,449,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,5,WORD,"ID",16,plunge,PLUNGE,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,21,21,64,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,80,WORD,UN,33,friend,FAMILY,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,22,22,139,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,377,NW,UN,16,shrile,INJORE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,23,23,436,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,19,WORD,"ID",16,patron,PATRON,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,24,24,78,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,12,WORD,"ID",16,orange,ORANGE,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,25,25,71,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,64,WORD,UN,33,symbol,THRONE,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,26,26,123,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,180,WORD,UN,16,thrive,SILENT,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,27,27,239,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,341,NW,UN,33,randow,MYRTIE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,28,28,400,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,151,WORD,UN,16,rocket,MYSTIC,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,29,29,210,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,393,NW,UN,16,spaqux,GANOUS,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,30,30,452,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,464,NW,"ID",33,chaite,CHAITE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,31,31,283,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,111,WORD,UN,33,breath,INDUCE,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,32,32,170,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,63,WORD,UN,33,throne,LAUNCH,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,33,33,122,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,329,NW,UN,33,kensom,YARIKE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,34,34,388,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,281,NW,"ID",16,melaty,MELATY,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,35,35,340,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,440,NW,"ID",33,saride,SARIDE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,36,36,259,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,250,NW,"ID",16,milted,MILTED,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,37,37,309,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,155,WORD,UN,16,cradle,LIZARD,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,38,38,214,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,401,NW,UN,16,syntic,MUSTIL,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,39,39,460,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,396,NW,UN,16,camble,FLENGY,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,40,40,455,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,113,WORD,UN,33,placid,CHORUS,m,,,,,,,0.221122112,-0.48019802,0,0,0,,0,41,41,172,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,247,NW,"ID",16,blarge,BLARGE,z,,,,,,,0.221122112,-0.48019802,0,0,0,,0,42,42,306,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,9,WORD,"ID",16,hustle,HUSTLE,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,43,43,68,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,153,WORD,UN,16,author,BEHOLD,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,44,44,212,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,79,WORD,UN,33,family,THEORY,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,45,45,138,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,316,NW,UN,33,worbal,SCREGM,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,46,46,375,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,137,WORD,UN,16,melody,FINGER,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,47,47,196,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,144,WORD,UN,16,parish,SPONGE,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,48,48,203,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,342,NW,UN,33,aimosy,RANDOW,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,49,49,401,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,241,NW,"ID",16,smenco,SMENCO,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,50,50,300,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,299,NW,"ID",16,sturch,STURCH,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,51,51,358,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,28,WORD,"ID",16,comedy,COMEDY,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,52,52,87,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,477,NW,"ID",33,photie,PHOTIE,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,53,53,296,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,167,WORD,UN,16,answer,DESIGN,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,54,54,226,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,203,WORD,"ID",33,phrase,PHRASE,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,55,55,22,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,455,NW,"ID",33,tondle,TONDLE,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,56,56,274,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,357,NW,UN,33,fleack,DERAIN,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,57,57,416,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,405,NW,UN,16,nouply,FLUMNI,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,58,58,464,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,471,NW,"ID",33,nobest,NOBEST,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,59,59,290,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,465,NW,"ID",33,whivex,WHIVEX,z,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,60,60,284,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,184,WORD,"ID",33,sleazy,SLEAZY,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,61,61,3,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,57,WORD,"ID",16,change,CHANGE,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,62,62,116,1
,,,,,,,,,,,,,,,,,,999,2020-11-26_10h56.32.062,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,0.232,-1,,,,,,114,WORD,UN,33,guitar,PLACID,m,,,,,,,-2.567656766,-0.48679868,0,0,0,,0,63,63,173,1
